iter	Passed	Remaining
0	1	1811
1	3	1638
2	5	1664
3	7	1826
4	8	1759
5	10	1698
6	11	1660
7	13	1630
8	14	1608
9	15	1581
10	17	1568
11	18	1555
12	20	1540
13	22	1586
14	28	1900
15	33	2050
16	37	2156
17	41	2243
18	43	2265
19	46	2278
20	49	2289
21	51	2274
22	53	2259
23	55	2265
24	57	2243
25	59	2222
26	61	2201
27	62	2185
28	64	2161
29	66	2141
30	67	2121
31	70	2118
32	72	2138
33	75	2142
34	83	2288
35	88	2367
36	91	2387
37	94	2399
38	97	2397
39	99	2390
40	102	2391
41	104	2382
42	106	2373
43	109	2370
44	111	2356
45	113	2348
46	115	2339
47	117	2325
48	119	2310
49	120	2289
50	121	2269
51	123	2249
52	124	2229
53	126	2211
54	128	2203
55	134	2268
56	139	2308
57	143	2333
58	147	2345
59	150	2362
60	153	2358
61	155	2358
62	157	2347
63	159	2336
64	162	2331
65	163	2320
66	166	2318
67	168	2312
68	170	2299
69	172	2287
70	173	2274
71	176	2270
72	177	2258
73	179	2244
74	181	2233
75	183	2230
76	185	2219
77	186	2204
78	188	2192
79	190	2187
80	191	2175
81	193	2161
82	194	2147
83	195	2134
84	215	2316
85	218	2326
86	221	2328
87	224	2331
88	228	2334
89	234	2372
90	240	2402
91	244	2414
92	248	2422
93	251	2419
94	254	2420
95	256	2418
96	259	2411
97	261	2410
98	263	2400
99	265	2391
100	267	2383
101	269	2374
102	271	2365
103	273	2352
104	274	2341
105	277	2341
106	278	2327
107	280	2315
108	281	2304
109	283	2294
110	285	2286
111	286	2273
112	287	2260
113	289	2248
114	290	2237
115	293	2238
116	299	2257
117	305	2281
118	309	2293
119	313	2302
120	316	2301
121	319	2299
122	322	2297
123	324	2294
124	327	2290
125	329	2285
126	331	2281
127	334	2277
128	336	2273
129	338	2266
130	340	2258
131	342	2251
132	343	2241
133	345	2231
134	346	2221
135	347	2210
136	349	2199
137	351	2192
138	353	2191
139	359	2208
140	364	2220
141	368	2225
142	371	2226
143	374	2226
144	376	2222
145	379	2218
146	381	2214
147	383	2207
148	385	2201
149	387	2196
150	389	2189
151	391	2182
152	392	2174
153	394	2167
154	396	2158
155	397	2150
156	399	2142
157	400	2134
158	401	2126
159	403	2118
160	404	2109
161	406	2100
162	407	2091
163	408	2083
164	410	2076
165	412	2071
166	414	2066
167	415	2057
168	416	2048
169	419	2046
170	421	2043
171	425	2048
172	432	2067
173	437	2076
174	441	2081
175	444	2080
176	447	2078
177	449	2077
178	452	2073
179	454	2071
180	456	2067
181	458	2060
182	460	2055
183	462	2050
184	464	2045
185	465	2038
186	467	2033
187	469	2027
188	471	2024
189	474	2024
190	476	2017
191	478	2013
192	480	2008
193	482	2002
194	483	1995
195	484	1989
196	486	1983
197	488	1977
198	489	1970
199	490	1963
200	492	1957
201	493	1950
202	495	1943
203	496	1936
204	498	1932
205	500	1927
206	501	1922
207	503	1918
208	505	1912
209	506	1906
210	508	1902
211	510	1898
212	512	1893
213	515	1892
214	517	1890
215	520	1888
216	521	1882
217	523	1877
218	524	1871
219	526	1866
220	528	1861
221	530	1857
222	532	1855
223	534	1851
224	536	1847
225	537	1842
226	539	1837
227	541	1832
228	543	1828
229	546	1827
230	547	1823
231	549	1819
232	551	1815
233	553	1810
234	554	1805
235	556	1800
236	557	1795
237	559	1790
238	561	1789
239	563	1784
240	565	1780
241	567	1776
242	568	1771
243	570	1766
244	571	1761
245	573	1757
246	574	1752
247	577	1751
248	584	1763
249	589	1768
250	593	1770
251	596	1771
252	600	1772
253	603	1771
254	605	1769
255	608	1767
256	610	1765
257	612	1762
258	614	1758
259	616	1753
260	617	1749
261	619	1744
262	620	1739
263	622	1735
264	625	1735
265	628	1733
266	629	1727
267	631	1725
268	632	1719
269	634	1714
270	635	1709
271	636	1703
272	637	1698
273	645	1709
274	649	1711
275	652	1712
276	656	1714
277	659	1712
278	661	1710
279	664	1707
280	666	1705
281	668	1702
282	670	1699
283	673	1696
284	674	1692
285	676	1688
286	677	1684
287	679	1679
288	680	1675
289	682	1670
290	683	1666
291	685	1661
292	688	1661
293	690	1658
294	691	1653
295	693	1649
296	694	1644
297	695	1639
298	697	1634
299	699	1631
300	700	1626
301	701	1621
302	703	1617
303	704	1613
304	706	1608
305	707	1604
306	708	1600
307	710	1595
308	711	1592
309	720	1602
310	726	1609
311	730	1611
312	734	1611
313	737	1611
314	739	1609
315	742	1606
316	744	1603
317	746	1600
318	747	1596
319	749	1592
320	751	1590
321	753	1586
322	755	1582
323	756	1578
324	758	1575
325	759	1571
326	761	1566
327	762	1562
328	763	1558
329	765	1555
330	767	1551
331	768	1546
332	770	1543
333	772	1540
334	774	1536
335	775	1532
336	777	1528
337	778	1524
338	779	1520
339	781	1517
340	783	1514
341	785	1511
342	787	1507
343	788	1503
344	789	1499
345	791	1495
346	792	1490
347	793	1486
348	794	1482
349	796	1479
350	800	1479
351	803	1478
352	805	1476
353	808	1476
354	811	1474
355	817	1479
356	823	1483
357	827	1484
358	831	1485
359	834	1483
360	836	1481
361	839	1479
362	841	1476
363	843	1473
364	845	1471
365	847	1468
366	849	1465
367	851	1462
368	853	1459
369	854	1455
370	856	1451
371	857	1447
372	859	1444
373	861	1442
374	862	1438
375	864	1434
376	865	1430
377	866	1426
378	867	1422
379	869	1418
380	870	1414
381	871	1410
382	873	1406
383	875	1405
384	877	1402
385	879	1398
386	880	1395
387	882	1391
388	883	1387
