iter	Logloss
0	0.6393109887
1	0.5838277356
2	0.5405572666
3	0.503427571
4	0.4709466031
5	0.4416471228
6	0.4167925939
7	0.3926017763
8	0.3718238393
9	0.3524678357
10	0.3366749734
11	0.3205621039
12	0.3085692016
13	0.2967983027
14	0.2881400681
15	0.2785626887
16	0.2689591389
17	0.2601984672
18	0.2515197811
19	0.2454575781
20	0.2400771238
21	0.2344781126
22	0.2292275807
23	0.2249946488
24	0.2205660307
25	0.2170477093
26	0.2130297784
27	0.2094425111
28	0.2053466295
29	0.2024776205
30	0.2000583815
31	0.1977488596
32	0.1951279871
33	0.1927654303
34	0.1906495184
35	0.1885681338
36	0.1860968101
37	0.184559572
38	0.1831786875
39	0.1815142834
40	0.1799931411
41	0.1782264706
42	0.1768373576
43	0.1754140523
44	0.1741117008
45	0.1724127207
46	0.1705365279
47	0.1694790847
48	0.1681828874
49	0.1671425701
50	0.1661515636
51	0.1649334314
52	0.163984583
53	0.1630150314
54	0.1619452511
55	0.1608048878
56	0.1602406971
57	0.1590913509
58	0.1583307575
59	0.1572377596
60	0.1563649175
61	0.1555428276
62	0.1545621241
63	0.153844841
64	0.1530670472
65	0.1524719965
66	0.151860874
67	0.151244559
68	0.1506553716
69	0.1500101276
70	0.149468624
71	0.148850833
72	0.1484909342
73	0.1478951525
74	0.1472390695
75	0.14673128
76	0.1460600415
77	0.1455570533
78	0.1448782368
79	0.1443078249
80	0.1435950747
81	0.143188037
82	0.1423932282
83	0.1417342382
84	0.1414785637
85	0.1410067762
86	0.1404936676
87	0.1401663762
88	0.1396971467
89	0.1393411644
90	0.1388040707
91	0.1384474921
92	0.1381951026
93	0.1376280797
94	0.1372157113
95	0.1366809181
96	0.1357300128
97	0.1353299487
98	0.1346551228
99	0.1342951405
100	0.1339795514
101	0.1335561836
102	0.1332813852
103	0.1329485052
104	0.1326736246
105	0.1324718859
106	0.1321537452
107	0.1318817052
108	0.1308038214
109	0.1302953753
110	0.1299347904
111	0.1294838045
112	0.1291498109
113	0.128690421
114	0.1281191542
115	0.1278151812
116	0.1273907705
