iter	Passed	Remaining
0	166	166278
1	176	88178
2	188	62478
3	206	51302
4	216	42997
5	223	37027
6	245	34765
7	258	32014
8	269	29636
9	278	27552
10	287	25892
11	295	24327
12	320	24305
13	335	23605
14	343	22552
15	354	21807
16	362	20936
17	370	20229
18	382	19725
19	389	19091
20	400	18691
21	411	18296
22	422	17941
23	431	17553
24	440	17194
25	450	16878
26	457	16504
27	467	16226
28	474	15882
29	488	15780
30	496	15530
31	502	15214
32	509	14929
33	516	14685
34	524	14451
35	533	14273
36	542	14130
37	550	13938
38	576	14205
39	590	14175
40	599	14026
41	609	13891
42	616	13714
43	625	13581
44	633	13435
45	641	13301
46	648	13140
47	657	13035
48	665	12923
49	673	12804
50	680	12666
51	689	12570
52	697	12456
53	704	12343
54	714	12279
55	725	12225
56	733	12128
57	741	12050
58	748	11944
59	758	11877
60	765	11780
61	774	11713
62	780	11608
63	789	11549
64	796	11453
65	805	11398
66	811	11299
67	822	11268
68	830	11200
69	837	11132
70	844	11054
71	852	10989
72	859	10915
73	866	10848
74	874	10787
75	882	10724
76	893	10712
77	901	10655
78	909	10603
79	920	10580
80	927	10519
81	937	10500
82	946	10457
83	967	10552
84	981	10564
85	990	10522
86	1001	10507
87	1009	10461
88	1020	10441
89	1028	10395
90	1078	10776
91	1105	10910
92	1146	11176
93	1175	11327
94	1187	11313
95	1199	11299
96	1219	11348
97	1227	11300
98	1239	11278
99	1255	11297
100	1266	11277
101	1274	11223
102	1284	11189
103	1293	11140
104	1301	11096
105	1308	11038
106	1317	10999
107	1323	10934
108	1333	10898
109	1340	10843
110	1349	10809
111	1355	10748
112	1365	10718
113	1372	10663
114	1381	10635
115	1388	10578
116	1397	10544
117	1403	10489
118	1411	10446
119	1417	10394
120	1425	10353
121	1437	10343
122	1446	10316
123	1453	10269
124	1462	10237
125	1468	10187
126	1478	10164
127	1484	10114
128	1503	10154
129	1516	10148
130	1526	10123
131	1532	10079
132	1538	10031
133	1547	10001
134	1553	9956
135	1578	10025
136	1590	10022
137	1599	9992
138	1609	9966
139	1615	9922
140	1622	9881
141	1629	9847
142	1650	9894
143	1665	9897
144	1675	9877
145	1681	9837
146	1691	9813
147	1697	9769
148	1703	9727
149	1710	9695
150	1717	9656
151	1725	9623
152	1731	9587
153	1739	9556
154	1746	9519
155	1754	9494
156	1761	9458
157	1767	9419
158	1774	9387
159	1781	9351
160	1789	9326
161	1797	9296
162	1805	9268
163	1811	9233
164	1818	9201
165	1824	9168
166	1831	9133
167	1839	9107
168	1845	9074
169	1853	9049
170	1860	9017
171	1866	8983
172	1885	9012
173	1898	9013
174	1907	8991
175	1914	8962
176	1921	8933
177	1927	8901
178	1935	8878
179	1941	8846
180	1948	8818
181	1956	8792
182	1962	8761
183	1973	8752
184	1980	8722
185	1999	8748
186	2009	8736
187	2017	8715
188	2024	8688
189	2032	8665
190	2038	8635
191	2044	8604
192	2065	8635
193	2080	8641
194	2089	8625
195	2098	8606
196	2104	8576
197	2114	8566
198	2120	8535
199	2126	8505
200	2135	8487
201	2141	8460
202	2148	8433
203	2153	8403
204	2159	8374
205	2175	8385
206	2189	8387
207	2199	8376
208	2207	8356
209	2216	8340
210	2222	8310
211	2229	8286
212	2235	8258
213	2253	8276
214	2265	8270
215	2273	8250
216	2281	8230
217	2287	8204
218	2294	8183
219	2301	8158
220	2307	8134
221	2316	8116
222	2333	8130
223	2345	8124
224	2354	8108
225	2361	8088
226	2368	8065
227	2375	8042
228	2392	8056
229	2402	8044
230	2412	8031
231	2419	8009
232	2427	7990
233	2432	7964
234	2438	7938
235	2444	7915
236	2455	7904
237	2477	7932
238	2487	7920
239	2495	7902
240	2502	7880
241	2509	7861
242	2515	7836
243	2522	7815
244	2530	7797
245	2547	7807
246	2559	7802
247	2568	7786
248	2575	7768
249	2582	7746
250	2589	7728
251	2607	7740
252	2621	7739
253	2630	7725
254	2638	7708
255	2644	7685
256	2650	7661
257	2656	7641
258	2673	7649
259	2684	7640
260	2692	7624
261	2700	7606
262	2707	7588
263	2715	7570
264	2723	7552
265	2730	7535
266	2748	7544
267	2762	7544
268	2771	7532
269	2779	7513
270	2790	7506
271	2801	7498
272	2816	7501
273	2831	7501
274	2840	7488
275	2847	7470
276	2854	7450
277	2860	7428
278	2870	7418
279	2877	7398
280	2895	7408
281	2905	7398
282	2915	7387
283	2923	7369
284	2929	7348
285	2935	7329
286	2941	7307
287	2950	7294
288	2956	7273
289	2973	7280
290	2986	7275
291	2994	7259
292	3001	7243
293	3008	7224
294	3016	7209
295	3022	7189
296	3041	7199
297	3052	7191
298	3060	7174
299	3067	7158
300	3074	7139
301	3086	7132
302	3103	7138
303	3115	7133
304	3124	7118
305	3132	7104
306	3138	7084
307	3149	7075
308	3154	7054
309	3173	7062
310	3183	7053
311	3192	7040
312	3199	7022
313	3205	7003
314	3215	6991
315	3220	6971
316	3229	6959
317	3235	6938
318	3241	6920
319	3248	6903
320	3265	6907
321	3280	6907
322	3288	6893
323	3296	6877
324	3302	6858
325	3309	6842
326	3317	6827
327	3333	6829
328	3346	6826
329	3357	6816
330	3364	6799
331	3370	6781
332	3379	6768
333	3396	6772
334	3409	6767
335	3417	6754
336	3425	6739
337	3432	6723
338	3441	6710
339	3447	6692
340	3452	6673
341	3460	6657
342	3467	6640
343	3474	6625
344	3482	6611
345	3491	6599
346	3497	6580
347	3514	6585
348	3526	6577
349	3535	6565
350	3542	6550
351	3549	6533
352	3559	6523
353	3564	6505
354	3571	6489
355	3577	6471
356	3584	6456
357	3590	6438
358	3595	6420
359	3602	6405
360	3608	6387
361	3614	6370
362	3633	6376
363	3644	6368
364	3654	6358
365	3661	6343
366	3670	6330
367	3685	6329
368	3691	6313
369	3709	6315
370	3722	6310
371	3730	6297
372	3737	6283
373	3744	6267
374	3765	6275
375	3776	6267
376	3785	6256
377	3792	6241
378	3800	6227
379	3811	6219
380	3831	6225
381	3841	6214
382	3850	6202
383	3856	6187
384	3865	6175
385	3871	6158
386	3877	6141
387	3884	6126
388	3889	6109
389	3896	6094
390	3902	6078
391	3910	6066
392	3919	6054
393	3930	6044
394	3938	6031
395	3948	6021
396	3953	6005
397	3972	6008
398	3985	6003
399	3993	5990
400	4001	5976
401	4007	5961
402	4025	5963
403	4036	5955
404	4046	5944
405	4053	5930
406	4061	5916
407	4066	5900
408	4072	5884
409	4081	5873
410	4102	5879
411	4115	5873
412	4123	5860
413	4130	5847
414	4137	5832
415	4156	5835
416	4168	5827
417	4178	5817
418	4185	5803
419	4192	5790
420	4203	5780
421	4221	5781
422	4234	5776
423	4244	5766
424	4252	5753
425	4260	5741
426	4266	5725
427	4274	5712
428	4280	5696
429	4285	5680
430	4292	5666
431	4298	5651
432	4305	5637
433	4313	5625
434	4322	5614
435	4332	5604
436	4342	5594
437	4348	5579
438	4356	5567
439	4363	5553
440	4371	5540
441	4377	5526
442	4383	5511
443	4404	5515
444	4415	5506
445	4424	5495
446	4430	5481
447	4439	5470
448	4446	5456
449	4464	5457
450	4476	5449
451	4486	5439
452	4494	5426
453	4503	5416
454	4520	5414
455	4531	5406
456	4540	5395
457	4547	5381
458	4554	5368
459	4562	5355
460	4568	5341
461	4577	5330
462	4584	5316
463	4594	5307
464	4613	5308
465	4627	5302
466	4637	5292
467	4645	5280
468	4652	5267
469	4659	5254
470	4678	5254
471	4690	5247
472	4701	5237
473	4708	5225
474	4716	5213
475	4735	5213
476	4747	5205
477	4756	5194
478	4764	5182
479	4771	5169
480	4777	5154
481	4783	5140
482	4789	5126
483	4795	5112
484	4811	5108
485	4826	5104
486	4836	5094
487	4843	5081
488	4851	5069
489	4862	5060
490	4880	5059
491	4892	5051
492	4903	5042
493	4912	5031
494	4918	5018
495	4931	5011
496	4950	5009
497	4962	5002
498	4970	4990
499	4978	4978
500	4984	4964
501	4990	4950
502	4996	4936
503	5002	4922
504	5008	4909
505	5019	4900
506	5032	4893
507	5045	4886
508	5051	4872
509	5058	4859
510	5063	4845
511	5069	4831
512	5076	4818
513	5081	4805
514	5087	4791
515	5093	4777
516	5099	4764
517	5105	4751
518	5111	4737
519	5118	4724
520	5126	4713
521	5133	4700
522	5141	4689
523	5147	4676
524	5156	4665
525	5162	4652
526	5168	4638
527	5177	4628
528	5195	4625
529	5207	4617
530	5215	4606
531	5223	4595
532	5230	4582
533	5251	4583
534	5264	4575
535	5273	4565
536	5280	4552
537	5289	4541
538	5308	4540
539	5321	4532
540	5328	4521
541	5336	4509
542	5343	4497
543	5349	4484
544	5366	4480
545	5379	4472
546	5388	4462
547	5395	4450
548	5403	4438
549	5408	4425
550	5414	4412
551	5421	4400
552	5432	4391
553	5439	4378
554	5444	4365
555	5451	4353
556	5458	4340
557	5464	4328
558	5481	4324
559	5493	4316
560	5502	4305
561	5509	4293
562	5517	4282
563	5523	4269
564	5531	4259
565	5539	4247
566	5549	4237
567	5555	4225
568	5561	4212
569	5568	4200
570	5585	4196
571	5598	4188
572	5607	4178
573	5615	4167
574	5621	4155
575	5627	4142
576	5647	4140
577	5659	4131
578	5669	4122
579	5676	4110
580	5684	4099
581	5690	4086
582	5699	4076
583	5704	4063
584	5711	4051
585	5718	4040
586	5724	4027
587	5731	4015
588	5737	4003
589	5744	3992
590	5750	3979
591	5756	3967
592	5777	3965
593	5787	3955
594	5795	3945
595	5802	3933
596	5808	3921
597	5814	3908
598	5822	3897
599	5831	3887
600	5837	3875
601	5843	3863
602	5849	3851
603	5855	3838
604	5864	3828
605	5870	3816
606	5884	3810
607	5902	3805
608	5913	3796
609	5920	3785
610	5928	3774
611	5938	3764
612	5957	3761
613	5969	3752
614	5979	3743
615	5986	3731
616	5993	3720
617	6011	3715
618	6024	3708
619	6032	3697
620	6040	3686
