,회사명,거래소코드,회계년도,외환보유액(천달러),경기동행지수,총자본투자효율,CASH FLOW 대 총자본비율,CASH FLOW 대 부채비율,부가가치율,타인자본회전률,자기자본정상영업이익률,순운전자본회전률,당좌비율,순이익증가율,정상영업이익증가율,부실
0,(주)ES큐브,50120,2012,316897731,82.1,38.87,11.29,81.36,32.14,8.72,0.22,2.03,371.91,92.51077570480427,0.0,0.0
1,(주)ES큐브,50120,2013,335647450,85.0,3.04,8.29,82.01,2.45,10.48,-2.83,1.69,883.95,-4481.062647543539,0.0,0.0
2,(주)ES큐브,50120,2014,353600472,87.2,10.2,4.84,39.24,12.98,7.57,0.37,0.94,668.53,96.26025543406594,0.0,0.0
3,(주)ES큐브,50120,2015,358513845,91.0,4.8,0.1,0.93,6.33,6.51,-8.18,0.85,639.55,-274.8984821476449,0.0,0.0
4,(주)ES큐브,50120,2016,361701404,94.1,25.56,-0.73,-2.3,78.38,1.74,3.56,0.68,1275.25,1033.661139089244,0.0,0.0
5,(주)ES큐브,50120,2017,379476576,97.3,7.08,1.68,5.37,20.96,1.07,3.11,0.66,1153.05,-91.93203097323914,4.05,0.0
6,(주)ES큐브,50120,2018,393332482,98.7,1.04,0.43,1.16,3.45,0.9,-1.69,0.49,95.25,-452.2282031733245,-153.86,0.0
7,(주)ES큐브,50120,2019,397876077,101.2,-0.12,8.0,9.52,-1.28,0.2,-3.62,0.13,152.69,-124.9094742399773,0.0,0.0
8,(주)ES큐브,50120,2020,430117234,101.6,0.53,2.67,2.96,4.67,0.16,14.37,0.11,59.7,-83.70571570601089,0.0,0.0
9,(주)ES큐브,50120,2021,438319248,106.3,1.89,1.47,1.65,16.27,0.16,0.31,0.23,817.39,121.2548285752016,-97.25,0.0
10,(주)ES큐브,50120,2022,399043064,108.8,30.78,6.49,69.87,49.81,0.15,13.56,0.53,271.98,359.1443954119582,5318.12,0.0
11,(주)HJ매그놀리아용평호텔앤리조트,70960,2016,361701404,94.1,7.73,0.96,1.67,34.08,0.35,8.56,0.34,72.45,23.29,14.92,0.0
12,(주)HJ매그놀리아용평호텔앤리조트,70960,2017,379476576,97.3,8.95,-0.07,-0.13,37.06,0.42,8.33,0.44,49.94,18.37798644618926,10.28,0.0
13,(주)HJ매그놀리아용평호텔앤리조트,70960,2018,393332482,98.7,9.12,4.33,8.82,40.89,0.42,5.97,0.52,48.41,-39.91746715231593,-26.67,0.0
14,(주)HJ매그놀리아용평호텔앤리조트,70960,2019,397876077,101.2,5.35,4.48,8.38,35.15,0.3,-1.02,0.42,41.58,-235.3978650182771,-116.79,0.0
15,(주)HJ매그놀리아용평호텔앤리조트,70960,2020,430117234,101.6,4.14,4.09,6.98,29.66,0.26,-1.8,0.3,36.79,-27.33967934563981,0.0,0.0
16,(주)HJ매그놀리아용평호텔앤리조트,70960,2021,438319248,106.3,8.6,2.34,4.32,30.62,0.48,8.04,0.58,49.44,149.3892619868691,0.0,0.0
17,(주)HJ매그놀리아용평호텔앤리조트,70960,2022,399043064,108.8,5.57,0.79,1.4,33.72,0.3,0.41,0.42,47.86,-239.7481241781282,-94.95,0.0
18,(주)MH에탄올,23150,2012,316897731,82.1,11.43,-1.76,-2.5,25.71,0.64,13.24,0.47,36.07,106.5950980788156,803.71,0.0
19,(주)MH에탄올,23150,2013,335647450,85.0,10.06,0.47,0.72,20.98,0.7,7.04,0.5,40.78,2345.717526942711,-44.79,0.0
20,(주)MH에탄올,23150,2014,353600472,87.2,13.21,6.59,17.21,23.06,0.84,17.72,0.55,68.77,-102.8910961131915,190.55,0.0
21,(주)MH에탄올,23150,2015,358513845,91.0,20.83,11.74,43.92,32.66,1.87,20.04,0.97,92.01,3928.179612486651,26.84,0.0
22,(주)MH에탄올,23150,2016,361701404,94.1,23.63,17.71,146.33,34.95,3.27,19.55,1.39,185.46,4.706390988704513,7.05,0.0
23,(주)MH에탄올,23150,2017,379476576,97.3,2.84,1.56,1.98,27.32,0.26,9.53,0.34,41.69,-47.10576862159416,-31.65,0.0
24,(주)MH에탄올,23150,2018,393332482,98.7,3.83,-0.9,-1.14,23.15,0.2,1.24,0.33,16.33,-379.3230747518377,-84.87,0.0
25,(주)MH에탄올,23150,2019,397876077,101.2,5.0,0.01,0.01,27.91,0.22,9.16,0.33,8.73,37.24113361545854,537.44,0.0
26,(주)MH에탄올,23150,2020,430117234,101.6,10.06,3.38,4.11,47.78,0.26,19.75,0.38,20.1,150.3548907229474,101.58,0.0
27,(주)MH에탄올,23150,2021,438319248,106.3,12.51,5.02,6.18,55.34,0.28,28.26,0.38,14.42,128.4846020969159,47.86,0.0
28,(주)MH에탄올,23150,2022,399043064,108.8,12.08,4.79,6.09,48.81,0.31,24.35,0.37,23.02,37.02419130691983,-6.04,0.0
29,(주)SH에너지화학,2360,2012,316897731,82.1,14.0,2.4,6.4,7.49,4.96,3.36,2.36,123.05,-88.29221109489764,-47.6,0.0
30,(주)SH에너지화학,2360,2013,335647450,85.0,18.86,2.31,6.23,8.98,5.82,9.55,2.66,134.09,2084.863460024472,194.26,0.0
31,(주)SH에너지화학,2360,2014,353600472,87.2,33.51,13.86,57.91,16.07,6.85,27.66,2.64,224.49,263.2193384144383,231.12,0.0
