Unnamed: 0,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,부실
43,(주)STX,11810,2015/12,0.97,0.0,0.0,-22.76,-0.23,2.42,2.74,-2.1,-3.0,-41.17,-59.01,1.82,103.24,-39.51,1.29,19.65,1.38,1.82,2.56,6.23,8.39,0.95,0.28,-56.79,422.94,0.0,8327.11,6.28,78.33,-1642.0,-534.21,-3.22,102008.97,4.88,114.02,5.71,104.09,67.59,8.89,892.68,93.87,1651.71,-3.85,-5.1,-3.63,-2.82,54621.31,2252.41,-2.696445143084412,-3.865299268321938,0
44,(주)STX,11810,2016/12,-44.15,0.0,0.0,-556.99,5.48,-5.51,4.93,-1.99,-26.59,0.0,0.0,1.93,124.81,0.0,1.74,0.0,1.54,2.48,4.07,6.34,13.31,1.07,0.15,-3405.1,256.65,0.0,5230.72,-48.77,-469.74,-14597.0,1846.86,-378.97,-1045960.61,-20.07,0.0,-46.71,49.89,26.7,4.89,0.0,107.47,0.0,2.02,2.65,2.96,1.22,54931.92,0.0,-4.828114380345594,-64.63758409176653,1
45,(주)STX,11810,2017/12,-11.33,0.0,0.0,0.0,4.87,-0.83,4.73,2.44,18.54,0.0,0.0,1.07,85.37,-270.21,2.7,0.0,2.22,3.75,6.51,8.85,17.47,1.45,0.11,3081.66,249.0,0.0,4373.05,66.31,591.1,20985.0,630.88,-10.51,1066958.97,23.07,12.61,6.78,85.88,53.1,17.24,0.0,90.72,1374.49,13.52,22.68,12.6,4.38,11346.76,267.53,7.019928546615207,53.28503908901715,0
46,(주)STX,11810,2018/12,-11.71,-133.55,-97.28,49.97,-16.68,-7.56,1.33,-0.98,0.61,-27.73,17.12,0.72,99.39,10.78,2.54,28.2,2.8,3.34,5.12,9.66,12.81,1.57,0.14,256.69,0.0,0.0,0.0,15.07,112.51,471.0,-2514.66,29.93,232002.78,5.56,65.19,11.56,91.21,63.3,9.55,0.0,168.05,765.34,5.32,7.87,4.71,1.74,78552.83,3137.81,-2.667215342714972,1.6436818328667784,0
47,(주)STX,11810,2019/12,1.09,0.0,-460.27,-11.47,-2.12,5.45,3.16,0.12,-2.26,2.91,-54.53,0.85,102.13,-61.63,2.64,24.45,2.96,3.64,5.24,11.85,10.91,1.72,0.16,-130.09,0.0,0.0,0.0,9.12,56.6,-1664.0,26.77,15.08,30577.25,3.47,120.67,10.05,87.86,60.85,9.1,0.0,137.76,895.02,-4.72,-7.16,-4.25,-1.62,74576.54,2468.71,0.3120832269548497,-5.930652536033294,0
48,(주)STX,11810,2020/12,10.26,0.0,0.0,-50.05,-33.69,-26.72,4.14,-0.05,-2.1,-0.71,-48.03,1.05,101.92,-189.01,1.66,14.14,1.88,2.76,4.02,8.84,6.82,1.22,0.16,54.36,0.0,0.0,0.0,9.88,31.77,-1032.0,2935.84,-42.26,363.74,6.25,96.63,13.23,69.81,47.55,5.7,0.0,140.52,655.62,5.45,8.06,4.73,3.0,49453.63,1228.78,-0.0798299120899406,-3.3110791935397685,0
49,(주)STX,11810,2021/12,9.49,0.0,0.0,136.9,-5.13,-3.53,5.98,0.98,-2.52,8.85,-32.13,0.98,102.03,-91.99,1.43,9.06,1.7,2.7,3.92,8.65,5.66,1.16,0.16,46.3,0.0,0.0,0.0,12.27,36.33,-696.0,-511.65,-6.2,562.53,8.97,88.35,18.12,81.68,56.73,4.37,0.0,145.92,451.82,4.1,6.47,3.36,2.45,37797.95,2386.99,1.3369834163771597,-3.448648152995863,0
50,(주)STX,11810,2022/12,9.71,0.0,0.0,-25.01,28.42,-3.66,4.01,-0.16,-1.57,-1.74,-23.17,1.16,101.52,-163.57,1.68,10.57,1.99,2.86,3.79,11.67,5.43,1.31,0.16,111.77,499.82,0.0,4771.7,13.71,46.59,-491.0,-2954.85,-29.57,724.26,8.55,85.82,13.81,85.83,68.87,3.46,0.0,261.75,624.35,-7.59,-11.0,-6.55,-4.08,41527.42,1428.05,-0.2635538108128512,-2.514208988061214,0
53,(주)TCC스틸,2710,2014/12,1.34,0.0,0.0,-7.98,3.63,-1.61,6.82,0.07,-3.05,0.17,-7.71,2.32,102.33,40.07,0.95,2.63,1.48,2.29,4.9,4.3,6.72,1.16,0.0,125.09,224.65,64.72,1507.51,12.09,45.14,0.0,-1128.44,917.69,139.32,12.84,84.95,34.31,82.22,38.38,2.07,0.0,227.51,191.48,-7.0,-9.05,-4.6,-4.88,27315.54,10806.28,0.062517358988615,-2.869980733576855,1
54,(주)TCC스틸,2710,2015/12,-31.69,4502.76,0.0,-54.43,-4.47,-8.17,8.85,3.2,-22.23,11.53,-80.07,1.24,102.48,-77.19,1.07,3.61,1.52,2.09,3.3,5.72,6.45,1.09,0.0,-405.01,180.17,65.39,1176.7,12.44,65.15,0.0,1472.16,307.68,220.79,9.44,104.11,22.85,156.35,124.48,6.79,56.56,176.61,337.6,1.48,2.56,1.14,0.87,24291.05,3620.42,4.212376910186625,-29.28283017132041,0
