,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,CP전년대비증가율,경기선행지수,경기동행지수,GDP대비국가부채비율,CPI,CPI증감률,실질GDP성장률,코스닥연수익률 (%),코스피연수익률(%),코스닥변동성,코스피변동성,장단기금리차(전월차)(%p),실업률,외환보유액(천달러),CD이자율,환율,수출물가지수증감률,수입물가지수증감률,3년국고채수익률,생산자물가지수,생산자물가지수증감률,부실
0,(주)CMG제약,58820,2012,109.1471191675666,0.0,-341.5718678602543,75.17050474350222,-8.429134465063184,-0.74,28.33951251489583,-25.87,-40.97,-16.95,-26.84,2.53,140.55,-165.71,0.39,0.66,0.93,0.52,0.57,5.705371888861102,1.85,0.42,0.0,-0.66,69.14,18.64,425.29,0.47,2.89,-0.1008723139560843,-32.19,-4.31,10.67,1.66,1749.845902491553,55.32,693.49,649.98,68.81,7.330001365706887,323.41,80.77,-8.1,-11.83,-3.62,-12.71,332.74,643.72,-7.364117851367149,-11.66236765106696,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
1,(주)강스템바이오텍,217730,2017,-35.50386956457693,0.0,-360.9759757109318,-54.98723151327316,-78.91774576496742,-5.06,35.68283988319642,-128.52,-126.27,-47.94,-46.19,12.56,165.24,-142.95,0.19,0.37,0.4,0.36,0.39,10.58753379993914,20.71,0.29,0.05,-28.32,0.0,0.0,0.0,-1.37,-10.95,-0.7095836426340807,-655.12,202.13,-73.0,-7.08,-1119.380036814181,51.87,396.43,369.34,61.46,9.138987621226766,35.57,92.79,-46.87,-74.71,-22.56,-116.58,561.97,1640.93,-24.86889599878845,-24.4326238497659,1.234567901,93.2,97.3,36.0,112.1,18.87592789,2.830172037,26.44431455,21.76356986,26.44,21.76,0.02,3.5,379476576,1.66,1070.5,6.142843147,6.135629709,2.135,98.58,3.441762854,1.0
2,(주)강원에너지,114190,2018,0.7149456241365983,0.0,126.4869023759036,3.934945254964447,4.718161843184923,-13.14,6.860027892320811,0.4,1.99,0.69,4.19,1.51,97.25,38.55,0.92,1.74,1.94,1.24,1.25,189.8211505890386,1.97,0.8,0.01,97.22,0.0,0.0,0.0,12.36,125.77,0.1112057373200157,-666.96,528.4,1960.22,13.5,59.85967277670833,53.5,161.8,160.55,45.27,2.017690344459425,375.08,86.93,-15.9,-28.39,-7.4,-8.08,5632.02,3180.1,0.3637134690291634,1.820956376249425,11.58536585,94.7,98.7,35.9,98.0,-12.57805531,3.240034708,-15.37661395,-17.2827429,-15.38,-17.28,-0.16,3.6,393332482,1.93,1115.7,0.747646299,5.893728704,1.817,100.43,1.876648407,1.0
3,(주)고바이오랩,348150,2021,79.86111439725137,0.0,72.06963990865331,63.54469346229655,-36.9848970431135,23.08,65.98229928224548,-564.66,-531.63,-22.38,-21.07,-12.0,551.21,-149.36,0.04,0.04,0.32,0.04,0.04,15.99536170671502,2.01,0.03,0.06,-279.9,0.0,0.0,0.0,-10.51,-2664.77,-0.8534947365687593,-777.51,905.29,0.0,-382.53,-48.9233807795099,86.04,1441.79,1438.04,770.36,0.2791627605777056,0.0,16.22,-85.91,-137.28,-11.99,-436.37,180.24,5423.61,-15.5172012093786,-14.60972275615416,-26.66666667,107.3,106.3,46.7,104.0,14.28571429,4.24876323,6.769789835,3.625579272,6.77,3.63,-0.02,3.4,438319248,1.29,1188.8,14.29,14.98767321,1.798,106.38,6.38,1.0
4,(주)골드앤에스,35290,2014,-9.552472221171966,0.0,44.65217553726738,-7.958450121901933,-20.88964750140396,-35.09,25.0373515331492,-9.84,-29.79,-24.43,-90.29,6.92,127.9,-386.95,0.64,2.48,0.86,2.03,2.52,10.30195018632589,6.26,0.73,0.0,24.41,6.79,0.0,390.33,8.62,17.61,-0.7666705552041795,-51.3,46.55,2262.78,12.82,139.4819787245715,25.97,60.18,48.43,1.37,-29.48117855982093,576.01,285.09,-1.73,-2.56,-1.28,-1.91,1619.18,198.81,-6.618738452501151,-20.0289719366253,-7.473309609,81.8,87.2,34.1,101.7,-5.30726257,2.565798228,8.596168185,-4.760508001,8.6,-4.76,-0.02,3.6,353600472,2.13,1099.3,-5.961830772,-8.166370784,2.098,101.12,-0.531182373,1.0
5,(주)광림,14200,2016,-6.243604383549472,0.0,-697.3265786597158,-11.99099185584178,-62.27938760778882,-0.84,14.08963340272273,0.2,-2.17,0.15,-1.92,0.63,95.4,0.0,0.38,0.77,0.75,0.99,1.42,1.688474393579791,4.24,0.45,0.2,54.33,0.0,0.0,0.0,4.26,13.98,-0.0391047464863129,67.8,307.7,37.51,11.2,102.5651203784506,49.44,83.29,58.22,27.45,-149.998891526227,60.78,102.28,2.83,5.8,1.43,3.77,1800.12,1952.16,0.074815523184025,-0.8260226276647825,-12.90322581,89.2,94.1,36.0,94.3,-8.712487899,2.534036418,-7.460976766,3.321754358,-7.46,3.32,0.18,3.4,361701404,1.52,1207.7,-3.297015632,-4.409924937,1.638,95.3,-1.813311354,1.0
6,(주)광무,29480,2012,-26.54221305693728,0.0,78.67620210963587,-22.00381553883398,-20.43543304719315,-13.16,18.02189982617948,-14.03,-25.96,-19.58,-36.23,2.28,122.51,-180.48,0.74,1.4,1.57,1.73,2.55,4.396190223832811,4.0,0.93,0.0,-19.29,93.54,18.81,455.78,5.14,22.99,-0.8263201063722876,-46.04,383.6,112.26,6.96,290.5987942523005,52.89,117.03,79.59,3.09,219.8456274898326,298.09,89.07,-22.1,-35.87,-10.41,-14.11,326.42,282.8,-10.35507037799585,-19.15987964710068,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
7,(주)국순당,43650,2017,13.70622622169541,0.0,450.9217629808222,14.18451900196538,-9.95682058343101,-17.15,37.88077245642517,-6.79,15.44,-2.05,4.88,-2.86,86.23,76.26,0.28,0.3,3.17,0.73,0.88,4.304000755996971,7.28,0.64,0.0,38.78,0.0,0.0,0.0,12.82,53.49,0.5424846054810132,-135.59,2355.09,309.02,49.47,55.34048971667139,91.47,708.73,591.98,295.3,19.17906443755899,433.71,9.33,-5.52,-98.27,-0.47,-1.82,3514.4,10425.69,-1.76025446433668,3.999944178308521,1.234567901,93.2,97.3,36.0,112.1,18.87592789,2.830172037,26.44431455,21.76356986,26.44,21.76,0.02,3.5,379476576,1.66,1070.5,6.142843147,6.135629709,2.135,98.58,3.441762854,1.0
8,(주)금빛,45890,2012,-10.14911710631682,0.0,80.51269149663852,-6.526280267720168,27.92091312257852,16.14,27.72635971108506,-5.98,-8.84,-10.11,-14.7,3.53,109.82,6.57,0.69,1.69,1.17,1.49,2.6,3.516152595834565,5.12,0.73,1.11,61.35,165.36,11.17,383.53,7.45,16.92,-0.2493497616414034,394.7,301.89,233.27,10.18,137.8498545260829,41.82,83.68,46.03,10.22,-230.7627627983632,135.28,139.1,15.32,22.11,8.91,12.18,2821.38,1684.67,-4.37569938040855,-6.46842503825459,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797,1.0
9,(주)기가레인,49080,2017,16.62879145014272,0.0,91.10107545628442,53.94615727084908,32.72070086593198,-42.86,17.39263516664986,5.23,-0.92,7.15,-1.88,2.47,99.07,2.0,0.59,1.37,1.05,1.69,2.32,6.240507119594086,6.21,0.75,0.64,90.45,310.54,107.07,898.78,13.02,36.36,-0.018946163982081,-64.69,258.31,105.08,23.62,56.36931108793236,48.82,93.25,61.93,9.53,-464.0782921357241,178.2,104.84,-2.58,-3.58,-1.32,-2.4,2119.02,1403.65,2.880686805545168,-0.5069698561875964,1.234567901,93.2,97.3,36.0,112.1,18.87592789,2.830172037,26.44431455,21.76356986,26.44,21.76,0.02,3.5,379476576,1.66,1070.5,6.142843147,6.135629709,2.135,98.58,3.441762854,1.0
