회계년도,CP전년대비증가율,경기선행지수,경기동행지수,GDP대비국가부채비율,CPI,CPI증감률,실질GDP성장률,코스닥연수익률 (%),코스피연수익률(%),코스닥변동성,코스피변동성,장단기금리차(전월차)(%p),실업률,외환보유액(천달러),CD이자율,환율,수출물가지수증감률,수입물가지수증감률,3년국고채수익률,생산자물가지수,생산자물가지수증감률
2012,-5.571030641,75.3,82.1,30.8,98.2,-0.304568528,2.406572286,-0.771719263,9.383047943,-0.77,9.38,0.11,3.1,316897731,2.89,1070.6,-2.367797948,-0.724217845,2.82,103.31,0.692007797
2013,-17.10914454,78.7,85,32.6,107.4,9.368635438,3.809548274,0.739438841,0.71555127,0.74,0.26,0.04,3.2,335647450,2.66,1055.4,-4.268391269,-7.917155139,2.858,101.66,-1.597134837
2014,-7.473309609,81.8,87.2,34.1,101.7,-5.30726257,2.565798228,8.596168185,-4.760508001,8.6,-4.76,-0.02,3.6,353600472,2.13,1099.3,-5.961830772,-8.166370784,2.098,101.12,-0.531182373
2015,-28.46153846,85.5,91,35.7,103.3,1.573254671,3.440104128,25.6699288,2.386736911,25.67,2.39,0.02,3.5,358513845,1.67,1172.5,-5.217313218,-18.11283075,1.662,97.06,-4.015031646
2016,-12.90322581,89.2,94.1,36,94.3,-8.712487899,2.534036418,-7.460976766,3.321754358,-7.46,3.32,0.18,3.4,361701404,1.52,1207.7,-3.297015632,-4.409924937,1.638,95.3,-1.813311354
2017,1.234567901,93.2,97.3,36,112.1,18.87592789,2.830172037,26.44431455,21.76356986,26.44,21.76,0.02,3.5,379476576,1.66,1070.5,6.142843147,6.135629709,2.135,98.58,3.441762854
2018,11.58536585,94.7,98.7,35.9,98,-12.57805531,3.240034708,-15.37661395,-17.2827429,-15.38,-17.28,-0.16,3.6,393332482,1.93,1115.7,0.747646299,5.893728704,1.817,100.43,1.876648407
2019,0.546448087,98,101.2,37.6,102,4.081632653,2.677446185,-0.861393786,7.674023038,-0.86,7.67,0.12,3.5,397876077,1.53,1156.4,-3.353183692,0.831050228,1.36,100.46,0.0298715523
2020,-18.47826087,103.2,101.6,43.6,91,-10.78431373,-0.718111407,44.57697598,30.75075297,44.58,30.75,0.03,4.2,430117234,0.66,1086.3,-5.204284766,-9.5,0.976,100,-0.457893689
2021,-26.66666667,107.3,106.3,46.7,104,14.28571429,4.24876323,6.769789835,3.625579272,6.77,3.63,-0.02,3.4,438319248,1.29,1188.8,14.29,14.98767321,1.798,106.38,6.38
2022,163.6363636,109.3,108.8,49.4,90,-13.46153846,1.345043666,-34.30337232,-24.8937929,-34.3,-24.89,-0.35,3,399043064,3.98,1264.5,16.64187593,20.57393653,3.722,115.29,8.375634518
