,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률
0,(주)HJ매그놀리아용평호텔앤리조트,70960,2016/12,-4.3,14.92,23.29,26.73,19.51,0.0,23.24,14.42,6.8,8.56,4.04,5.22,91.37,34.73,0.22,0.59,0.35,0.8,0.86,11.03,1.36,0.34,0.0,222.12,2150.24,0.0,2966.36,7.73,10.67,324.0,-431.17,64.72,0.0,34.08,30.12,42.68,77.07,72.45,24.23,0.0,7094.91,134.32,1.67,6.9,0.96,4.23,4782.96,8769.03,3.2697308542067307,1.541670502106813
1,(주)HJ매그놀리아용평호텔앤리조트,70960,2017/12,-6.54,10.28,18.39,2.96,-0.49,2.56,22.57,15.98,8.09,8.33,4.21,5.12,89.61,36.5,0.23,0.52,0.42,1.1,1.19,14.85,1.84,0.44,0.0,234.68,2211.52,0.0,2703.09,8.95,10.95,352.0,370.0,69.59,0.0,37.06,29.06,47.02,55.39,49.94,12.62,0.0,5053.47,112.69,-0.13,-0.42,-0.07,-0.28,4356.18,8146.08,3.858407698554864,1.952787327764895
2,(주)HJ매그놀리아용평호텔앤리조트,70960,2018/12,-6.38,-26.67,-39.9,1.47,-13.49,7.79,22.91,13.54,5.62,5.97,2.48,5.59,92.82,37.11,0.22,0.44,0.42,1.47,1.66,13.22,3.29,0.52,0.0,207.03,0.0,0.0,0.0,9.12,10.7,212.0,1090.82,72.09,0.0,40.89,34.64,50.96,55.57,48.41,31.88,0.0,1474.81,96.24,8.82,22.8,4.33,19.38,3768.46,8287.53,3.0220854424714214,1.2532287988725963
3,(주)HJ매그놀리아용평호텔앤리조트,70960,2019/12,4.57,-116.79,-235.41,-4.44,-28.64,1.73,10.26,-3.19,-10.66,-1.02,-3.41,9.57,113.18,34.26,0.16,0.32,0.3,1.22,1.41,8.82,6.08,0.42,0.0,120.94,0.0,0.0,0.0,5.35,6.32,-287.0,490.32,64.45,0.0,35.15,57.59,46.57,48.72,41.58,22.05,0.0,1205.05,114.75,8.38,21.06,4.48,29.4,2689.02,7979.61,-0.4852285170554782,-1.6226579627556474
4,(주)HJ매그놀리아용평호텔앤리조트,70960,2020/12,7.29,0.0,0.0,-4.55,-1.56,-6.25,7.15,-5.46,-13.78,-1.8,-4.54,9.25,118.14,31.25,0.14,0.33,0.26,0.92,1.16,4.59,6.6,0.3,0.0,107.65,0.0,0.0,0.0,4.14,5.25,-365.0,1057.91,56.97,0.0,29.66,64.37,41.43,48.21,36.79,20.79,0.0,4125.71,141.39,6.98,19.92,4.09,29.24,2647.18,7604.52,-0.7623891736141694,-1.925870617865982
5,(주)HJ매그놀리아용평호텔앤리조트,70960,2021/12,-7.72,0.0,0.0,2.25,85.48,-0.91,21.49,13.0,3.67,8.04,2.27,5.39,95.55,32.7,0.27,0.62,0.48,1.76,2.08,11.56,11.26,0.58,0.0,216.53,0.0,0.0,0.0,8.6,10.1,180.0,-239.81,60.49,0.0,30.62,31.83,45.9,50.09,49.44,17.67,0.0,1671.47,117.86,4.32,9.48,2.34,8.33,4909.91,7791.38,3.6519438977933576,1.0307548669613615
6,(주)HJ매그놀리아용평호텔앤리조트,70960,2022/12,3.18,-94.95,0.0,-2.21,-39.36,5.81,13.32,1.08,-8.46,0.41,-3.17,7.45,106.47,30.99,0.17,0.38,0.3,1.21,1.34,11.93,5.26,0.42,0.0,141.35,0.0,0.0,0.0,5.57,6.93,-252.0,525.13,56.94,0.0,33.72,51.47,43.5,57.43,47.86,15.12,0.0,1381.75,129.88,1.4,3.3,0.79,4.79,2977.46,7642.54,0.1787804068177252,-1.3960229577110794
7,(주)MH에탄올,23150,2012/12,0.13,803.71,0.0,-6.76,33.46,1.96,17.97,9.12,0.48,13.24,1.01,7.51,98.31,85.99,0.45,1.45,0.64,1.25,1.83,3.94,6.33,0.47,0.0,220.69,661.98,14.56,2676.94,11.43,21.39,59.0,-700.89,787.71,728.46,25.71,37.66,29.53,61.27,36.07,0.73,0.0,66557.71,238.69,-2.5,-3.09,-1.76,-3.95,8538.31,7783.36,4.056777183764182,0.2138387926410059
8,(주)MH에탄올,23150,2013/12,-3.49,-44.79,1640.29,17.05,4.07,-1.92,12.67,4.84,11.3,7.04,16.85,5.07,98.82,82.42,0.47,1.45,0.7,1.33,2.07,3.76,5.98,0.5,0.0,-198.03,667.74,10.79,2402.37,10.06,18.55,1022.0,873.44,939.04,648.66,20.98,40.06,35.38,57.37,40.78,0.14,0.0,287248.6,182.66,0.72,0.81,0.47,0.97,8885.7,6130.55,2.320578177897912,5.418925093765563
9,(주)MH에탄올,23150,2014/12,-34.05,190.55,0.0,15.27,-21.25,3.92,24.24,17.85,-0.41,17.72,-0.38,2.46,90.72,82.1,0.46,0.99,0.84,1.36,1.87,5.03,4.65,0.55,0.0,208.12,671.64,31.87,1608.56,13.21,31.73,-26.0,699.22,1048.39,668.75,23.06,38.67,61.72,90.87,68.77,0.02,0.0,0.0,62.03,17.21,19.17,6.59,11.51,6638.69,6296.3,10.223730005501034,-0.2375558338281317
