회사명,거래소코드,회계년도,당기순이익,영업현금흐름,자본,유동비율,부채비율,매출액총이익률,총자본회전률,자기자본정상영업이익률,ROA
(주)CMG제약,58820,2011-12-01,-1508282,-2560438,18034249,200.97,51.41,41.83,0.66,3.51,-5.523790744897729
(주)CMG제약,58820,2012-12-01,-6660149,-1572581,31590685,693.49,80.77,28.34,0.39,-16.95,-11.662367651066964
(주)CMG제약,58820,2013-12-01,296181,-3939013,48997281,694.71,14.11,38.7,0.36,1.96,0.5297217371344612
(주)CMG제약,58820,2014-12-01,158039,724893,49002644,324.58,18.5,37.07,0.4,0.9,0.2721604201230116
(주)CMG제약,58820,2015-12-01,-3650091,2410205,46806888,296.85,20.78,36.26,0.47,-5.37,-6.456587404332785
(주)CMG제약,58820,2016-12-01,1727895,3321352,101107635,862.15,9.76,40.36,0.39,2.34,1.556944558241361
(주)CMG제약,58820,2017-12-01,2834901,1948086,97944019,746.28,11.87,43.43,0.38,1.57,2.5873403195908575
(주)CMG제약,58820,2018-12-01,6065026,886779,103981846,957.86,10.0,45.6,0.45,2.54,5.30252873145172
(주)CMG제약,58820,2019-12-01,3051177,2823387,180158283,1618.07,6.71,49.34,0.38,1.83,1.5871445854153277
(주)CMG제약,58820,2020-12-01,3051177,2823387,180158283,1618.07,6.71,49.34,0.38,1.83,1.5871445854153277
(주)CMG제약,58820,2021-12-01,3051177,2823387,180158283,1618.07,6.71,49.34,0.38,1.83,1.5871445854153277
(주)CMG제약,58820,2022-12-01,3051177,2823387,180158283,1618.07,6.71,49.34,0.38,1.83,1.5871445854153277
(주)ES큐브,50120,2011-12-01,-4796438,1107724,39245830,230.24,41.36,27.92,0.96,-9.3,-8.645808593365269
(주)ES큐브,50120,2012-12-01,-359216,5224759,39859681,472.77,16.11,28.02,1.21,0.22,-0.7761519357775846
(주)ES큐브,50120,2013-12-01,-16455910,2590980,42372440,1056.51,11.25,24.76,1.25,-2.83,-34.91038878900278
(주)ES큐브,50120,2014-12-01,-615409,2889415,49628091,769.89,14.07,21.42,0.86,0.37,-1.0870677290876063
(주)ES큐브,50120,2015-12-01,-2307159,-2778236,49654460,765.67,12.01,27.8,0.75,-8.18,-4.148053551690139
(주)ES큐브,50120,2016-12-01,21541047,1240854,71696122,1493.9,46.68,28.68,0.43,3.56,20.48316798083797
(주)ES큐브,50120,2017-12-01,1737925,2310978,72816880,1378.49,45.42,27.1,0.34,3.11,1.6412220469904415
(주)ES큐브,50120,2018-12-01,-6121462,-1347532,70748607,119.8,58.92,22.89,0.31,-1.69,-5.444643970461643
(주)ES큐브,50120,2019-12-01,-13767748,75624795,74038512,156.01,526.65,18.75,0.15,-3.62,-2.9674513256223594
(주)ES큐브,50120,2020-12-01,-25292140,-37420433,69497819,61.5,928.65,29.93,0.14,14.37,-3.53790779304017
(주)ES큐브,50120,2021-12-01,5375801,69284861,115855194,872.57,834.56,12.15,0.14,0.31,0.4965033565054068
(주)ES큐브,50120,2022-12-01,24682689,-53485226,110399253,482.66,10.24,31.78,0.12,13.56,20.280682996408714
(주)가비아,79940,2011-12-01,7014899,9650833,48665742,207.38,33.47,44.79,0.9,19.05,10.799722082124024
(주)가비아,79940,2012-12-01,9419144,13224986,58945247,215.35,44.62,41.64,0.92,14.16,11.049560197509482
