,회사명,거래소코드,회계년도,총자본증가율,정상영업이익증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율(관계기업투자손익 제외),사내유보 대 자기자본비율,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률,운전자본회전률,종업원1인당 부가가치,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,1주당순이익,1주당 CASH FLOW,유보율,기계투자효율,부가가치율,노동소득분배율,자기자본구성비율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,1주당매출액,1주당순자산,총자산영업이익률,총자산순이익률,이자_부실,현금흐름_부실,자본_부실,부실
0,(주)CMG제약,58820,2012/12,109.1471191675666,0.0,-341.5718678602543,75.17050474350222,-8.429134465063184,-0.74,28.33951251489583,-25.87,-40.97,-16.95,-26.84,2.53,140.55,-165.71,0.39,0.66,0.93,0.52,0.57,5.705371888861102,1.85,0.42,0.0,-0.66,69.14,18.64,425.29,0.47,2.89,-0.1008723139560843,-32.19,-4.31,10.67,1.66,1749.845902491553,55.32,693.49,649.98,68.81,7.330001365706887,323.41,80.77,-8.1,-11.83,-3.62,-12.71,332.74,643.72,-7.364117851367149,-11.66236765106696,0.0,1.0,0.0,1.0
1,(주)ES큐브,50120,2012/12,-16.57509724024169,0.0,92.51077570480427,1.56411776741632,4.854247527236442,-0.42,28.01551663752755,0.16,-0.64,0.22,0.29,-0.65,100.19,1.22,1.21,1.4,8.72,2.46,3.13,11.02169034844034,12.19,2.03,0.0,49.23,5.92,0.0,189.31,38.87,565.49,-0.0153556009838432,223.35,235.11,2009.57,32.14,86.10823633511822,86.12,472.77,371.91,84.78,27.05654208191349,297.97,16.11,81.36,3402.53,11.29,9.33,2392.63,1032.9,0.1930289449427699,-0.7761519357775846,0.0,0.0,0.0,0.0
2,(주)ES큐브,50120,2013/12,1.849356743038171,0.0,-4481.062647543539,6.304011815849691,4.692085370342688,-57.63,24.75997511218978,-1.99,-28.08,-2.83,-40.47,-0.52,126.45,-31.95,1.25,1.43,10.48,1.92,2.35,10.54939454370103,15.18,1.69,0.0,-57.23,9.15,0.0,475.1,3.04,65.87,-0.4509293014289791,82.34,128.55,225.06,2.45,1052.789687602395,89.89,1056.51,883.95,278.73,18.04070889393285,334.9,11.25,82.01,2558.09,8.29,6.67,1862.12,1299.09,-2.47066390117285,-34.91038878900278,0.0,0.0,0.0,0.0
3,(주)ES큐브,50120,2014/12,20.09917438897416,0.0,96.26025543406594,17.12351471852931,-24.12699097490073,-73.0,21.41954509197916,0.38,-1.38,0.37,1.15,-1.43,100.68,-6.03,0.86,0.97,7.57,1.05,1.23,7.200458624626561,13.48,0.94,0.0,54.87,23.72,0.0,1663.49,10.2,251.09,-0.0168636040463946,79.18,128.93,857.87,12.98,82.72735146371039,87.66,769.89,668.53,425.42,15.13021877085743,284.54,14.07,39.24,102.05,4.84,6.16,1218.29,1114.16,0.3022159535684375,-1.087067729087606,0.0,0.0,0.0,0.0
4,(주)ES큐브,50120,2015/12,-1.751499456756711,0.0,-274.8984821476449,0.0531332144127816,-5.188114570850319,44.44,27.80340705317374,-9.63,-5.47,-8.18,1.56,-0.54,104.45,8.13,0.75,0.85,6.51,0.96,1.13,6.551810604917258,14.27,0.85,0.0,160.59,15.29,0.0,1208.3,4.8,135.68,-0.0632213956053224,-76.13,133.16,575.47,6.33,197.0512566050878,89.27,765.67,639.55,492.89,18.94690932004664,211.48,12.01,0.93,2.88,0.1,0.13,1155.09,1223.7,-7.300263501010782,-4.148053551690139,0.0,0.0,0.0,0.0
5,(주)ES큐브,50120,2016/12,89.07604564378316,0.0,1033.661139089244,44.39009506900285,-18.6548719097282,-23.08,28.68216213268334,6.3,62.82,3.56,38.07,-0.61,61.22,30.22,0.43,0.57,1.74,0.74,0.88,4.818877775805595,13.3,0.68,0.0,672.0,155.77,0.0,3482.0,25.56,380.46,0.5175458122908368,31.18,244.51,11735.41,78.38,16.17363775966017,68.18,1493.9,1275.25,918.41,15.6864057940057,263.79,46.68,-2.3,-2.58,-0.73,-2.24,861.65,1754.02,2.054913407860168,20.48316798083797,0.0,0.0,0.0,0.0
6,(주)ES큐브,50120,2017/12,0.6917772902078309,4.05,-91.93203097323914,1.56320588720267,4.247404845552056,16.67,27.10208367451567,6.29,4.86,3.11,2.41,1.01,95.23,31.17,0.34,0.49,1.07,0.7,0.83,4.526380602474531,13.8,0.66,0.0,127.89,0.0,0.0,0.0,7.08,64.47,0.0208777179174613,27.76,74.95,1606.97,20.96,55.49060899412012,68.77,1378.49,1153.05,654.97,17.63272440577594,199.81,45.42,5.37,6.21,1.68,4.97,429.41,849.07,2.123405184847966,1.641222046990441,0.0,0.0,0.0,0.0
7,(주)ES큐브,50120,2018/12,6.174930033280755,-153.86,-452.2282031733245,-2.840375748040842,-5.545508375055258,-14.29,22.88699088969073,-3.59,-18.13,-1.69,-5.54,2.29,115.62,28.8,0.31,0.47,0.9,0.7,0.86,3.840373751475038,11.85,0.49,0.0,5.9,0.0,0.0,0.0,1.04,7.67,-0.0735372106842692,-16.19,68.98,278.71,3.45,390.1274923641855,62.93,119.8,95.25,71.07,124.0109870045201,356.25,58.92,1.16,1.34,0.43,1.43,405.6,792.52,-1.077220802367349,-5.444643970461643,0.0,0.0,0.0,0.0
8,(주)ES큐브,50120,2019/12,312.6611959047271,0.0,-124.9094742399773,4.650133959528006,29.45408101551533,0.0,18.75492627373983,-5.99,-31.5,-3.62,-21.76,7.25,132.18,7.75,0.15,0.6,0.2,0.22,0.23,5.177195070794273,0.42,0.13,0.0,-218.62,0.0,0.0,0.0,-0.12,-3.22,-0.1657002906126744,886.37,34.11,-148.46,-1.28,-952.2196533863828,15.96,156.01,152.69,48.38,5.933525597481533,20592.7,526.65,9.52,53.92,8.0,84.97,512.29,632.51,-0.5640741541897654,-2.96745132562236,0.0,0.0,0.0,0.0
9,(주)ES큐브,50120,2020/12,54.08478724872655,0.0,-83.70571570601089,-6.132879872032007,84.57029348631502,-20.0,29.92602614834003,12.79,-31.35,14.37,-39.39,4.05,124.44,-34.12,0.14,1.12,0.16,0.24,0.24,9.455672840506804,0.39,0.11,0.0,-983.05,0.0,0.0,0.0,0.53,13.0,-0.1864640142663792,-449.25,1.9,1164.79,4.67,212.6199164068202,9.72,61.5,59.7,2.11,-4.667892938390369,5952.2,928.65,2.96,270.39,2.67,23.68,968.5,875.45,1.443018041893999,-3.53790779304017,0.0,0.0,0.0,0.0
