,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),이자보상배율,현금흐름,자본,이자_부실,현금흐름_부실,자본_부실,부실
0,삼천당제약(주),250,2010/12,104.6,10860780.0,80827680.0,0,0,0,0,0,0,0
1,삼천당제약(주),250,2011/12,127.5,11351295.0,84091916.0,0,0,0,0,0,0,0
2,삼천당제약(주),250,2012/12,203.8,1602316.0,86634240.0,0,0,0,0,0,0,0
3,삼천당제약(주),250,2013/12,17.31,15941392.0,119231455.0,0,0,0,0,0,0,0
4,삼천당제약(주),250,2014/12,37.97,19549844.0,139676351.0,0,0,0,0,0,0,0
5,삼천당제약(주),250,2015/12,147.24,17341884.0,154314909.0,0,0,0,0,0,0,0
6,삼천당제약(주),250,2016/12,197.13,17763757.0,171002709.0,0,0,0,0,0,0,0
7,삼천당제약(주),250,2017/12,134.14,28631055.0,198756523.0,0,0,0,0,0,0,0
8,삼천당제약(주),250,2018/12,66.83,25034032.0,205763466.0,0,0,0,0,0,0,0
9,삼천당제약(주),250,2019/12,30.86,30603122.0,223196712.0,0,0,0,0,0,0,0
10,삼천당제약(주),250,2020/12,8.65,3249733.0,257695966.0,0,0,0,0,0,0,0
11,삼천당제약(주),250,2021/12,-8.06,-7706965.0,250300519.0,-1,-1,0,0,0,0,0
12,삼천당제약(주),250,2022/12,4.38,13278999.0,245641664.0,0,0,0,0,0,0,0
13,(주)중앙에너비스,440,2010/09,5.32,871161.0,41177729.0,0,0,0,0,0,0,0
14,(주)중앙에너비스,440,2011/09,6.84,1672579.0,43928631.0,0,0,0,0,0,0,0
15,(주)중앙에너비스,440,2012/09,7.14,1977878.0,44185370.0,0,0,0,0,0,0,0
16,(주)중앙에너비스,440,2013/09,6.98,2215425.0,44890366.0,0,0,0,0,0,0,0
17,(주)중앙에너비스,440,2014/09,4.93,2637174.0,50141548.0,0,0,0,0,0,0,0
18,(주)중앙에너비스,440,2015/12,3.99,4007351.0,50698534.0,0,0,0,0,0,0,0
19,(주)중앙에너비스,440,2016/12,4.54,3436997.0,50784708.0,0,0,0,0,0,0,0
20,(주)중앙에너비스,440,2017/12,1.86,1838540.0,45194126.0,0,0,0,0,0,0,0
21,(주)중앙에너비스,440,2018/12,4.41,2102430.0,45263718.0,0,0,0,0,0,0,0
22,(주)중앙에너비스,440,2019/12,1.55,983261.0,45123992.0,0,0,0,0,0,0,0
23,(주)중앙에너비스,440,2020/12,0.7,2492070.0,61606666.0,-1,0,0,0,0,0,0
24,(주)중앙에너비스,440,2021/12,0.44,-4369800.0,59657672.0,-1,-1,0,0,0,0,0
25,(주)중앙에너비스,440,2022/12,1.36,2298925.0,58819860.0,0,0,0,0,0,0,0
26,신라섬유(주),1000,2010/12,0.25,1085559.0,12676045.0,-1,0,0,0,0,0,0
27,신라섬유(주),1000,2011/12,1.1,-410244.0,14103728.0,0,-1,0,0,0,0,0
28,신라섬유(주),1000,2012/12,2.35,464592.0,15050368.0,0,0,0,0,0,0,0
29,신라섬유(주),1000,2013/12,2.71,-443242.0,15699084.0,0,-1,0,0,0,0,0
30,신라섬유(주),1000,2014/12,1.94,-2194133.0,15827775.0,0,-1,0,0,0,0,0
