회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),[제조]이자보상배율(이자비용)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]자본(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS연결),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출원가(*)(IFRS),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS),[제조]      이자비용(*)(IFRS연결),[제조]      이자비용(*)(IFRS)
(주)CMG제약,058820,2010/12,-7.42,-5983864,18405116,-7.42,-5983864,18405116,11350419,8217627,9882038,11350419,8217627,9882038,1016039,1016039
(주)CMG제약,058820,2011/12,3.53,-2560438,18034249,3.94,-2488268,18290915,17751704,10325799,6802089,17751704,10325799,6727421,181404,181404
(주)CMG제약,058820,2012/12,-7.75,-1572581,31590685,-7.45,-1453276,31602540,16255389,11648690,8812202,16255389,11648690,8651838,542880,542880
(주)CMG제약,058820,2013/12,0.7,-3939013,48997281,0.73,-3891420,49048213,20402140,12506817,7104073,20322140,12506817,6992776,1134104,1133753
(주)CMG제약,058820,2014/12,3.6,724893,49002644,3.63,730447,49067039,22752584,14318048,7992213,22752584,14318048,7988518,122840,122840
(주)CMG제약,058820,2015/12,-32.22,2410205,46806888,-32.2,2411254,46872705,27041894,17237814,12376249,27041894,17237814,12374958,79830,79830
(주)CMG제약,058820,2016/12,999999999,3321352,101107635,999999999,3321352,101107635,32969825,19663389,11575683,32969825,19663389,11575683,0,0
(주)CMG제약,058820,2017/12,999999999,1948086,97944019,999999999,1948086,97944019,41535588,23497552,16479429,41535588,23497552,16479429,0,0
(주)CMG제약,058820,2018/12,999999999,886779,103981846,999999999,886779,103981846,49864782,27124841,20172121,49864782,27124841,20172121,0,0
(주)CMG제약,058820,2019/12,303,2823387,180158283,303,2823387,180158283,58622681,29700050,26318857,58622681,29700050,26318857,8593,8593
(주)CMG제약,058820,2020/12,,,,79.74,2944289,181131004,,,,64459891,33249439,29388087,,22853
(주)CMG제약,058820,2021/12,,,,80.23,5628620,184702494,,,,69475496,36024850,31790169,,20695
(주)CMG제약,058820,2022/12,,,,195.16,4937550,184953015,,,,82197410,41295950,37920064,,15277
(주)ES큐브,050120,2010/12,-7.12,2873895,42621100,7.84,4435227,42087960,43887335,32966862,11454086,34640205,27039899,7022763,101371,101371
(주)ES큐브,050120,2011/12,-245.99,1107724,39245830,-142.77,1625293,39144414,53379952,38476771,18553426,41700477,29104839,14675781,0,0
(주)ES큐브,050120,2012/12,1.72,5224759,39859681,20.03,4618957,39881477,55971147,40290541,15591269,44178050,31651298,11880913,51946,0
(주)ES큐브,050120,2013/12,-37.44,2590980,42372440,9.51,4508559,43712820,58597361,44088670,15673302,45823196,34023346,11582714,31106,22822
(주)ES큐브,050120,2014/12,22.2,2889415,49628091,999999999,2934159,41226335,44459581,34936541,9351950,37188072,30573957,6288207,7707,0
(주)ES큐브,050120,2015/12,-11.86,-2778236,49654460,999999999,3265832,44872641,42152967,30433006,15780388,36887119,30735643,3780907,342236,0
(주)ES큐브,050120,2016/12,8.98,1240854,71696122,11.58,3735385,69832373,34289385,24454448,7673895,34818205,28468888,3989789,240742,203736
(주)ES큐브,050120,2017/12,2.86,2310978,72816880,2.76,3989913,71398467,35745794,26057940,7439335,37104908,30497256,4437550,785009,785009
(주)ES큐브,050120,2018/12,-0.82,-1347532,70748607,0.47,116879,66518631,33763508,26036057,8938580,31308873,25693835,4923569,1483631,1482191
(주)ES큐브,050120,2019/12,-0.68,75624795,74038512,0.17,1886276,53986331,43708239,35510791,10814519,28527284,22708418,5231167,5997787,3540387
(주)ES큐브,050120,2020/12,3.09,-37420433,69497819,0.45,-312007,72949614,80672425,56530374,13826063,30293088,24196912,4643445,14014998,3206852
(주)ES큐브,050120,2021/12,0.36,69284861,115855194,4.39,3015063,65297621,125787293,110501015,15003090,41105787,33613448,5151904,18301348,533306
(주)ES큐브,050120,2022/12,71.35,-53485226,110399253,34.12,4303122,71077621,75213652,51307649,8562590,52850390,41864567,5982227,1916812,146656
(주)가비아,079940,2010/12,14.98,10252881,37225655,9.46,6500793,21535028,40623302,21744253,12184052,26065926,14343735,7734646,446894,418500
(주)가비아,079940,2011/12,22.28,9650833,48665742,10.88,6750777,24298687,52838864,29173840,15470152,33792831,20761832,9105062,379189,361451
(주)가비아,079940,2012/12,15.43,13224986,58945247,6.25,9005290,31165211,69058144,40302408,21135774,38482449,23494026,12039194,493791,471786
(주)가비아,079940,2013/12,15.81,12813443,68600227,7.48,6245989,34822978,70675565,38882747,24759315,40507693,24558241,12914401,444815,405591
(주)가비아,079940,2014/12,24.59,16223625,75509702,11.16,8696486,38147677,80432047,45275795,26773564,43906243,26874841,13580143,340937,309276
