,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),[제조]이자보상배율(이자비용)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]자본(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS연결),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출원가(*)(IFRS),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS),[제조]      이자비용(*)(IFRS연결),[제조]      이자비용(*)(IFRS),연결_영업이익,개별_영업이익,연결_이자보상배율,개별_이자보상배율
0,(주)CMG제약,58820,2010/12,-7.42,-5983864.0,18405116.0,-7.42,-5983864.0,18405116.0,11350419.0,8217627.0,9882038.0,11350419.0,8217627.0,9882038.0,1016039.0,1016039.0,-6749246.0,-6749246.0,-6.64270367574473,-6.64270367574473
1,(주)CMG제약,58820,2011/12,3.53,-2560438.0,18034249.0,3.94,-2488268.0,18290915.0,17751704.0,10325799.0,6802089.0,17751704.0,10325799.0,6727421.0,181404.0,181404.0,623816.0,698484.0,3.438821635686093,3.8504332870278493
2,(주)CMG제약,58820,2012/12,-7.75,-1572581.0,31590685.0,-7.45,-1453276.0,31602540.0,16255389.0,11648690.0,8812202.0,16255389.0,11648690.0,8651838.0,542880.0,542880.0,-4205503.0,-4045139.0,-7.746653035661656,-7.451258104921898
3,(주)CMG제약,58820,2013/12,0.7,-3939013.0,48997281.0,0.73,-3891420.0,49048213.0,20402140.0,12506817.0,7104073.0,20322140.0,12506817.0,6992776.0,1134104.0,1133753.0,791250.0,822547.0,0.6976873373165071,0.725508113319215
4,(주)CMG제약,58820,2014/12,3.6,724893.0,49002644.0,3.63,730447.0,49067039.0,22752584.0,14318048.0,7992213.0,22752584.0,14318048.0,7988518.0,122840.0,122840.0,442323.0,446018.0,3.600805926408336,3.6308857049820906
5,(주)CMG제약,58820,2015/12,-32.22,2410205.0,46806888.0,-32.2,2411254.0,46872705.0,27041894.0,17237814.0,12376249.0,27041894.0,17237814.0,12374958.0,79830.0,79830.0,-2572169.0,-2570878.0,-32.22058123512464,-32.20440936991106
6,(주)CMG제약,58820,2016/12,8432098.32,3321352.0,101107635.0,999999999.0,3321352.0,101107635.0,32969825.0,19663389.0,11575683.0,32969825.0,19663389.0,11575683.0,0.0,0.0,1730753.0,1730753.0,inf,inf
7,(주)CMG제약,58820,2017/12,8432098.32,1948086.0,97944019.0,999999999.0,1948086.0,97944019.0,41535588.0,23497552.0,16479429.0,41535588.0,23497552.0,16479429.0,0.0,0.0,1558607.0,1558607.0,inf,inf
8,(주)CMG제약,58820,2018/12,8432098.32,886779.0,103981846.0,999999999.0,886779.0,103981846.0,49864782.0,27124841.0,20172121.0,49864782.0,27124841.0,20172121.0,0.0,0.0,2567820.0,2567820.0,inf,inf
9,(주)CMG제약,58820,2019/12,303.0,2823387.0,180158283.0,303.0,2823387.0,180158283.0,58622681.0,29700050.0,26318857.0,58622681.0,29700050.0,26318857.0,8593.0,8593.0,2603774.0,2603774.0,303.01105551029906,303.01105551029906
10,(주)CMG제약,58820,2020/12,79.74,2944289.0,181131004.0,79.74,2944289.0,181131004.0,,,,64459891.0,33249439.0,29388087.0,,22853.0,,1822365.0,,79.74292215464052
11,(주)CMG제약,58820,2021/12,80.23,5628620.0,184702494.0,80.23,5628620.0,184702494.0,,,,69475496.0,36024850.0,31790169.0,,20695.0,,1660477.0,,80.23566078762987
12,(주)CMG제약,58820,2022/12,195.16,4937550.0,184953015.0,195.16,4937550.0,184953015.0,,,,82197410.0,41295950.0,37920064.0,,15277.0,,2981396.0,,195.15585520717417
13,(주)ES큐브,50120,2010/12,-7.12,2873895.0,42621100.0,7.84,4435227.0,42087960.0,43887335.0,32966862.0,11454086.0,34640205.0,27039899.0,7022763.0,101371.0,101371.0,-533613.0,577543.0,-5.263961093409358,5.697319746278522
14,(주)ES큐브,50120,2011/12,-245.99,1107724.0,39245830.0,-142.77,1625293.0,39144414.0,53379952.0,38476771.0,18553426.0,41700477.0,29104839.0,14675781.0,0.0,0.0,-3650245.0,-2080143.0,-inf,-inf
15,(주)ES큐브,50120,2012/12,1.72,5224759.0,39859681.0,20.03,4618957.0,39881477.0,55971147.0,40290541.0,15591269.0,44178050.0,31651298.0,11880913.0,51946.0,0.0,89337.0,645839.0,1.7198051823047011,inf
16,(주)ES큐브,50120,2013/12,-37.44,2590980.0,42372440.0,9.51,4508559.0,43712820.0,58597361.0,44088670.0,15673302.0,45823196.0,34023346.0,11582714.0,31106.0,22822.0,-1164611.0,217136.0,-37.44007586960715,9.514328279730085
17,(주)ES큐브,50120,2014/12,22.2,2889415.0,49628091.0,999999999.0,2934159.0,41226335.0,44459581.0,34936541.0,9351950.0,37188072.0,30573957.0,6288207.0,7707.0,0.0,171090.0,325908.0,22.199299338263916,inf
18,(주)ES큐브,50120,2015/12,-11.86,-2778236.0,49654460.0,999999999.0,3265832.0,44872641.0,42152967.0,30433006.0,15780388.0,36887119.0,30735643.0,3780907.0,342236.0,0.0,-4060427.0,2370569.0,-11.864406432987764,inf
19,(주)ES큐브,50120,2016/12,8.98,1240854.0,71696122.0,11.58,3735385.0,69832373.0,34289385.0,24454448.0,7673895.0,34818205.0,28468888.0,3989789.0,240742.0,203736.0,2161042.0,2359528.0,8.976589045534224,11.581301291867907
20,(주)ES큐브,50120,2017/12,2.86,2310978.0,72816880.0,2.76,3989913.0,71398467.0,35745794.0,26057940.0,7439335.0,37104908.0,30497256.0,4437550.0,785009.0,785009.0,2248519.0,2170102.0,2.864322574645641,2.7644294524011825
21,(주)ES큐브,50120,2018/12,-0.82,-1347532.0,70748607.0,0.47,116879.0,66518631.0,33763508.0,26036057.0,8938580.0,31308873.0,25693835.0,4923569.0,1483631.0,1482191.0,-1211129.0,691469.0,-0.8163276448119512,0.46651814779606676
22,(주)ES큐브,50120,2019/12,-0.68,75624795.0,74038512.0,0.17,1886276.0,53986331.0,43708239.0,35510791.0,10814519.0,28527284.0,22708418.0,5231167.0,5997787.0,3540387.0,-2617071.0,587699.0,-0.4363394365288397,0.16599851937090493
23,(주)ES큐브,50120,2020/12,3.09,-37420433.0,69497819.0,0.45,-312007.0,72949614.0,80672425.0,56530374.0,13826063.0,30293088.0,24196912.0,4643445.0,14014998.0,3206852.0,10315988.0,1452731.0,0.7360677468523363,0.45300843319242673
24,(주)ES큐브,50120,2021/12,0.36,69284861.0,115855194.0,4.39,3015063.0,65297621.0,125787293.0,110501015.0,15003090.0,41105787.0,33613448.0,5151904.0,18301348.0,533306.0,283188.0,2340435.0,0.01547361429332965,4.388540537702557
25,(주)ES큐브,50120,2022/12,71.35,-53485226.0,110399253.0,34.12,4303122.0,71077621.0,75213652.0,51307649.0,8562590.0,52850390.0,41864567.0,5982227.0,1916812.0,146656.0,15343413.0,5003596.0,8.004651995083503,34.1179085751691
26,(주)가비아,79940,2010/12,14.98,10252881.0,37225655.0,9.46,6500793.0,21535028.0,40623302.0,21744253.0,12184052.0,26065926.0,14343735.0,7734646.0,446894.0,418500.0,6694997.0,3987545.0,14.981174506706289,9.528183990442056
27,(주)가비아,79940,2011/12,22.28,9650833.0,48665742.0,10.88,6750777.0,24298687.0,52838864.0,29173840.0,15470152.0,33792831.0,20761832.0,9105062.0,379189.0,361451.0,8194872.0,3925937.0,21.611576285177048,10.86160226420732
28,(주)가비아,79940,2012/12,15.43,13224986.0,58945247.0,6.25,9005290.0,31165211.0,69058144.0,40302408.0,21135774.0,38482449.0,23494026.0,12039194.0,493791.0,471786.0,7619962.0,2949229.0,15.43155302547029,6.25120075627509
29,(주)가비아,79940,2013/12,15.81,12813443.0,68600227.0,7.48,6245989.0,34822978.0,70675565.0,38882747.0,24759315.0,40507693.0,24558241.0,12914401.0,444815.0,405591.0,7033503.0,3035051.0,15.81219832964266,7.483033400642519
30,(주)가비아,79940,2014/12,24.59,16223625.0,75509702.0,11.16,8696486.0,38147677.0,80432047.0,45275795.0,26773564.0,43906243.0,26874841.0,13580143.0,340937.0,309276.0,8382688.0,3451259.0,24.587205260795983,11.159155576249047
31,(주)가비아,79940,2015/12,64.83,19257887.0,84096148.0,28.34,10152135.0,42470259.0,91648622.0,50078893.0,30220634.0,48446932.0,28806524.0,15108414.0,175055.0,159930.0,11349095.0,4531994.0,64.83159578418211,28.337360095041582
32,(주)가비아,79940,2016/12,83.64,17871404.0,95951841.0,33.33,9339489.0,45413712.0,102178978.0,54998617.0,34631102.0,49430564.0,28802628.0,16646190.0,155720.0,119467.0,12549259.0,3981746.0,80.58861417929617,33.329254103643684
33,(주)가비아,79940,2017/12,53.72,20444884.0,99896520.0,27.12,8670614.0,47662984.0,116217941.0,60313364.0,43192421.0,52365659.0,30561799.0,18627531.0,236636.0,117130.0,12712156.0,3176329.0,53.72029615105056,27.117980022197557
34,(주)가비아,79940,2018/12,62.3,21870330.0,114187490.0,25.87,9241321.0,49832912.0,128728438.0,65751367.0,44788622.0,55197652.0,31654603.0,19436958.0,288409.0,158738.0,18188449.0,4106091.0,63.064776064547225,25.867095465484006
35,(주)가비아,79940,2019/12,34.25,36950567.0,134959139.0,19.48,13243609.0,54084066.0,148306878.0,75650385.0,48919898.0,58254105.0,34532096.0,18832896.0,887314.0,405184.0,23736595.0,4889113.0,26.751065575433273,12.06640193097457
36,(주)가비아,79940,2020/12,58.63,50082909.0,173203629.0,36.98,16302314.0,58359903.0,169044955.0,85881484.0,54618240.0,64097025.0,36827011.0,20140437.0,693513.0,337146.0,28545231.0,7129577.0,41.16034018107808,21.146853292045584
37,(주)가비아,79940,2021/12,110.79,40918498.0,204589577.0,105.99,13962996.0,63744010.0,200442778.0,101912518.0,65435459.0,71873259.0,39713025.0,24552575.0,298708.0,71775.0,33094801.0,7607659.0,110.79315251014368,105.99315917798677
38,(주)가비아,79940,2022/12,81.1,70189934.0,242627407.0,38.52,23884676.0,69433185.0,239153945.0,123003884.0,74944087.0,77418922.0,41698006.0,28149248.0,508112.0,196587.0,41205974.0,7571668.0,81.09624256069527,38.515608865286104
