회사명,거래소코드,회계년도,당기순이익,영업현금흐름,자본,유동비율,부채비율,매출액총이익률,총자본회전률,자기자본정상영업이익률,ROA
(주)HJ매그놀리아용평호텔앤리조트,70960,2016-12-01,14321286,-18994098,396442087,77.07,134.32,23.24,0.22,8.56,1.5416705021068127
(주)HJ매그놀리아용평호텔앤리조트,70960,2017-12-01,16953250,17809537,408181173,55.39,112.69,22.57,0.23,8.33,1.952787327764895
(주)HJ매그놀리아용평호텔앤리조트,70960,2018-12-01,10185942,52504906,414170559,55.57,96.24,22.91,0.22,5.97,1.2532287988725965
(주)HJ매그놀리아용평호텔앤리조트,70960,2019-12-01,-13791548,23600746,395782278,48.72,114.75,10.26,0.16,-1.02,-1.6226579627556474
(주)HJ매그놀리아용평호텔앤리조트,70960,2020-12-01,-17562113,50920805,377771342,48.21,141.39,7.15,0.14,-1.8,-1.925870617865982
(주)HJ매그놀리아용평호텔앤리조트,70960,2021-12-01,8673798,-11543045,386254614,50.09,117.86,21.49,0.27,8.04,1.0307548669613615
(주)HJ매그놀리아용평호텔앤리조트,70960,2022-12-01,-12121470,25276373,377707477,57.43,129.88,13.32,0.17,0.41,-1.3960229577110794
(주)MH에탄올,23150,2011-12-01,-4357312,178820,42667338,58.36,214.54,16.81,0.33,1.35,-3.2467135377462957
(주)MH에탄올,23150,2012-12-01,287369,-4906202,39678259,61.27,238.69,17.97,0.45,13.24,0.21383879264100591
(주)MH에탄올,23150,2013-12-01,7028234,6114050,45885523,57.37,182.66,12.67,0.47,7.04,5.418925093765563
(주)MH에탄올,23150,2014-12-01,-203193,5159224,52788681,90.87,62.03,24.24,0.46,17.72,-0.23755583382813172
(주)MH에탄올,23150,2015-12-01,7778593,13384066,57884347,109.55,36.47,27.71,0.61,20.04,9.846812344495394
(주)MH에탄올,23150,2016-12-01,8144684,12245831,63581883,257.95,13.77,30.54,0.65,19.55,11.258945005184085
(주)MH에탄올,23150,2017-12-01,4308068,3336890,106837344,44.64,368.17,28.38,0.18,9.53,0.8613033826380685
(주)MH에탄올,23150,2018-12-01,-12033428,-11269669,91585473,20.96,380.62,26.47,0.15,1.24,-2.7337670306259594
