회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),[제조]이자보상배율(이자비용)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]자본(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS연결),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출원가(*)(IFRS),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS),[제조]      이자비용(*)(IFRS연결),[제조]      이자비용(*)(IFRS)
(주)HJ매그놀리아용평호텔앤리조트,070960,2010/12,,,,,,,,,,,,,,
(주)HJ매그놀리아용평호텔앤리조트,070960,2011/12,,,,,,,,,,,,,,
(주)HJ매그놀리아용평호텔앤리조트,070960,2012/12,,,,,,,,,,,,,,
(주)HJ매그놀리아용평호텔앤리조트,070960,2013/12,1.45,36775171,298067032,1.45,36533344,297996832,153831158,114160407,15053235,153575315,113996082,14993587,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2014/12,1.07,40502835,301490946,1.07,40337345,301441038,133591597,104188856,12202258,133310555,103998752,12125684,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2015/12,1.84,36832912,312817856,1.85,37651395,312711988,176303475,134840799,15032317,176025120,134435720,14997907,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2016/12,2.62,-18994098,396442087,2.61,-19047195,396355212,210702135,161737462,18590640,209952933,161041738,18588903,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2017/12,3,17809537,408181173,3.01,17810277,408136266,209677450,162350743,13829690,209351156,161955708,13830515,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2018/12,2.34,52504906,414170559,2.34,52429970,414305326,181388591,139835125,16990683,181087610,139531115,16990706,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2019/12,-0.32,23600746,395782278,-0.32,23614041,395840100,129431260,116153202,17402188,129092848,115903858,17406974,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2020/12,-0.57,50920805,377771342,-0.55,51036643,377801469,127417725,118308329,16061662,127150516,117864793,16061582,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2021/12,2.29,-11543045,386254614,2.31,-11535329,386402731,236330115,185538832,20060190,236126624,185112749,20059267,0,0
(주)HJ매그놀리아용평호텔앤리조트,070960,2022/12,0.13,25276373,377707477,0.13,25295678,379205590,143314957,124226555,17536077,143188366,124089726,17533353,0,0
(주)MH에탄올,023150,2010/12,0.77,4613504,46625147,2.27,5952164,52983762,55048463,46932516,6598451,43304589,31860037,3653071,0,0
(주)MH에탄올,023150,2011/12,0.12,178820,42667338,1.5,4202371,56161251,44785159,37258514,7016081,43206995,32715976,3594900,0,0
(주)MH에탄올,023150,2012/12,1.08,-4906202,39678259,1.64,2788992,58712944,59768175,49030452,5285990,45488675,35478357,3491561,0,0
(주)MH에탄올,023150,2013/12,0.87,6114050,45885523,3.44,5638467,47119925,62199887,54316861,4873284,46298516,33247791,3400484,0,0
(주)MH에탄올,023150,2014/12,5.62,5159224,52788681,5.62,5125822,52507884,48983781,37109977,3128953,48983781,37109977,3126986,0,0
(주)MH에탄올,023150,2015/12,12.69,13384066,57884347,12.7,13354086,57569789,50386203,36425005,2869185,50386203,36425005,2867026,0,0
(주)MH에탄올,023150,2016/12,29.41,12245831,63581883,29.42,12230065,63257513,48897025,33962392,3060158,48897025,33962392,3057762,0,0
(주)MH에탄올,023150,2017/12,3.46,3336890,106837344,33.29,10755779,64698932,51977132,37225576,6634846,48270464,34577247,3240303,0,0
(주)MH에탄올,023150,2018/12,0.1,-11269669,91585473,8.73,6668746,68471529,72795863,53524709,18042950,46943080,34331318,3583247,0,0
(주)MH에탄올,023150,2019/12,0.73,11368931,79389077,7.59,6417691,59477642,80879342,54219181,18831058,46992295,35415661,3748048,0,0
(주)MH에탄올,023150,2020/12,1.29,18985796,80425495,9.71,7639662,57609425,94645239,59823958,19039358,51277355,38908939,4129662,0,0
(주)MH에탄올,023150,2021/12,1.92,26371475,84703339,5.34,2030480,58057496,102066937,58211274,20520350,45892137,37735794,4480914,0,0
(주)MH에탄올,023150,2022/12,1.87,16477364,95397727,0.48,-847932,62445745,110722402,67461914,21335599,51400289,46700195,4114559,0,0
(주)SH에너지화학,002360,2010/12,-4.92,739884,61526743,-5.46,607602,61538912,150630768,137805193,9239964,150353519,137805193,8907465,1383400,1354561
(주)SH에너지화학,002360,2011/12,2.82,5825197,65242326,3.5,6995359,64498684,173209351,160789710,8845210,172752632,160574493,7782885,1477868,1424281
