,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),[제조]이자보상배율(이자비용)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]자본(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS연결),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출원가(*)(IFRS),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS),[제조]      이자비용(*)(IFRS연결),[제조]      이자비용(*)(IFRS),연결_영업이익,개별_영업이익,연결_이자보상배율,개별_이자보상배율
0,(주)HJ매그놀리아용평호텔앤리조트,70960,2010/12,,,,,,,,,,,,,,,,,,
1,(주)HJ매그놀리아용평호텔앤리조트,70960,2011/12,,,,,,,,,,,,,,,,,,
2,(주)HJ매그놀리아용평호텔앤리조트,70960,2012/12,,,,,,,,,,,,,,,,,,
3,(주)HJ매그놀리아용평호텔앤리조트,70960,2013/12,1.45,36775171.0,298067032.0,1.45,36533344.0,297996832.0,153831158.0,114160407.0,15053235.0,153575315.0,113996082.0,14993587.0,0.0,0.0,24617516.0,24585646.0,inf,inf
4,(주)HJ매그놀리아용평호텔앤리조트,70960,2014/12,1.07,40502835.0,301490946.0,1.07,40337345.0,301441038.0,133591597.0,104188856.0,12202258.0,133310555.0,103998752.0,12125684.0,0.0,0.0,17200483.0,17186119.0,inf,inf
5,(주)HJ매그놀리아용평호텔앤리조트,70960,2015/12,1.84,36832912.0,312817856.0,1.85,37651395.0,312711988.0,176303475.0,134840799.0,15032317.0,176025120.0,134435720.0,14997907.0,0.0,0.0,26430359.0,26591493.0,inf,inf
6,(주)HJ매그놀리아용평호텔앤리조트,70960,2016/12,2.62,-18994098.0,396442087.0,2.61,-19047195.0,396355212.0,210702135.0,161737462.0,18590640.0,209952933.0,161041738.0,18588903.0,0.0,0.0,30374033.0,30322292.0,inf,inf
7,(주)HJ매그놀리아용평호텔앤리조트,70960,2017/12,3.0,17809537.0,408181173.0,3.01,17810277.0,408136266.0,209677450.0,162350743.0,13829690.0,209351156.0,161955708.0,13830515.0,0.0,0.0,33497017.0,33564933.0,inf,inf
8,(주)HJ매그놀리아용평호텔앤리조트,70960,2018/12,2.34,52504906.0,414170559.0,2.34,52429970.0,414305326.0,181388591.0,139835125.0,16990683.0,181087610.0,139531115.0,16990706.0,0.0,0.0,24562783.0,24565789.0,inf,inf
9,(주)HJ매그놀리아용평호텔앤리조트,70960,2019/12,-0.32,23600746.0,395782278.0,-0.32,23614041.0,395840100.0,129431260.0,116153202.0,17402188.0,129092848.0,115903858.0,17406974.0,0.0,0.0,-4124130.0,-4217984.0,-inf,-inf
10,(주)HJ매그놀리아용평호텔앤리조트,70960,2020/12,-0.57,50920805.0,377771342.0,-0.55,51036643.0,377801469.0,127417725.0,118308329.0,16061662.0,127150516.0,117864793.0,16061582.0,0.0,0.0,-6952266.0,-6775859.0,-inf,-inf
11,(주)HJ매그놀리아용평호텔앤리조트,70960,2021/12,2.29,-11543045.0,386254614.0,2.31,-11535329.0,386402731.0,236330115.0,185538832.0,20060190.0,236126624.0,185112749.0,20059267.0,0.0,0.0,30731093.0,30954608.0,inf,inf
12,(주)HJ매그놀리아용평호텔앤리조트,70960,2022/12,0.13,25276373.0,377707477.0,0.13,25295678.0,379205590.0,143314957.0,124226555.0,17536077.0,143188366.0,124089726.0,17533353.0,0.0,0.0,1552325.0,1565287.0,inf,inf
13,(주)MH에탄올,23150,2010/12,0.77,4613504.0,46625147.0,2.27,5952164.0,52983762.0,55048463.0,46932516.0,6598451.0,43304589.0,31860037.0,3653071.0,0.0,0.0,1517496.0,7791481.0,inf,inf
14,(주)MH에탄올,23150,2011/12,0.12,178820.0,42667338.0,1.5,4202371.0,56161251.0,44785159.0,37258514.0,7016081.0,43206995.0,32715976.0,3594900.0,0.0,0.0,510564.0,6896119.0,inf,inf
15,(주)MH에탄올,23150,2012/12,1.08,-4906202.0,39678259.0,1.64,2788992.0,58712944.0,59768175.0,49030452.0,5285990.0,45488675.0,35478357.0,3491561.0,0.0,0.0,5451733.0,6518757.0,inf,inf
16,(주)MH에탄올,23150,2013/12,0.87,6114050.0,45885523.0,3.44,5638467.0,47119925.0,62199887.0,54316861.0,4873284.0,46298516.0,33247791.0,3400484.0,0.0,0.0,3009742.0,9650241.0,inf,inf
17,(주)MH에탄올,23150,2014/12,5.62,5159224.0,52788681.0,5.62,5125822.0,52507884.0,48983781.0,37109977.0,3128953.0,48983781.0,37109977.0,3126986.0,0.0,0.0,8744851.0,8746818.0,inf,inf
