,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),이자보상배율,현금흐름,자본,부실
0,(주)HJ매그놀리아용평호텔앤리조트,70960,2010/12,,,,,,,0
1,(주)HJ매그놀리아용평호텔앤리조트,70960,2011/12,,,,,,,0
2,(주)HJ매그놀리아용평호텔앤리조트,70960,2012/12,,,,,,,0
3,(주)HJ매그놀리아용평호텔앤리조트,70960,2013/12,1.45,36775171.0,298067032.0,0.0,0.0,0.0,0
4,(주)HJ매그놀리아용평호텔앤리조트,70960,2014/12,1.07,40502835.0,301490946.0,0.0,0.0,0.0,0
5,(주)HJ매그놀리아용평호텔앤리조트,70960,2015/12,1.84,36832912.0,312817856.0,0.0,0.0,0.0,0
6,(주)HJ매그놀리아용평호텔앤리조트,70960,2016/12,2.62,-18994098.0,396442087.0,0.0,-1.0,0.0,0
7,(주)HJ매그놀리아용평호텔앤리조트,70960,2017/12,3.0,17809537.0,408181173.0,0.0,0.0,0.0,0
8,(주)HJ매그놀리아용평호텔앤리조트,70960,2018/12,2.34,52504906.0,414170559.0,0.0,0.0,0.0,0
9,(주)HJ매그놀리아용평호텔앤리조트,70960,2019/12,-0.32,23600746.0,395782278.0,-1.0,0.0,0.0,0
10,(주)HJ매그놀리아용평호텔앤리조트,70960,2020/12,-0.57,50920805.0,377771342.0,-1.0,0.0,0.0,0
11,(주)HJ매그놀리아용평호텔앤리조트,70960,2021/12,2.29,-11543045.0,386254614.0,0.0,-1.0,0.0,0
12,(주)HJ매그놀리아용평호텔앤리조트,70960,2022/12,0.13,25276373.0,377707477.0,0.0,0.0,0.0,0
13,(주)MH에탄올,23150,2010/12,0.77,4613504.0,46625147.0,0.0,0.0,0.0,0
14,(주)MH에탄올,23150,2011/12,0.12,178820.0,42667338.0,0.0,0.0,0.0,0
15,(주)MH에탄올,23150,2012/12,1.08,-4906202.0,39678259.0,0.0,-1.0,0.0,0
16,(주)MH에탄올,23150,2013/12,0.87,6114050.0,45885523.0,0.0,0.0,0.0,0
17,(주)MH에탄올,23150,2014/12,5.62,5159224.0,52788681.0,0.0,0.0,0.0,0
18,(주)MH에탄올,23150,2015/12,12.69,13384066.0,57884347.0,0.0,0.0,0.0,0
19,(주)MH에탄올,23150,2016/12,29.41,12245831.0,63581883.0,0.0,0.0,0.0,0
20,(주)MH에탄올,23150,2017/12,3.46,3336890.0,106837344.0,0.0,0.0,0.0,0
21,(주)MH에탄올,23150,2018/12,0.1,-11269669.0,91585473.0,0.0,-1.0,0.0,0
22,(주)MH에탄올,23150,2019/12,0.73,11368931.0,79389077.0,0.0,0.0,0.0,0
23,(주)MH에탄올,23150,2020/12,1.29,18985796.0,80425495.0,0.0,0.0,0.0,0
24,(주)MH에탄올,23150,2021/12,1.92,26371475.0,84703339.0,0.0,0.0,0.0,0
25,(주)MH에탄올,23150,2022/12,1.87,16477364.0,95397727.0,0.0,0.0,0.0,0
26,(주)SH에너지화학,2360,2010/12,-4.92,739884.0,61526743.0,-1.0,0.0,0.0,0
27,(주)SH에너지화학,2360,2011/12,2.82,5825197.0,65242326.0,0.0,0.0,0.0,0
28,(주)SH에너지화학,2360,2012/12,1.72,-855725.0,64881202.0,0.0,-1.0,0.0,0
29,(주)SH에너지화학,2360,2013/12,5.3,5949724.0,69599141.0,0.0,0.0,0.0,0
30,(주)SH에너지화학,2360,2014/12,26.68,24749424.0,84237197.0,0.0,0.0,0.0,0
31,(주)SH에너지화학,2360,2015/12,84.87,24630676.0,91646221.0,0.0,0.0,0.0,0
32,(주)SH에너지화학,2360,2016/12,210.93,11685757.0,104088887.0,0.0,0.0,0.0,0
33,(주)SH에너지화학,2360,2017/12,162.17,14208400.0,107693472.0,0.0,0.0,0.0,0
34,(주)SH에너지화학,2360,2018/12,22.72,5202762.0,105390892.0,0.0,0.0,0.0,0
35,(주)SH에너지화학,2360,2019/12,-24.12,16081690.0,98999976.0,-1.0,0.0,0.0,0
