회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS),[제조]정상영업이익증가율(IFRS),[제조]순이익증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]매출액증가율(IFRS),[제조]종업원수증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]매출액정상영업이익률(IFRS),[제조]매출액순이익률(IFRS),[제조]자기자본정상영업이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]금융비용부담률(IFRS),[제조]수지비율(관계기업투자손익 제외)(IFRS),[제조]사내유보 대 자기자본비율(IFRS),[제조]1주당매출액(IFRS),[제조]1주당순이익(IFRS),[제조]1주당 CASH FLOW(IFRS),[제조]1주당순자산(IFRS),[제조]유보율(IFRS),[제조]총자본회전률(IFRS),[제조]자기자본회전률(IFRS),[제조]타인자본회전률(IFRS),[제조]유동자산회전률(IFRS),[제조]당좌자산회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]매출채권회전률(IFRS),[제조]순운전자본회전률(IFRS),[제조]운전자본회전률(IFRS),[제조]종업원1인당 부가가치(IFRS),[제조]노동장비율(IFRS),[제조]기계장비율(IFRS),[제조]자본집약도(IFRS),[제조]총자본투자효율(IFRS),[제조]설비투자효율(IFRS),[제조]기계투자효율(IFRS),[제조]부가가치율(IFRS),[제조]노동소득분배율(IFRS),[제조]자기자본구성비율(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]재고자산 대 순운전자본비율(IFRS),[제조]매출채권 대 매입채무비율(IFRS),[제조]부채비율(IFRS),[제조]CASH FLOW 대 부채비율(IFRS),[제조]CASH FLOW 대 차입금비율(IFRS),[제조]CASH FLOW 대 총자본비율(IFRS),[제조]CASH FLOW 대 매출액비율(IFRS)
(주)HJ매그놀리아용평호텔앤리조트,070960,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)HJ매그놀리아용평호텔앤리조트,070960,2013/12,0,0,0,0,0,0,25.77,16.01,7.59,8.25,3.91,10.69,96.8,36.55,4041.46,307,961.4,7760.22,56.84,0.2,0.52,0.34,2.72,3.18,18.81,9.36,0.5,0,0,0,0,0,7.98,8.7,220.96,39.3,29.63,39.4,22.76,19.47,10.97,0,774.89,153.81,7.97,30.05,4.83,23.79
(주)HJ매그놀리아용평호텔앤리조트,070960,2014/12,8.04,-30.1,-66.31,1.16,-13.2,0,21.99,12.89,2.95,5.73,1.31,11.72,96.12,37.28,3508.17,103,1061.51,7852.36,58.65,0.17,0.44,0.27,1.43,1.59,14.41,5.6,0.37,0,0,0,0,0,7.33,8.79,227.54,44.96,29.68,36.89,44.99,41.41,16.9,0,1546.43,171.07,7.45,20.73,4.7,28.83
(주)HJ매그놀리아용평호텔앤리조트,070960,2015/12,18.74,54.73,195.42,3.74,32.04,0,23.63,15.11,6.59,8.66,3.78,7.64,91.63,39.54,4632.24,305,990.83,8144.74,64.59,0.2,0.57,0.3,0.84,0.92,10.25,1.74,0.32,0,0,0,0,0,6.94,9.98,252.89,38.23,26.94,32.23,70.71,64.82,11.77,0,8887,210.26,5.93,23.01,4.02,22.15
(주)HJ매그놀리아용평호텔앤리조트,070960,2016/12,-4.3,14.03,23.02,26.75,19.27,0,23.3,14.44,6.8,8.55,4.03,5.24,91.37,34.73,4765.96,323,-432.37,8769.03,64.69,0.22,0.59,0.35,0.8,0.86,10.99,1.35,0.34,0,222.12,2150.24,0,2966.36,7.49,10.33,0,33.11,28.09,42.69,76.91,72.29,24.12,0,7093.08,134.25,1.75,7.19,1,4.43
(주)HJ매그놀리아용평호텔앤리조트,070960,2017/12,-6.55,10.69,18.85,2.97,-0.29,2.56,22.64,16.03,8.11,8.34,4.22,5.13,89.58,36.5,4349.4,353,370.02,8146.08,69.59,0.23,0.52,0.42,1.11,1.2,14.83,1.84,0.44,0,234.68,2211.52,0,2703.09,8.68,10.61,0,35.98,26.96,47.04,55.2,49.74,12.49,0,5051.72,112.6,-0.13,-0.44,-0.07,-0.3
(주)HJ매그놀리아용평호텔앤리조트,070960,2018/12,-6.37,-26.81,-40.12,1.51,-13.5,7.79,22.95,13.57,5.61,5.97,2.47,5.59,92.83,37.11,3762.21,211,1089.27,8287.53,72.15,0.22,0.44,0.42,1.48,1.66,13.2,3.28,0.53,0,207.03,0,0,0,8.82,10.33,0,39.56,32.55,50.99,55.4,48.24,31.7,0,1472.51,96.1,8.82,22.78,4.32,19.39
(주)HJ매그놀리아용평호텔앤리조트,070960,2019/12,4.58,0,0,-4.46,-28.71,1.73,10.22,-3.27,-10.75,-1.04,-3.43,9.6,113.3,34.26,2681.98,-288,490.6,7979.61,64.48,0.16,0.32,0.3,1.22,1.41,8.8,6.07,0.42,0,120.94,0,0,0,5.01,5.91,0,32.98,55.28,46.59,48.57,41.42,21.88,0,1203.03,114.65,8.38,21.04,4.48,29.45
(주)HJ매그놀리아용평호텔앤리조트,070960,2020/12,7.31,0,0,-4.56,-1.5,-6.25,7.3,-5.33,-13.78,-1.75,-4.53,9.27,118.16,31.25,2641.63,-364,1060.32,7604.52,56.98,0.14,0.33,0.26,0.92,1.16,4.58,6.59,0.3,0,107.65,0,0,0,3.9,4.93,0,27.94,62.35,41.44,48.14,36.72,20.72,0,4123.47,141.34,6.99,19.95,4.09,29.36
(주)HJ매그놀리아용평호텔앤리조트,070960,2021/12,-7.71,0,0,2.28,85.71,-0.91,21.6,13.11,3.72,8.1,2.3,5.4,95.6,32.7,4905.68,183,-239.65,7791.38,60.56,0.27,0.62,0.48,1.77,2.09,11.55,11.25,0.58,0,216.53,0,0,0,8.41,9.89,0,29.99,30.32,45.92,49.98,49.33,17.54,0,1671.47,117.77,4.34,9.51,2.35,8.36
(주)HJ매그놀리아용평호텔앤리조트,070960,2022/12,3.39,-94.94,0,-1.86,-39.36,5.81,13.34,1.09,-7.52,0.41,-2.81,7.46,107.68,30.99,2974.83,-224,525.53,7642.54,57.56,0.17,0.37,0.3,1.21,1.35,11.93,5.25,0.42,0,141.35,0,0,0,5.62,7.01,0,34.16,48.66,43.58,57.33,47.77,15.01,0,1382.36,129.44,1.4,3.31,0.79,4.8
(주)MH에탄올,023150,2012/12,2.41,-5.64,-23.28,4.54,5.28,1.96,22.01,14.33,5.65,11.35,4.48,6.2,92.98,85.99,6498.38,367,398.43,7783.36,1232.11,0.33,0.79,0.57,1.84,2.3,9.24,4.82,0.5,0.07,220.69,661.98,14.56,2676.94,8.24,33.34,1515.3,25.23,34.53,42.18,34.27,26.4,0,0,0,137.09,4.34,4.82,2.51,7.68
(주)MH에탄올,023150,2013/12,-11.98,48.04,0,-19.75,1.78,-1.92,28.19,20.84,-25.11,18.24,-21.97,5.51,32.52,82.42,6614.07,-1661,805.5,6130.55,969.09,0.35,0.87,0.59,1.89,2.46,8.12,4.46,0.5,0.08,-198.03,667.74,10.79,2402.37,-8.24,-29.66,-1835.16,-21.81,0,38.46,38.13,29.15,0.07,0,0,160.02,5.59,5.89,3.44,9.1
(주)MH에탄올,023150,2014/12,-30.42,-9.36,0,11.43,5.8,3.92,24.24,17.86,9.43,17.56,9.27,2.54,91.46,82.1,6638.69,640,694.69,6296.3,1042.28,0.47,0.98,0.91,1.82,2.4,7.49,4.66,0.64,0.08,208.12,671.64,31.87,1608.56,12.94,30.99,653.08,22.52,39.6,61.59,88.61,66.52,0.01,0,0,62.36,16.44,18.3,6.31,10.99
(주)MH에탄올,023150,2015/12,-7.7,26.84,67.7,9.64,2.86,-11.32,27.71,22.02,15.37,20.16,14.07,1.24,80.47,84.97,6828.76,1059,1809.86,6934.94,1171.85,0.61,0.92,1.87,2.02,2.57,9.52,4.7,0.99,0.07,350.06,778.27,45.25,1674.28,20.91,44.98,773.55,32.65,26.64,73.16,105.94,88.4,15.34,295.25,0,36.69,43.75,49.62,11.74,18.34
(주)MH에탄올,023150,2016/12,-8.47,7.06,5.04,9.88,-2.96,-8.51,30.54,24.29,16.64,19.66,13.47,0.2,78.81,86.9,6626.94,1128,1657.52,7668.54,1307.46,0.65,0.81,3.27,2.4,3.1,10.7,4.65,1.42,0.07,392.63,860.18,47.99,1675,23.44,45.64,818.08,34.53,28.66,87.83,248.1,175.61,17.76,48.95,0,13.86,145.9,233.26,17.76,26.16
(주)MH에탄올,023150,2017/12,49.17,-11.99,-27.43,2.28,-1.28,11.63,28.37,21.65,12.23,16.34,9.23,-0.14,82.94,90.08,6542.02,824,1457.71,7815.54,1384.36,0.54,0.75,1.87,2.6,3.69,8.74,4.7,1.6,0.07,310.05,0,0,0,13.85,38.08,644.17,30.83,33.16,60.22,117.34,81.93,4.9,204.2,0,66.06,26.89,31.44,10.7,23.81
(주)MH에탄올,023150,2018/12,2.07,-13.63,11.02,5.83,-2.75,4.17,26.87,19.23,13.96,13.56,9.84,1.34,82.61,99.39,6362.12,955,903.8,8335.92,1490.09,0.43,0.71,1.12,2.56,3.8,7.87,4.5,1.42,0.08,320.95,0,0,0,14.63,39.59,775.99,34.18,34.02,62.44,133.8,87,0.03,138.46,0,60.15,21.15,24.5,7.95,18.56
(주)MH에탄올,023150,2019/12,-7.84,-13.29,0,-13.14,0.1,-6,24.64,16.66,-10.65,12.24,-7.82,1.55,107.27,101.53,6368.79,-752,869.78,7140.62,1321.96,0.45,0.73,1.14,2.57,4.27,6.48,4.85,1.46,0.09,108.44,0,0,0,5.04,12.44,253.26,10.85,116.3,58.85,127.22,70.51,0.01,208.35,0,69.91,15.74,18.33,6.47,13.92
(주)MH에탄올,023150,2020/12,-3.51,5.24,0,-3.14,9.12,14.89,24.12,16.07,2.26,14.07,1.98,1.11,94.85,101.94,6949.54,178,1035.39,6887.42,1281.31,0.52,0.88,1.26,2.65,4.6,6.28,5.56,1.46,0.08,205.45,0,0,0,11.38,27.04,634.12,21.64,54.38,59.08,117.69,70.26,0.03,268.14,0,69.27,17.61,20.91,7.21,13.71
(주)MH에탄올,023150,2021/12,1.26,-55.39,327.07,0.78,-10.5,-1.85,17.77,8.01,10.76,6.36,8.54,1.01,88.6,104.09,6219.69,759,275.19,6868.04,1291.06,0.47,0.79,1.14,2.32,4.13,5.28,4.88,1.14,0.1,269.73,0,0,0,14.48,33.41,491.06,31.15,43.12,58.8,82.43,43.13,0.56,0,0,70.07,11.88,13.82,4.9,10.54
(주)MH에탄올,023150,2022/12,11.52,-84.07,15.11,7.56,12,-1.89,9.14,1.14,11.06,0.97,9.44,1.84,90.38,103.12,6966.2,873,-114.92,7551.13,1386.53,0.49,0.85,1.16,2.46,4.28,5.77,4.94,0.92,0.09,280.46,0,0,0,13.24,34.13,502.34,28.37,40.58,56.71,48.93,30.19,0.06,0,0,76.34,1.24,1.37,0.54,1.15
(주)SH에너지화학,002360,2012/12,0.11,-42.37,-65.88,0.6,11.09,2.75,6.98,1.5,0.56,4.44,1.67,0.32,99.14,6.05,1725.27,9.7,3.27,575.79,17.77,1.87,2.97,5.08,3.98,5.4,15.16,6.92,2.43,0,117.54,284.79,119.73,915.11,12.84,41.27,98.16,6.86,67.19,63.31,169.76,120.29,1.6,70.92,1222.45,57.95,9.78,12.88,3.59,1.92
(주)SH에너지화학,002360,2013/12,7.31,150.58,348.43,7.54,19.74,3.57,7.13,3.13,2.11,10.7,7.19,0.22,97.6,12.26,2067.52,44,67.49,601.06,26.55,2.16,3.41,5.91,4.31,5.72,17.57,7.96,2.7,0,161.43,268.24,112.79,948.14,17.03,60.18,143.12,8.15,56.66,63.45,165.4,131.2,13.76,52.29,1186.32,57.61,9.78,14.05,3.58,1.71
(주)SH에너지화학,002360,2014/12,-0.81,181.47,221.57,19.52,-1.22,20.69,13.28,8.93,6.86,26.47,20.33,0.02,91.34,26.39,2042.21,140,217.92,691.41,50.98,2.07,2.96,6.89,4.01,5.19,17.57,7.48,2.69,0,241.4,216.82,90.48,779.27,30.98,111.34,266.8,14.89,34.92,76.45,271.71,203.65,32.85,39.63,1365.88,30.81,61.73,165.75,14.54,6.99
(주)SH에너지화학,002360,2015/12,4.54,12.95,-18.82,8.8,-5.77,4.29,16.27,10.71,5.91,26.3,14.52,0.09,91.8,31.84,1924.44,114,220.96,759.82,64.15,1.92,2.46,8.73,3.59,4.56,16.9,7.25,2.73,0,239.01,221.1,94.6,781.15,30.6,108.1,252.65,16.32,43.15,79.56,379.52,311.55,110.18,24.32,2673.07,25.69,104.63,357.43,21.38,11.4
(주)SH에너지화학,002360,2016/12,7.81,3.06,39.04,13.6,0.23,1.37,16.16,11.01,8.2,24.35,18.13,-0.07,89.44,39.53,1928.92,158.5,104.2,861.64,86.29,1.81,2.21,9.93,2.99,3.54,19.3,6.02,2.49,0,266.29,0,0,0,32.05,125.81,293.29,18.38,37.43,83.84,652.02,563.52,201.66,16.03,2837.84,19.28,90.92,516.27,14.7,8.43
(주)SH에너지화학,002360,2017/12,0.25,-44.11,-49.33,2.56,-13.86,0,12.43,7.14,4.82,12.63,8.53,-0.1,93.76,40.46,1661.62,80.3,146.6,901.92,91.02,1.5,1.77,9.87,2.33,2.86,12.58,5.32,2.06,0,184.19,207.04,88.11,832.85,22.12,88.96,209.05,14.76,50.6,85.77,943.62,722.3,362.72,26.23,1647.85,16.59,79.44,398.2,11.31,7.55
(주)SH에너지화학,002360,2018/12,-1.92,-78.68,-68.93,-1.56,-2.12,5.41,6.47,1.56,1.53,2.68,2.64,-0.11,98.12,39.13,1626.36,25,38.55,904.99,88.19,1.48,1.72,10.52,2.31,3.08,9.17,6.84,2.1,0,127.24,0,0,0,16.42,67.47,163.93,10.98,73.28,86.08,1166.09,852.64,396.3,29.4,2670.62,16.17,61.13,293.96,8.51,5.69
