회사명,거래소코드,회계년도,총자본증가율(IFRS연결),정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),종업원수증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),금융비용부담률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),사내유보 대 자기자본비율(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),타인자본회전률(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),노동장비율(IFRS연결),기계장비율(IFRS연결),자본집약도(IFRS연결),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),유보율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자기자본구성비율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),재고자산 대 순운전자본비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),부채비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),[제조]자산(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS연결),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결)
(주)HJ매그놀리아용평호텔앤리조트,070960,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)HJ매그놀리아용평호텔앤리조트,070960,2013/12,0,0,0,0,0,,25.79,16,7.62,8.26,3.93,10.66,96.73,,0.2,0.52,0.33,2.66,3.1,18.84,9.38,0.5,0,,,,,8.85,9.66,308,967.77,56.86,244.11,43.59,36.1,39.32,23.21,19.93,11.19,0,774.82,154.3,8,30.24,4.85,23.91,4048.19,,757983088,153831158,114160407,15053235,11726313
(주)HJ매그놀리아용평호텔앤리조트,070960,2014/12,8.03,-30.13,-66.22,1.15,-13.16,,22.01,12.88,2.96,5.74,1.32,11.69,96.1,,0.17,0.45,0.27,1.41,1.57,14.44,5.61,0.37,0,,,,,8.15,9.78,104,1065.86,58.67,252.39,49.93,36.37,36.82,45.31,41.75,17.1,0,1545.86,171.61,7.47,20.84,4.72,28.92,3515.57,,818879781,133591597,104188856,12202258,3955667
(주)HJ매그놀리아용평호텔앤리조트,070960,2015/12,18.53,53.66,193.32,3.76,31.97,,23.52,14.99,6.56,8.6,3.78,7.63,91.67,,0.2,0.57,0.3,0.84,0.91,10.27,1.74,0.32,0,,,,,7.32,10.54,306,969.29,64.63,267,40.3,30.54,32.23,70.81,64.93,11.85,0,8886.53,210.29,5.88,22.82,3.98,21.93,4639.57,,970650679,176303475,134840799,15032317,11572555
(주)HJ매그놀리아용평호텔앤리조트,070960,2016/12,-4.3,14.92,23.29,26.73,19.51,,23.24,14.42,6.8,8.56,4.04,5.22,91.37,,0.22,0.59,0.35,0.8,0.86,11.03,1.36,0.34,0,,,,,7.73,10.67,324,-431.17,64.72,0,34.08,30.12,42.68,77.07,72.45,24.23,0,7094.91,134.32,1.67,6.9,0.96,4.23,4782.96,,928945970,210702135,161737462,18590640,14321286
(주)HJ매그놀리아용평호텔앤리조트,070960,2017/12,-6.54,10.28,18.39,2.96,-0.49,,22.57,15.98,8.09,8.33,4.21,5.12,89.61,,0.23,0.52,0.42,1.1,1.19,14.85,1.84,0.44,0,,,,,8.95,10.95,352,370,69.59,0,37.06,29.06,47.02,55.39,49.94,12.62,0,5053.47,112.69,-0.13,-0.42,-0.07,-0.28,4356.18,,868156494,209677450,162350743,13829690,16953250
(주)HJ매그놀리아용평호텔앤리조트,070960,2018/12,-6.38,-26.67,-39.9,1.47,-13.49,,22.91,13.54,5.62,5.97,2.48,5.59,92.82,,0.22,0.44,0.42,1.47,1.66,13.22,3.29,0.52,0,,,,,9.12,10.7,212,1090.82,72.09,0,40.89,34.64,50.96,55.57,48.41,31.88,0,1474.81,96.24,8.82,22.8,4.33,19.38,3768.46,,812775928,181388591,139835125,16990683,10185942
(주)HJ매그놀리아용평호텔앤리조트,070960,2019/12,4.57,-116.79,-235.41,-4.44,-28.64,,10.26,-3.19,-10.66,-1.02,-3.41,9.57,113.18,,0.16,0.32,0.3,1.22,1.41,8.82,6.08,0.42,0,,,,,5.35,6.32,-287,490.32,64.45,0,35.15,57.59,46.57,48.72,41.58,22.05,0,1205.05,114.75,8.38,21.06,4.48,29.4,2689.02,,849935619,129431260,116153202,17402188,-13791548
(주)HJ매그놀리아용평호텔앤리조트,070960,2020/12,7.29,0,0,-4.55,-1.56,,7.15,-5.46,-13.78,-1.8,-4.54,9.25,118.14,,0.14,0.33,0.26,0.92,1.16,4.59,6.6,0.3,0,,,,,4.14,5.25,-365,1057.91,56.97,0,29.66,64.37,41.43,48.21,36.79,20.79,0,4125.71,141.39,6.98,19.92,4.09,29.24,2647.18,,911905132,127417725,118308329,16061662,-17562113
(주)HJ매그놀리아용평호텔앤리조트,070960,2021/12,-7.72,0,0,2.25,85.48,,21.49,13,3.67,8.04,2.27,5.39,95.55,,0.27,0.62,0.48,1.76,2.08,11.56,11.26,0.58,0,,,,,8.6,10.1,180,-239.81,60.49,0,30.62,31.83,45.9,50.09,49.44,17.67,0,1671.47,117.86,4.32,9.48,2.34,8.33,4909.91,,841499592,236330115,185538832,20060190,8673798
