날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적,
2024-03-26,417000 ,417500 ,405500 ,406000 ,411000 ,404950 ,400042 ,418600 ,487617 ,-14082 ,6746888 ,
2024-03-25,416500 ,417000 ,412000 ,414500 ,410400 ,405125 ,400200 ,419183 ,488367 ,5117 ,6760970 ,
2024-03-22,410500 ,415500 ,409000 ,413500 ,409000 ,404500 ,400283 ,419821 ,489073 ,11179 ,6755853 ,
2024-03-21,409500 ,414000 ,409000 ,413500 ,406000 ,404250 ,400442 ,420433 ,489800 ,52967 ,6744674 ,
2024-03-20,405000 ,410000 ,404000 ,407500 ,406500 ,403925 ,400758 ,421150 ,490506 ,18530 ,6691707 ,
2024-03-19,412000 ,412000 ,402000 ,403000 ,408700 ,403750 ,401067 ,421892 ,491213 ,-10451 ,6673177 ,
2024-03-18,402000 ,408500 ,401000 ,407500 ,412000 ,403475 ,401383 ,422758 ,491925 ,30653 ,6683628 ,
2024-03-15,407000 ,410000 ,398500 ,398500 ,410600 ,403600 ,401625 ,423646 ,492598 ,-68200 ,6652975 ,
2024-03-14,416500 ,417000 ,405000 ,416000 ,411400 ,403450 ,402025 ,424558 ,493333 ,17985 ,6721175 ,
2024-03-13,419500 ,422000 ,415000 ,418500 ,408100 ,402050 ,401925 ,425213 ,493988 ,13539 ,6703190 ,
2024-03-12,404500 ,420000 ,404500 ,419500 ,401800 ,400800 ,402025 ,425888 ,494519 ,75617 ,6689651 ,
2024-03-11,402500 ,407000 ,399000 ,400500 ,395400 ,399525 ,402175 ,426625 ,495038 ,6179 ,6614034 ,
2024-03-08,403500 ,406500 ,399500 ,402500 ,395000 ,398800 ,402675 ,427529 ,495673 ,30125 ,6607855 ,
2024-03-07,391000 ,402000 ,387500 ,399500 ,394800 ,397525 ,403075 ,428483 ,496396 ,38226 ,6577730 ,
2024-03-06,386500 ,391000 ,386000 ,387000 ,395000 ,397000 ,403492 ,429546 ,497085 ,-8030 ,6539504 ,
2024-03-05,396000 ,398500 ,387000 ,387500 ,398300 ,397025 ,404208 ,430788 ,497756 ,-8653 ,6547534 ,
2024-03-04,401000 ,406000 ,398500 ,398500 ,402700 ,396725 ,404917 ,431975 ,498488 ,-8757 ,6556187 ,
2024-02-29,399000 ,407000 ,394000 ,401500 ,403400 ,395850 ,405417 ,433004 ,499123 ,57924 ,6564944 ,
2024-02-28,403500 ,408500 ,399500 ,400500 ,404800 ,394525 ,406300 ,434192 ,499738 ,4789 ,6507020 ,
2024-02-27,413500 ,417000 ,400500 ,403500 ,406100 ,393375 ,407075 ,435463 ,500410 ,-2834 ,6502231 ,
2024-02-26,402500 ,414000 ,402000 ,409500 ,406200 ,392250 ,407600 ,436700 ,501088 ,30596 ,6505065 ,
2024-02-23,411500 ,411500 ,402000 ,402000 ,403800 ,390175 ,408017 ,437896 ,501660 ,15419 ,6474469 ,
2024-02-22,410000 ,415500 ,405000 ,408500 ,405400 ,389100 ,408692 ,439096 ,502227 ,24682 ,6459050 ,
2024-02-21,402500 ,408000 ,398000 ,407000 ,402800 ,387350 ,409358 ,440150 ,502754 ,26053 ,6434368 ,
2024-02-20,397500 ,404500 ,392000 ,404000 ,399000 ,385600 ,409942 ,441133 ,503238 ,39549 ,6408315 ,
2024-02-19,412000 ,412500 ,395500 ,397500 ,396900 ,384575 ,410658 ,442258 ,503671 ,-59177 ,6368766 ,
2024-02-16,401500 ,412000 ,401000 ,410000 ,396200 ,384225 ,411433 ,443329 ,504144 ,81208 ,6427943 ,
2024-02-15,393500 ,397500 ,389000 ,395500 ,391400 ,383225 ,411800 ,444321 ,504548 ,34068 ,6346735 ,
