,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
0,고가_대비_종가_등락률,0.078550878,0.035472257,4.21E-07,0.15122523,0.041740024
1,EMA_240,0.074419469,0.046370466,0,0.139575708,0.040205486
2,RSI_minus_Signal_Binary,0.06152399,0.099742302,0,0.117033965,0.036230259
3,저가_대비_고가_등락률,0.058274515,0.118993835,0,0.094353663,0.032932866
4,RSI_Signal_등락률,0.057788603,0.12210714,0,0.090386649,0.030237361
5,EMA_120,0.048904585,0.190870282,0,0.083001286,0.027116318
6,시가_대비_저가_등락률,0.048835344,0.191499923,0,0.081858282,0.026342446
7,SMA_120,0.048515436,0.194428816,0,0.076590427,0.025764097
8,시가_대비_종가_등락률,0.046226747,0.216344025,0,0.069412357,0.025486128
9,SMA_60,0.045562177,0.223027937,0,0.068077881,0.024871318
10,EMA_60,0.044268776,0.236456283,0,0.057152275,0.024732047
11,거래량_등락률,0.044215194,0.237024628,0,0.052275258,0.022730881
12,종가,0.042870796,0.251601014,0,0.050478382,0.022496748
13,저가,0.042400691,0.256842289,0,0.045599167,0.022494418
14,EMA_5,0.041284072,0.269593331,0,0.041098151,0.0207765
15,MACD_등락률,0.04105776,0.272229595,0,0.03940889,0.020599192
16,시가_등락률,0.040730078,0.276077816,0,0.039079168,0.02030698
17,SMA_5,0.040649561,0.277029028,0,0.033670111,0.018699473
18,저가_등락률,0.040588199,0.277755436,0,0.032440098,0.017619112
19,EMA_long,0.039545692,0.290294675,0,0.026932056,0.01753384
20,EMA_short,0.038873276,0.298581149,0,0.023125572,0.016951341
21,EMA_20,0.038861713,0.298725012,0,0.022999368,0.016623609
22,SMA_20,0.037852814,0.311455038,0,0.02171552,0.016359513
23,SMA_120_minus_SMA_240,0.037419534,0.317030057,0,0.020884814,0.015789392
24,시가,0.037273801,0.318919796,0,0.020688507,0.015776234
25,SMA_5_등락률,0.036396505,0.330450928,0,0.02065361,0.013922947
26,고가,0.034056337,0.362508969,0,0.018425558,0.013824693
27,거래량,0.033296784,0.373318541,0,0.018390661,0.013744889
28,SMA_240,0.030593031,0.413387257,0,0.018194354,0.013613056
29,등락률,0.030375899,0.416711686,0,0.017639273,0.013398729
30,SMA_60_minus_SMA_240,0.030072892,0.421377129,0,0.017363648,0.012855018
31,시가_대비_고가_등락률,0.027990369,0.454259328,0,0.014614622,0.012820106
32,고가_등락률,0.026996241,0.470451435,0,0.012445925,0.012807243
