,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
86,16250,SGC이테크건설,0.631352283,0.601712329,0.395833333,0.84375
1372,91700,파트론,0.467785494,0.431045752,0.598484848,0.842342342
22,245620,EDGC,0.445134576,0.463564214,0.503030303,0.839285714
311,68930,디지털대성,0.603932584,0.551386913,0.613605442,0.837837838
1198,362320,청담글로벌,0.6,0.636363636,0.552995392,0.837837838
1315,191420,테고사이언스,0.515227273,0.524210526,0.625336927,0.834821429
1370,65690,파커스,0.469277108,0.532398453,0.435355392,0.833333333
1530,78590,휴림에이텍,0.702380952,0.547619048,0.675,0.833333333
704,185490,아이진,0.523116438,0.591677296,0.650595238,0.830357143
325,388790,라이콤,0.577399381,0.528985507,0.4703125,0.828767123
664,60590,씨티씨바이오,0.538229018,0.526018809,0.5557041,0.825892857
529,43710,서울리거,0.558333333,0.493781888,0.520760234,0.825892857
1127,72520,제넨바이오,0.500445633,0.469933555,0.519444444,0.821428571
1121,110020,전진바이오팜,0.517857143,0.519065613,0.628431373,0.81981982
158,293580,나우IB,0.536839666,0.532772821,0.557801418,0.819444444
260,261200,덴티스,0.50987526,0.532206633,0.558210784,0.816964286
979,76080,웰크론한텍,0.568760263,0.504776021,0.506763285,0.815315315
892,122640,예스티,0.438198064,0.465830721,0.434353741,0.8125
804,312610,에이에프더블류,0.548977183,0.45480226,0.553002451,0.8125
696,69920,아이에스이커머스,0.565106216,0.446625568,0.651654412,0.808035714
760,389500,에스비비테크,0.563492063,0.69047619,0.30952381,0.807692308
98,40300,YTN,0.615440115,0.498113208,0.538155431,0.806306306
867,156100,엘앤케이바이오,0.520719178,0.51952381,0.462585034,0.806306306
488,122350,삼기,0.533910534,0.513528139,0.404380342,0.803571429
93,22220,TKG애강,0.513528139,0.501587302,0.577891156,0.803571429
477,307870,비투엔,0.490283267,0.508788449,0.449772727,0.803571429
1007,86390,유니테스트,0.593611638,0.531798246,0.461280715,0.801801802
1052,41520,이라이콤,0.565614618,0.578616352,0.380612245,0.801801802
80,99220,SDN,0.47248996,0.47936815,0.473026973,0.799107143
571,347000,센코,0.490719697,0.490224359,0.505363036,0.799107143
1167,51980,중앙첨단소재,0.60670194,0.553667954,0.634304207,0.799065421
403,95500,미래나노텍,0.512531328,0.552515723,0.67064951,0.797297297
1227,93320,케이아이엔엑스,0.455042017,0.416774822,0.510683761,0.795454545
938,273060,와이즈버즈,0.437184874,0.502159468,0.542792793,0.794642857
989,112040,위메이드,0.471771577,0.554300063,0.545698925,0.792792793
217,7720,대명소노시즌,0.515322581,0.514430014,0.486407767,0.792792793
306,104460,디와이피엔에프,0.588164251,0.503018109,0.56684492,0.790178571
952,153490,우리이앤엘,0.432900433,0.559561129,0.488587425,0.790178571
128,53270,구영테크,0.607641196,0.468358396,0.55,0.790178571
928,112290,와이씨켐,0.602272727,0.683333333,0.507575758,0.784615385
1492,91440,한울소재과학,0.498341625,0.500327332,0.458980486,0.78440367
485,72950,빛샘전자,0.469230769,0.558349452,0.476699029,0.783783784
276,94170,동운아나텍,0.501443001,0.511842959,0.557040998,0.78125
1453,126700,하이비젼시스템,0.424418605,0.405485893,0.540123457,0.78125
1337,204610,티쓰리,0.5,0.380952381,0.4,0.777777778
1424,43370,피에이치에이,0.481726908,0.503986711,0.606060606,0.777272727
1464,256840,한국비엔씨,0.42248062,0.542307692,0.53021978,0.776785714
459,82800,비보존 제약,0.572090437,0.523314204,0.522277228,0.773148148
1202,16790,카나리아바이오,0.574776786,0.538105413,0.593167702,0.772277228
26,130500,GH신소재,0.536175711,0.581168831,0.687165775,0.761309524
430,46310,백금T&A,0.51268797,0.563209332,0.568586142,0.755825243
1339,246710,티앤알바이오팹,0.552159468,0.563735178,0.583333333,0.753115265
187,104620,노랑풍선,0.654091214,0.521462106,0.647692308,0.753115265
61,52900,KX하이텍,0.535737813,0.593910256,0.715748325,0.741702742
309,43360,디지아이,0.586993971,0.50254065,0.478991597,0.741262136
316,187220,디티앤씨,0.575702811,0.509313725,0.487623762,0.741071429
1378,222110,팬젠,0.616666667,0.591677296,0.565769231,0.735042735
505,54090,삼진엘앤디,0.580054012,0.487460317,0.62830033,0.733333333
872,58630,엠게임,0.626645877,0.434453228,0.696018062,0.729750779
391,101330,모베이스,0.606570513,0.515987461,0.559417808,0.72038835
959,18620,우진비앤지,0.53021978,0.523674242,0.620462046,0.716307278
