,Ticker,Name,Precision_SVM
86,16250,SGC이테크건설,0.84375
1372,91700,파트론,0.842342342
22,245620,EDGC,0.839285714
311,68930,디지털대성,0.837837838
1198,362320,청담글로벌,0.837837838
1315,191420,테고사이언스,0.834821429
1370,65690,파커스,0.833333333
1530,78590,휴림에이텍,0.833333333
704,185490,아이진,0.830357143
325,388790,라이콤,0.828767123
664,60590,씨티씨바이오,0.825892857
529,43710,서울리거,0.825892857
1127,72520,제넨바이오,0.821428571
1121,110020,전진바이오팜,0.81981982
158,293580,나우IB,0.819444444
260,261200,덴티스,0.816964286
979,76080,웰크론한텍,0.815315315
892,122640,예스티,0.8125
804,312610,에이에프더블류,0.8125
696,69920,아이에스이커머스,0.808035714
760,389500,에스비비테크,0.807692308
98,40300,YTN,0.806306306
867,156100,엘앤케이바이오,0.806306306
488,122350,삼기,0.803571429
93,22220,TKG애강,0.803571429
477,307870,비투엔,0.803571429
1007,86390,유니테스트,0.801801802
1052,41520,이라이콤,0.801801802
80,99220,SDN,0.799107143
571,347000,센코,0.799107143
1167,51980,중앙첨단소재,0.799065421
403,95500,미래나노텍,0.797297297
1227,93320,케이아이엔엑스,0.795454545
938,273060,와이즈버즈,0.794642857
989,112040,위메이드,0.792792793
217,7720,대명소노시즌,0.792792793
306,104460,디와이피엔에프,0.790178571
952,153490,우리이앤엘,0.790178571
128,53270,구영테크,0.790178571
928,112290,와이씨켐,0.784615385
1492,91440,한울소재과학,0.78440367
485,72950,빛샘전자,0.783783784
276,94170,동운아나텍,0.78125
1453,126700,하이비젼시스템,0.78125
1337,204610,티쓰리,0.777777778
1424,43370,피에이치에이,0.777272727
1464,256840,한국비엔씨,0.776785714
459,82800,비보존 제약,0.773148148
1202,16790,카나리아바이오,0.772277228
26,130500,GH신소재,0.761309524
430,46310,백금T&A,0.755825243
1339,246710,티앤알바이오팹,0.753115265
187,104620,노랑풍선,0.753115265
61,52900,KX하이텍,0.741702742
309,43360,디지아이,0.741262136
316,187220,디티앤씨,0.741071429
1378,222110,팬젠,0.735042735
505,54090,삼진엘앤디,0.733333333
872,58630,엠게임,0.729750779
391,101330,모베이스,0.72038835
959,18620,우진비앤지,0.716307278
367,93520,매커스,0.715732087
939,19210,와이지-원,0.714814815
1261,41960,코미팜,0.708479532
761,42110,에스씨디,0.708333333
1173,303030,지니틱스,0.705275229
1410,405000,플라즈맵,0.7
129,66620,국보디자인,0.698809524
265,75970,동국알앤에스,0.696581197
733,196170,알테오젠,0.696296296
83,40610,SG&G,0.682614555
52,44180,KD,0.68233945
950,73560,우리손에프앤지,0.679761905
1091,37330,인지디스플레,0.679761905
526,79650,서산,0.679487179
1223,192250,케이사인,0.677752294
490,18310,삼목에스폼,0.677752294
82,255220,SG,0.677350427
1397,93380,풍강,0.675857843
1237,102370,케이옥션,0.675438596
489,14970,삼륭물산,0.675242718
262,6620,동구바이오제약,0.675170068
366,5990,매일홀딩스,0.674242424
296,263720,디앤씨미디어,0.673180593
447,337930,브랜드엑스코퍼레이션,0.673165138
112,198440,고려시멘트,0.66969697
813,224110,에이텍모빌리티,0.668577982
673,74430,아미노로직스,0.668463612
1486,66980,한성크린텍,0.667692308
1480,37230,한국팩키지,0.667557932
1154,276730,제주맥주,0.666666667
137,114450,그린생명과학,0.665151515
802,88800,에이스테크,0.665109034
846,333620,엔시스,0.663636364
983,53580,웹케시,0.662692308
1109,68330,일신바이오,0.66025641
70,222160,NPX,0.660066007
20,241520,DSC인베스트먼트,0.659863946
1301,237880,클리오,0.65940367
415,53030,바이넥스,0.65902965
499,54540,삼영엠텍,0.657754011
1159,64800,젬백스링크,0.656060606
992,65370,위세아이텍,0.655448718
1543,37440,희림,0.654816514
1323,393210,토마토시스템,0.652777778
678,50860,아세아텍,0.6525
426,308080,바이젠셀,0.652083333
627,17000,신원종합개발,0.651515152
1124,45510,정원엔시스,0.651090343
1383,119500,포메탈,0.650895857
1065,67010,이씨에스,0.650641026
1465,25550,한국선재,0.650229358
160,130580,나이스디앤비,0.649514563
506,250,삼천당제약,0.647950089
572,331920,셀레믹스,0.646116505
1541,10240,흥국,0.642719072
991,123420,위메이드플레이,0.642424242
1360,150900,파수,0.642424242
1043,302430,이노메트리,0.641744548
28,83450,GST,0.641071429
1342,277880,티에스아이,0.641025641
1299,214150,클래시스,0.63997114
817,262260,에이프로,0.63939951
434,206400,베노티앤알,0.637878788
241,131220,대한과학,0.637242268
858,348370,엔켐,0.636554622
584,32685,소프트센우,0.636554622
806,227100,에이치앤비디자인,0.636085627
930,65530,와이어블,0.634559885
942,79000,와토스코리아,0.634353741
1484,92460,한라IMS,0.633333333
1195,94850,참좋은여행,0.633333333
1006,11320,유니크,0.633333333
502,2290,삼일기업공사,0.633333333
943,32820,우리기술,0.633333333
547,86710,선진뷰티사이언스,0.632773109
105,217730,강스템바이오텍,0.631553398
1130,187420,제노포커스,0.631547619
387,80420,모다이노칩,0.631547619
559,17510,세명전기,0.628787879
468,65170,비엘팜텍,0.628787879
1004,18000,유니슨,0.628703704
1298,36170,클라우드에어,0.62810559
923,109080,옵티시스,0.627956989
1423,2230,피에스텍,0.627725857
1075,353810,이지바이오,0.627725857
615,131090,시큐브,0.627725857
1232,272110,케이엔제이,0.627692308
1322,200230,텔콘RF제약,0.627005348
444,8470,부스타,0.626610825
515,91580,상신이디피,0.625612745
1457,106190,하이텍팜,0.625242718
42,442770,IBKS제21호스팩,0.625
759,121890,에스디시스템,0.625
982,69080,웹젠,0.624242424
799,203400,에이비온,0.624242424
533,27040,서울전자통신,0.623931624
634,56700,신화인터텍,0.62305296
1129,361390,제노코,0.62244898
431,331520,밸로프,0.620567376
1118,174880,장원테크,0.620098039
268,33500,동성화인텍,0.619444444
1252,47770,코데즈컴바인,0.61839934
243,54670,대한뉴팜,0.617692308
1394,5670,푸드웰,0.617692308
195,69140,누리플랜,0.617034314
636,243840,신흥에스이씨,0.616623711
886,143540,영우디에스피,0.616301546
1165,72020,중앙백신,0.616301546
1388,331380,포커스에이치엔에스,0.615533981
1365,49120,파인디앤씨,0.615533981
1142,33320,제이씨현시스템,0.615151515
1318,95610,테스,0.61453824
1331,290090,트윔,0.614285714
442,226340,본느,0.613707165
628,12790,신일제약,0.612692308
819,397030,에이프릴바이오,0.6125
694,368600,아이씨에이치,0.6125
397,33200,모아텍,0.612299465
210,32190,다우데이타,0.61122449
788,237690,에스티팜,0.611185984
1144,204270,제이앤티씨,0.610606061
1496,79170,한창산업,0.610185185
1102,48530,인트론바이오,0.610185185
767,95910,에스에너지,0.610185185
46,35900,JYP Ent.,0.609243697
1139,90470,제이스텍,0.606617647
587,43100,솔고바이오,0.606060606
1189,86060,진바이오텍,0.605682606
