,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
722,016800,퍼시스,0.5390729361474753,0.5139345760233918,0.6519423558897243,0.8632478632478633
463,004365,세방우,0.5853318798449612,0.5989687548099123,0.704004329004329,0.8297413793103448
656,100250,진양홀딩스,0.5121082621082621,0.5338587530820711,0.32553191489361705,0.8269230769230769
0,095570,AJ네트웍스,0.517027027027027,0.5123383790602334,0.5452214930270713,0.8247863247863247
672,145270,케이탑리츠,0.5677694025683975,0.4848790322580645,0.7763028515240904,0.8226495726495726
399,02826K,삼성물산우B,0.5342857142857143,0.4512140287769784,0.4813218390804598,0.8162393162393162
218,090350,노루페인트,0.5179187900706888,0.5106382978723404,0.470160116448326,0.8135964912280702
336,280360,롯데웰푸드,0.5815217391304348,0.5539473684210526,0.7077865266841645,0.8120300751879699
725,010770,평화홀딩스,0.5511239035087719,0.5584907074340527,0.5622270742358079,0.811965811965812
416,145990,삼양사,0.5173957179771134,0.51,0.4723435225618632,0.8090128755364807
19,016610,DB금융투자,0.47010041240810474,0.39267254484645786,0.4556479556479557,0.8081896551724138
732,005810,풍산홀딩스,0.4494278331487634,0.45964478417266186,0.49045566502463056,0.8055555555555556
35,001250,GS글로벌,0.4872983870967742,0.4737204581702189,0.7407886231415644,0.8043478260869565
361,085620,미래에셋생명,0.5091564387297877,0.5285801155366373,0.551762114537445,0.8012820512820513
141,285130,SK케미칼,0.5128518971848225,0.4693181818181818,0.48960498960498966,0.8008130081300813
535,012750,에스원,0.476213405238829,0.4783748361730013,0.5371606586559857,0.7995689655172413
12,011155,CJ씨푸드1우,0.5530751299982068,0.49138064316635743,0.2957446808510638,0.798283261802575
878,005010,휴스틸,0.525,0.5436157693439247,0.5880847953216375,0.7952586206896552
126,123700,SJM,0.4714583333333333,0.5425207961972668,0.7884615384615384,0.794759825327511
220,000320,노루홀딩스,0.5412658880109927,0.5889735544598835,0.6934782608695653,0.7943722943722944
828,000720,현대건설,0.4821574391638086,0.497985347985348,0.7943722943722944,0.7931034482758621
561,011690,와이투솔루션,0.5358051617593602,0.5055478502080444,0.47273489932885904,0.7923976608187134
74,025000,KPX케미칼,0.5280701754385965,0.5547892720306513,0.5087043378995434,0.7918454935622318
464,004490,세방전지,0.5237633813215209,0.5352941176470588,0.7922077922077921,0.7896995708154506
614,249420,일동제약,0.5730255516840883,0.576068376068376,0.5405759162303665,0.7888349514563107
801,006390,한일현대시멘트,0.4775670675300647,0.5431898934070273,0.49159663865546216,0.7875536480686696
842,005440,현대지에프홀딩스,0.5447976878612717,0.55,0.5477207977207976,0.7866379310344828
116,005490,POSCO홀딩스,0.5042929292929292,0.552547770700637,0.4268753372908797,0.7863247863247863
482,053210,스카이라이프,0.5560581140350878,0.5493360805860805,0.5332618025751072,0.7854077253218884
381,026940,부국철강,0.47797880116959063,0.5266646804707285,0.5446755625327053,0.7832618025751072
491,004170,신세계,0.5112963959117806,0.5489453357100416,0.533744557329463,0.782051282051282
199,073240,금호타이어,0.4969794769943727,0.5149741562785041,0.7076362655153805,0.782051282051282
778,128940,한미약품,0.48870663002404674,0.5458499189149344,0.5337209302325581,0.782051282051282
877,079980,휴비스,0.5038051750380518,0.5185476618705036,0.27370689655172414,0.7813852813852814
584,072130,유엔젤,0.5818069742867207,0.5492700729927007,0.5978881278538812,0.7811158798283262
10,000120,CJ대한통운,0.5331721623335447,0.49037037037037035,0.5728365858466391,0.7804347826086957
791,025750,한솔홈데코,0.5,0.47590537383177567,0.5404312668463611,0.7801724137931034
626,015860,일진홀딩스,0.5443859937530824,0.5437062937062938,0.6542207792207793,0.778969957081545
786,009180,한솔로지스틱스,0.5298826886493342,0.5209968032548677,0.5542754736303124,0.7782608695652173
355,009580,무림P&P,0.5225086965418457,0.5281170862505586,0.5517451298701299,0.7777777777777778
402,018260,삼성에스디에스,0.6060992578849722,0.5581353230947551,0.6543239599383668,0.7777777777777778
240,001680,대상,0.4997505985634477,0.5048872180451128,0.2765957446808511,0.7777777777777778
690,036420,콘텐트리중앙,0.5003330003330003,0.5065520065520065,0.5388687454677302,0.777056277056277
281,004835,덕성우,0.4990006662225184,0.526532110091743,0.4618362831858407,0.7768240343347639
712,078000,텔코웨어,0.54588712346905,0.5732968819269987,0.6523687580025608,0.7756410256410257
734,086790,하나금융지주,0.5307017543859649,0.4831255700820918,0.5225321888412018,0.7735042735042735
180,017900,광전자,0.5283333333333333,0.5200142675967026,0.5812224669603524,0.7729257641921398
514,008700,아남전자,0.5740384615384615,0.5645258103241297,0.5941558441558441,0.7729257641921398
820,082740,한화엔진,0.5145635459068295,0.5089238845144357,0.4864686468646865,0.7727272727272727
323,016740,두올,0.5212715332635386,0.5623458481775829,0.507379679144385,0.7716346153846154
79,033780,KT&G,0.4858058608058608,0.5037358296118173,0.5614152202937249,0.7713675213675213
65,009440,KC그린홀딩스,0.5328394283312317,0.5445893285371703,0.26595744680851063,0.7705627705627706
250,009190,대양금속,0.5466729738252918,0.4885869565217391,0.49487836107554417,0.7703862660944206
554,012280,영화금속,0.5268865121806299,0.5260235191637631,0.5776003276003276,0.7703862660944206
873,298000,효성화학,0.5704334365325078,0.531986531986532,0.5710843373493976,0.7692307692307692
338,286940,롯데정보통신,0.571969696969697,0.529505582137161,0.4905094905094905,0.7670454545454546
457,004980,성신양회,0.48367382573773354,0.5071133716644552,0.47202220222022206,0.7649572649572649
706,004105,태양금속우,0.48790815435655666,0.5243893011750155,0.7121435594886922,0.7640692640692641
129,011790,SKC,0.5323010323010323,0.5,0.6226495726495727,0.7597402597402597
501,002700,신일전자,0.5390287501862059,0.5240098650805165,0.5316558441558441,0.759656652360515
578,011330,유니켐,0.5243295019157088,0.5271823547685617,0.5403225806451613,0.7587817638266068
448,004410,서울식품,0.5826923076923077,0.5474581724581724,0.6512207274539112,0.7575757575757576
405,009155,삼성전기우,0.5391287206780997,0.49373816805009463,0.5525248560962847,0.75
187,083420,그린케미칼,0.6331508805330794,0.5406278504104591,0.7354439592430859,0.7354439592430859
235,00806K,대덕1우,0.47944444444444445,0.5334051724137931,0.5557644110275689,0.7334905660377358
537,298690,에어부산,0.563953488372093,0.5037950664136622,0.7103174603174603,0.730225988700565
462,004360,세방,0.5455974842767295,0.4889906901137875,0.6125202374527793,0.726046255506608
525,020560,아시아나항공,0.5222112941562167,0.5402930402930404,0.48550724637681164,0.7194189602446484
664,000650,천일고속,0.6032338308457712,0.4935064935064935,0.3354978354978355,0.7169913419913421
567,010400,우진아이엔에스,0.552689756816507,0.518243661100804,0.5142857142857142,0.7116883116883117
98,000680,LS네트웍스,0.5637768465165007,0.5159590151850214,0.6333333333333333,0.7061688311688312
793,011700,한신기계,0.5645189453466037,0.509074074074074,0.5402707984366275,0.7048872180451128
691,031820,콤텍시스템,0.5449862637362637,0.5211010514018691,0.5870348723943113,0.7045895281189398
695,26490K,크라운제과우,0.5544871794871795,0.5276472431077694,0.46794871794871795,0.701082251082251
320,336260,두산퓨얼셀,0.5,0.55,0.5892857142857143,0.7
314,000020,동화약품,0.5712682379349046,0.5387614004118859,0.5771827182718272,0.6978260869565218
474,033530,세종공업,0.5605375637021206,0.5306513409961686,0.5696935724962631,0.6961426491994178
689,021240,코웨이,0.51996151996152,0.5613783465725213,0.6223832528180354,0.6903409090909092
764,161890,한국콜마,0.47578801241221624,0.5224988916802128,0.6891304347826087,0.6891304347826087
635,001560,제일연마,0.478809383008082,0.5121212121212122,0.6455604075691412,0.6866883116883117
99,229640,LS에코에너지,0.5822422258592471,0.5602422669262384,0.5852272727272727,0.6865577889447236
174,012205,계양전기우,0.5621592635624274,0.5417229729729729,0.30387931034482757,0.683695652173913
139,001510,SK증권,0.5286915204678362,0.46485311750599523,0.6801948051948052,0.6833700440528634
437,011230,삼화전자,0.5318825910931174,0.5437189767086674,0.5972222222222222,0.6819383259911895
609,006490,인스코비,0.46592539454806314,0.5422836817653891,0.45162016201620164,0.6804347826086956
358,008420,문배철강,0.5306513409961686,0.5552772938443671,0.5040481832543444,0.6782608695652175
471,091090,세원이앤씨,0.5334044065387349,0.4807463131237896,0.578890205371248,0.678030303030303
857,008775,호텔신라우,0.5268659154009472,0.5501250367755222,0.5762987012987013,0.678030303030303
789,004710,한솔테크닉스,0.5084415584415585,0.5621330005871991,0.5408252853380158,0.6777777777777778
192,001570,금양,0.5492528340776366,0.5631726374760431,0.6377292852624921,0.6764995083579155
841,004020,현대제철,0.48546359350445256,0.4779629629629629,0.6903409090909092,0.6760869565217391
699,039490,키움증권,0.5339391115253185,0.48818261890780973,0.6084998766345917,0.6723568281938326
658,272450,진에어,0.4897372742200328,0.49818840579710144,0.5736111111111111,0.671
779,009240,한샘,0.6135219070001678,0.5334576568670469,0.4975633528265107,0.6709641255605381
232,019685,대교우B,0.6549065420560748,0.5264586160108548,0.6710526315789473,0.6695652173913044
616,013360,일성건설,0.5552828424497429,0.5519957983193278,0.5291005291005291,0.6664798206278026
528,001780,알루코,0.5498040218132243,0.519725882174769,0.6158175355450237,0.6652585765488992
858,002460,화성산업,0.5463008329250367,0.5682724988916803,0.5838068181818181,0.6652173913043479
458,004985,성신양회우,0.5801565008025682,0.5224020642739855,0.5600961538461539,0.6648230088495575
680,005420,코스모화학,0.565084022405975,0.5040688575899843,0.5463768115942029,0.6622418879056047
54,035000,HS애드,0.5168303662778801,0.565703634669152,0.5418335558522474,0.661967418546366
728,047050,포스코인터내셔널,0.5417072379097696,0.49822695035460995,0.6337719298245614,0.6613436123348018
57,234080,JW생명과학,0.6018170426065163,0.5821009134406263,0.6622928176795579,0.660706252811516
319,000155,두산우,0.45481786133960045,0.5060606060606061,0.4642857142857143,0.6578947368421053
591,003460,유화증권,0.5833333333333333,0.4952614379084967,0.523394495412844,0.6572463768115941
