,ticker,ticker_name,highest_correlation,Top1_Correlation,Top2_Correlation,Top3_Correlation,Top4_Correlation,Top5_Correlation,Top6_Correlation,Top7_Correlation,Top8_Correlation
0,95570,AJ네트웍스,"0    0.07845
Name: Correlation, dtype: float64",0.111389177,0.068097328,0.066020982,0.063416126,0.059762178,0.059271455,0.057500166,0.056120457
1,6840,AK홀딩스,"0    0.135792
Name: Correlation, dtype: float64",,,,,,,,
2,27410,BGF,"0    0.127063
Name: Correlation, dtype: float64",,,,,,,,
3,282330,BGF리테일,"0    0.136616
Name: Correlation, dtype: float64",,,,,,,,
4,138930,BNK금융지주,"0    0.107775
Name: Correlation, dtype: float64",,,,,,,,
5,1460,BYC,"0    0.149473
Name: Correlation, dtype: float64",,,,,,,,
6,1465,BYC우,"0    0.201027
Name: Correlation, dtype: float64",,,,,,,,
7,1040,CJ,"0    0.114671
Name: Correlation, dtype: float64",,,,,,,,
8,79160,CJ CGV,"0    0.109215
Name: Correlation, dtype: float64",,,,,,,,
9,00104K,CJ4우(전환),"0    0.105166
Name: Correlation, dtype: float64",,,,,,,,
10,120,CJ대한통운,"0    0.105965
Name: Correlation, dtype: float64",,,,,,,,
11,11150,CJ씨푸드,"0    0.13298
Name: Correlation, dtype: float64",,,,,,,,
12,11155,CJ씨푸드1우,"0    0.192871
Name: Correlation, dtype: float64",,,,,,,,
13,1045,CJ우,"0    0.097878
Name: Correlation, dtype: float64",,,,,,,,
14,97950,CJ제일제당,"0    0.09543
Name: Correlation, dtype: float64",,,,,,,,
15,97955,CJ제일제당 우,"0    0.084465
Name: Correlation, dtype: float64",,,,,,,,
16,480,CR홀딩스,"0    0.132991
Name: Correlation, dtype: float64",,,,,,,,
17,590,CS홀딩스,"0    0.102469
Name: Correlation, dtype: float64",,,,,,,,
18,12030,DB,"0    0.094081
Name: Correlation, dtype: float64",,,,,,,,
19,16610,DB금융투자,"0    0.186327
Name: Correlation, dtype: float64",,,,,,,,
20,5830,DB손해보험,"0    0.089082
Name: Correlation, dtype: float64",,,,,,,,
21,990,DB하이텍,"0    0.104755
Name: Correlation, dtype: float64",,,,,,,,
22,139130,DGB금융지주,"0    0.171916
Name: Correlation, dtype: float64",,,,,,,,
23,1530,DI동일,"0    0.089431
Name: Correlation, dtype: float64",,,,,,,,
24,210,DL,"0    0.094572
Name: Correlation, dtype: float64",,,,,,,,
25,215,DL우,"0    0.072518
Name: Correlation, dtype: float64",,,,,,,,
26,375500,DL이앤씨,"0    0.143197
Name: Correlation, dtype: float64",,,,,,,,
27,37550L,DL이앤씨2우(전환),"0    0.198308
Name: Correlation, dtype: float64",,,,,,,,
28,37550K,DL이앤씨우,"0    0.194661
Name: Correlation, dtype: float64",,,,,,,,
29,7340,DN오토모티브,"0    0.112294
Name: Correlation, dtype: float64",,,,,,,,
30,4840,DRB동일,"0    0.138782
Name: Correlation, dtype: float64",,,,,,,,
31,155660,DSR,"0    0.123068
Name: Correlation, dtype: float64",,,,,,,,
32,69730,DSR제강,"0    0.127285
Name: Correlation, dtype: float64",,,,,,,,
33,17860,DS단석,"0   NaN
Name: Correlation, dtype: float64",,,,,,,,
34,17940,E1,"0    0.158992
Name: Correlation, dtype: float64",,,,,,,,
35,365550,ESR켄달스퀘어리츠,"0    0.117968
Name: Correlation, dtype: float64",,,,,,,,
36,383220,F&F,"0    0.122722
Name: Correlation, dtype: float64",,,,,,,,
37,7700,F&F홀딩스,"0    0.118472
Name: Correlation, dtype: float64",,,,,,,,
38,114090,GKL,"0    0.133254
Name: Correlation, dtype: float64",,,,,,,,
39,78930,GS,"0    0.151711
Name: Correlation, dtype: float64",,,,,,,,
40,6360,GS건설,"0    0.117782
Name: Correlation, dtype: float64",,,,,,,,
41,1250,GS글로벌,"0    0.119638
Name: Correlation, dtype: float64",,,,,,,,
42,7070,GS리테일,"0    0.126435
Name: Correlation, dtype: float64",,,,,,,,
43,78935,GS우,"0    0.170757
Name: Correlation, dtype: float64",,,,,,,,
44,12630,HDC,"0    0.116032
Name: Correlation, dtype: float64",,,,,,,,
45,39570,HDC랩스,"0    0.122126
Name: Correlation, dtype: float64",,,,,,,,
46,89470,HDC현대EP,"0    0.128456
Name: Correlation, dtype: float64",,,,,,,,
47,294870,HDC현대산업개발,"0    0.128297
Name: Correlation, dtype: float64",,,,,,,,
48,9540,HD한국조선해양,"0    0.130634
Name: Correlation, dtype: float64",,,,,,,,
49,267250,HD현대,"0    0.175256
Name: Correlation, dtype: float64",,,,,,,,
50,267270,HD현대건설기계,"0    0.107369
Name: Correlation, dtype: float64",,,,,,,,
51,322000,HD현대에너지솔루션,"0    0.117959
Name: Correlation, dtype: float64",,,,,,,,
52,42670,HD현대인프라코어,"0    0.1035
Name: Correlation, dtype: float64",,,,,,,,
53,267260,HD현대일렉트릭,"0    0.111396
Name: Correlation, dtype: float64",,,,,,,,
54,329180,HD현대중공업,"0    0.14394
Name: Correlation, dtype: float64",,,,,,,,
55,97230,HJ중공업,"0    0.112627
Name: Correlation, dtype: float64",,,,,,,,
56,14790,HL D&I,"0    0.125272
Name: Correlation, dtype: float64",,,,,,,,
57,3580,HLB글로벌,"0    0.092025
Name: Correlation, dtype: float64",,,,,,,,
58,204320,HL만도,"0    0.13856
Name: Correlation, dtype: float64",,,,,,,,
59,60980,HL홀딩스,"0    0.100264
Name: Correlation, dtype: float64",,,,,,,,
60,11200,HMM,"0    0.094467
Name: Correlation, dtype: float64",,,,,,,,
61,35000,HS애드,"0    0.137279
Name: Correlation, dtype: float64",,,,,,,,
62,3560,IHQ,"0    0.212846
Name: Correlation, dtype: float64",,,,,,,,
63,175330,JB금융지주,"0    0.122502
Name: Correlation, dtype: float64",,,,,,,,
64,234080,JW생명과학,"0    0.1137
Name: Correlation, dtype: float64",,,,,,,,
65,1060,JW중외제약,"0    0.134958
Name: Correlation, dtype: float64",,,,,,,,
66,1067,JW중외제약2우B,"0    0.144114
Name: Correlation, dtype: float64",,,,,,,,
67,1065,JW중외제약우,"0    0.156662
Name: Correlation, dtype: float64",,,,,,,,
68,96760,JW홀딩스,"0    0.166206
Name: Correlation, dtype: float64",,,,,,,,
69,105560,KB금융,"0    0.120133
Name: Correlation, dtype: float64",,,,,,,,
70,432320,KB스타리츠,"0    0.278095
Name: Correlation, dtype: float64",,,,,,,,
71,2380,KCC,"0    0.11753
Name: Correlation, dtype: float64",,,,,,,,
72,344820,KCC글라스,"0    0.113262
Name: Correlation, dtype: float64",,,,,,,,
73,9070,KCTC,"0    0.137744
Name: Correlation, dtype: float64",,,,,,,,
74,9440,KC그린홀딩스,"0    0.118493
Name: Correlation, dtype: float64",,,,,,,,
75,119650,KC코트렐,"0    0.094515
Name: Correlation, dtype: float64",,,,,,,,
76,92220,KEC,"0    0.110009
Name: Correlation, dtype: float64",,,,,,,,
77,3620,KG모빌리티,"0    0.194257
Name: Correlation, dtype: float64",,,,,,,,
78,16380,KG스틸,"0    0.137809
Name: Correlation, dtype: float64",,,,,,,,
79,1390,KG케미칼,"0    0.132914
Name: Correlation, dtype: float64",,,,,,,,
80,33180,KH 필룩스,"0    0.187564
Name: Correlation, dtype: float64",,,,,,,,
81,15590,KIB플러그에너지,"0    0.117415
Name: Correlation, dtype: float64",,,,,,,,
82,1940,KISCO홀딩스,"0    0.081802
Name: Correlation, dtype: float64",,,,,,,,
83,25000,KPX케미칼,"0    0.173166
Name: Correlation, dtype: float64",,,,,,,,
84,92230,KPX홀딩스,"0    0.158014
Name: Correlation, dtype: float64",,,,,,,,
85,40,KR모터스,"0    0.137603
Name: Correlation, dtype: float64",,,,,,,,
86,44450,KSS해운,"0    0.089676
Name: Correlation, dtype: float64",,,,,,,,
87,30200,KT,"0    0.153662
Name: Correlation, dtype: float64",,,,,,,,
88,33780,KT&G,"0    0.198882
Name: Correlation, dtype: float64",,,,,,,,
89,58850,KTcs,"0    0.082345
Name: Correlation, dtype: float64",,,,,,,,
90,58860,KTis,"0    0.101865
Name: Correlation, dtype: float64",,,,,,,,
91,93050,LF,"0    0.172627
Name: Correlation, dtype: float64",,,,,,,,
92,3550,LG,"0    0.178153
Name: Correlation, dtype: float64",,,,,,,,
93,34220,LG디스플레이,"0    0.124984
Name: Correlation, dtype: float64",,,,,,,,
94,51900,LG생활건강,"0    0.152355
Name: Correlation, dtype: float64",,,,,,,,
95,51905,LG생활건강우,"0    0.177928
Name: Correlation, dtype: float64",,,,,,,,
96,373220,LG에너지솔루션,"0    0.188476
Name: Correlation, dtype: float64",,,,,,,,
97,3555,LG우,"0    0.170815
Name: Correlation, dtype: float64",,,,,,,,
98,32640,LG유플러스,"0    0.148263
Name: Correlation, dtype: float64",,,,,,,,
99,11070,LG이노텍,"0    0.105249
Name: Correlation, dtype: float64",,,,,,,,
100,66570,LG전자,"0    0.109679
Name: Correlation, dtype: float64",,,,,,,,
101,66575,LG전자우,"0    0.089299
Name: Correlation, dtype: float64",,,,,,,,
102,37560,LG헬로비전,"0    0.117491
Name: Correlation, dtype: float64",,,,,,,,
103,51910,LG화학,"0    0.11848
Name: Correlation, dtype: float64",,,,,,,,
104,51915,LG화학우,"0    0.100986
Name: Correlation, dtype: float64",,,,,,,,
105,79550,LIG넥스원,"0    0.116591
Name: Correlation, dtype: float64",,,,,,,,
106,6260,LS,"0    0.118646
Name: Correlation, dtype: float64",,,,,,,,
107,10120,LS ELECTRIC,"0    0.128753
Name: Correlation, dtype: float64",,,,,,,,
108,680,LS네트웍스,"0    0.127837
Name: Correlation, dtype: float64",,,,,,,,
