,Ticker,Name,Precision_RF,Precision_DT,Precision_LR,Precision_SVM
113,383800,LX홀딩스,0.482051282,0.523732719,0.540350877,0.875
499,67830,세이브존I&C,0.53279321,0.492192691,0.534848485,0.870535714
375,17180,명문제약,0.422159091,0.478921569,0.476485149,0.857142857
283,300,대유플러스,0.541774892,0.492555831,0.431395349,0.845
530,2870,신풍,0.52498033,0.524359886,0.508250825,0.84375
333,4890,동일산업,0.438664596,0.524086022,0.842857143,0.842857143
860,00088K,한화3우B,0.567391304,0.581347729,0.333333333,0.842342342
371,88980,맥쿼리인프라,0.460539461,0.535011802,0.520833333,0.834821429
807,970,한국주철관,0.583574879,0.412681913,0.772911051,0.830357143
270,3545,대신증권우,0.580909091,0.528219697,0.585051546,0.828828829
728,120115,코오롱인더우,0.426075269,0.500332226,0.696100917,0.828703704
476,4415,서울식품우,0.478361345,0.59939759,0.511309524,0.825892857
417,8040,사조동아원,0.457859175,0.51461794,0.580097087,0.825892857
651,230,일동홀딩스,0.657349896,0.515396825,0.728703704,0.824324324
541,4920,씨아이테크,0.492926284,0.488704319,0.651515152,0.821428571
324,8970,동양철관,0.533705962,0.500790639,0.577956989,0.816964286
119,5940,NH투자증권,0.625124875,0.549084249,0.565789474,0.813636364
767,1020,페이퍼코리아,0.522338049,0.495719178,0.560810811,0.8125
864,9835,한화솔루션우,0.587486157,0.533691756,0.495580808,0.811320755
411,5030,부산주공,0.425252525,0.413821138,0.481818182,0.809090909
585,670,영풍,0.513787375,0.565384615,0.526260504,0.800925926
221,24110,기업은행,0.613306983,0.552224371,0.571980676,0.799107143
620,225,유유제약1우,0.454945055,0.442687747,0.467650104,0.793577982
317,28100,동아지질,0.512987013,0.523650794,0.57251462,0.788288288
421,1470,삼부토건,0.541208791,0.518081761,0.646153846,0.785714286
629,25820,이구산업,0.481060606,0.491981132,0.485561056,0.783783784
626,3465,유화증권우,0.613910422,0.557192982,0.594086022,0.772229381
230,3925,남양유업우,0.45,0.50581761,0.768181818,0.763392857
601,49800,우진플라임,0.544871795,0.533388704,0.768151815,0.753115265
215,11785,금호석유우,0.535099053,0.558321479,0.753115265,0.753115265
209,14285,금강공업우,0.516420361,0.563508772,0.583091787,0.749326146
355,330590,롯데리츠,0.56131019,0.514566396,0.65576324,0.74376947
826,20000,한섬,0.524586939,0.493144133,0.529251701,0.735175202
527,1725,신영증권우,0.697058824,0.611742424,0.687850467,0.731391586
763,4720,팜젠사이언스,0.556479556,0.544766709,0.71657754,0.722619048
588,12160,영흥,0.505334282,0.501369863,0.555825243,0.710185185
288,1440,대한전선,0.586132178,0.481792717,0.597985348,0.705
67,96760,JW홀딩스,0.592638691,0.554967949,0.621778351,0.700925926
196,9290,광동제약,0.487889984,0.482048748,0.555769231,0.700688073
789,152550,한국ANKOR유전,0.756916996,0.564102564,0.564102564,0.697368421
842,18880,한온시스템,0.604016064,0.506377551,0.534057971,0.691513761
316,170900,동아에스티,0.552272727,0.547619048,0.496778351,0.691513761
625,3460,유화증권,0.529468599,0.58495671,0.761111111,0.687878788
177,37270,YG PLUS,0.520398482,0.531210593,0.673646907,0.686926606
770,22100,포스코DX,0.562774639,0.485926629,0.575438596,0.686881188
831,10420,한솔PNS,0.536472603,0.537339744,0.642446634,0.685714286
172,84870,TBH글로벌,0.432392027,0.487345879,0.547991968,0.684951456
327,18500,동원금속,0.524144869,0.533910534,0.513528139,0.68233945
246,58730,다스코,0.5056899,0.513787375,0.651153846,0.681930693
247,30210,다올투자증권,0.549242424,0.514566396,0.545910494,0.681153846
707,1620,케이비아이동국실업,0.479208585,0.468364698,0.550970874,0.677752294
263,84690,대상홀딩스,0.528462998,0.600720551,0.639319552,0.675724638
714,7815,코리아써우,0.503546099,0.515180266,0.613664216,0.674963925
509,17550,수산중공업,0.491113347,0.421077806,0.550549451,0.673165138
647,34590,인천도시가스,0.535227273,0.550612508,0.584951456,0.669781931
397,377740,바이오노트,0.666666667,0.666666667,0.666666667,0.666666667
690,88790,진도,0.451039571,0.438679245,0.524090909,0.66547619
419,14710,사조씨푸드,0.542465753,0.518757881,0.321100917,0.665151515
104,79550,LIG넥스원,0.565939279,0.572570533,0.493733062,0.662605042
877,86280,현대글로비스,0.492532006,0.553278689,0.516544118,0.65940367
208,14280,금강공업,0.532361309,0.573040752,0.797297297,0.65902965
701,650,천일고속,0.574670825,0.516139657,0.627692308,0.658333333
604,5820,원림,0.474621212,0.406926407,0.597567288,0.655952381
189,9140,경인전자,0.528667163,0.482922201,0.599893162,0.65576324
741,39490,키움증권,0.514102564,0.575031526,0.510679612,0.655448718
305,2150,도화엔지니어링,0.532948622,0.526645768,0.506410256,0.655357143
379,9680,모토닉,0.543223443,0.609302326,0.452040816,0.653638814
146,6125,SK디스커버리우,0.466168371,0.575320513,0.569047619,0.651515152
330,14820,동원시스템즈,0.515719697,0.54527163,0.57967033,0.651515152
613,77500,유니퀘스트,0.428021978,0.567176871,0.48046398,0.647277228
98,11070,LG이노텍,0.548977183,0.483541234,0.496488764,0.646969697
664,226320,잇츠한불,0.582843137,0.555660974,0.625612745,0.646153846
691,3780,진양산업,0.515939016,0.506446541,0.582993197,0.642424242
837,25750,한솔홈데코,0.524385704,0.544207317,0.588304094,0.642357642
757,363280,티와이홀딩스,0.577481273,0.497916667,0.625336927,0.637962963
70,2380,KCC,0.528759529,0.446078431,0.614583333,0.637878788
134,1380,SG글로벌,0.599932931,0.556862745,0.561827957,0.637878788
737,5740,크라운해태홀딩스,0.602610442,0.612878788,0.58041958,0.636217949
508,126720,수산인더스트리,0.446969697,0.561403509,0.616666667,0.634615385
