날짜,시가,고가,저가,종가,"MA_종가,단순,5","MA_종가,단순,20","MA_종가,단순,60","MA_종가,단순,120","MA_종가,단순,240",프로그램순매수(종목),누적
2024-03-26,79700,80100,79200,79900,78640,74585,74445,72591,70715,5435725,-391057096
2024-03-25,79600,79800,77800,78200,77220,74230,74390,72503,70645,91637,-396492821
2024-03-22,79600,79900,77800,78900,76140,73965,74352,72425,70586,736074,-396584458
2024-03-21,79200,79300,77700,79300,74820,73675,74287,72342,70521,11191715,-397320532
2024-03-20,73700,77200,73400,76900,73820,73360,74212,72261,70452,6645834,-408512247
2024-03-19,72300,73000,71700,72800,73260,73180,74153,72202,70393,-1149514,-415158081
2024-03-18,72600,73000,72500,72800,73360,73230,74155,72180,70349,-1234991,-414008567
2024-03-15,73400,73700,72300,72300,73280,73230,74163,72173,70308,-8433735,-412773576
2024-03-14,74400,74500,73600,74300,73480,73265,74177,72168,70266,3188457,-404339841
2024-03-13,73700,74100,73500,74100,73060,73250,74152,72140,70211,305813,-407528298
2024-03-12,72600,73500,72100,73300,72820,73305,74142,72110,70154,-2162372,-407834111
2024-03-11,72900,73100,72300,72400,72900,73345,74137,72089,70099,-2618565,-405671739
2024-03-08,72800,73400,72600,73300,73400,73475,74140,72072,70053,1666492,-403053174
2024-03-07,73100,73300,72200,72200,73420,73530,74110,72048,69997,-4762980,-404719666
2024-03-06,73200,73500,72700,72900,73620,73635,74102,72029,69945,-5810703,-399956686
2024-03-05,74600,74800,73700,73700,73620,73750,74073,72011,69888,-573908,-394145983
2024-03-04,74300,75000,74000,74900,73440,73745,74055,71990,69830,1567217,-393572075
2024-02-29,72600,73400,72000,73400,73040,73635,74007,71958,69766,107595,-395139292
2024-02-28,72900,73900,72800,73200,72980,73680,73997,71903,69711,458817,-395246887
2024-02-27,73100,73400,72700,72900,72940,73740,73988,71853,69657,590680,-395705704
2024-02-26,72300,73200,72200,72800,73020,73765,73985,71802,69606,802316,-396296384
2024-02-23,73600,74200,72900,72900,73220,73830,73960,71752,69559,-1419231,-397098700
2024-02-22,73800,73900,72700,73100,73200,73885,73940,71703,69508,296749,-395679469
2024-02-21,73400,73700,72900,73000,73180,73990,73928,71663,69456,144848,-395976218
2024-02-20,73700,73700,72800,73300,73380,74095,73925,71613,69405,-1392009,-396121066
2024-02-19,72800,73900,72800,73800,73760,74165,73917,71558,69351,1162068,-394729057
2024-02-16,73300,73400,72500,72800,73820,74060,73898,71498,69299,-870890,-395891125
2024-02-15,74200,74400,73000,73000,74260,73970,73893,71443,69254,-1523693,-395020235
2024-02-14,73700,74300,73700,74000,74540,73950,73890,71391,69205,-3305177,-393496542
2024-02-13,74800,75200,74400,75200,74600,73945,73860,71333,69155,2369253,-390191365
2024-02-08,75000,75200,73600,74100,74600,73840,73787,71267,69103,-2370398,-392560618
2024-02-07,74600,75500,74300,75000,74500,73795,73725,71212,69055,1769163,-390190220
2024-02-06,74300,74700,73300,74400,74040,73725,73650,71153,69008,-157595,-391959383
2024-02-05,74200,74800,73500,74300,74020,73740,73582,71108,68957,-2125587,-391801788
2024-02-02,74000,75200,73700,75200,74040,73850,73508,71052,68911,2268879,-389676201
2024-02-01,73000,74200,72900,73600,73680,73920,73437,70996,68860,4011158,-391945080
2024-01-31,73400,74000,72500,72700,73780,74070,73392,70952,68815,-262809,-395956238
