,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
0,종가_minus_SMA_60,0.058653050791459625,0.004485626971918182,1.1580852931125767e-08,0.3293467279704245,0.036224087865544166
1,EMA_60_등락률,0.057874696095935194,0.005046544150119451,0.0,0.21512893264283672,0.030406310764061435
2,SMA_20_minus_SMA_60,0.05761299455267856,0.005248916580797729,0.0,0.13424568985854335,0.029631122429446027
3,EMA_20_등락률,0.05470934573074941,0.008038494434718981,0.0,0.13200217844764184,0.02907560598799916
4,SMA_5_minus_SMA_60,0.05337963578706652,0.009711485203998858,0.0,0.11964811231353512,0.027344184442771074
5,종가_minus_EMA_60,0.0502719713330231,0.01488391618756762,0.0,0.11818706786993105,0.027300630190231736
6,MACD_Signal,0.04950815366203777,0.016478296648560452,0.0,0.11158945997001446,0.027153020141874946
7,EMA_120_등락률,0.04914615260567836,0.017284958690874312,0.0,0.10143035124578259,0.026676559264131174
8,SMA_60_등락률,0.04840804950496102,0.019037579154130794,0.0,0.09310382978818055,0.026553611724461974
9,EMA_5_minus_EMA_60,0.04789497779492918,0.02034556424205806,0.0,0.07850690328381171,0.025889268790207528
10,MACD,0.04675601911412667,0.023532084416304642,0.0,0.07657962678709329,0.0241546450573479
11,SMA_5_등락률,0.04617880583039571,0.025306226961009398,0.0,0.0737458564193254,0.023726895223219444
12,EMA_20_minus_EMA_60,0.04600633509208917,0.025858301426451562,0.0,0.055150834417643985,0.023419655123281462
13,종가_minus_EMA_120,0.04398414021658797,0.033147643762938626,0.0,0.050716707952574325,0.022165233858085043
14,고가_대비_종가_등락률,0.04395399888665131,0.03326839659288691,0.0,0.040685646858783286,0.021879928416482508
15,종가_minus_SMA_120,0.04291360789451243,0.037673199380744635,0.0,0.032518020774148226,0.02088882636354311
16,EMA_5_등락률,0.042597447148960584,0.03910631175420068,0.0,0.03251079771113563,0.020711262466110315
17,EMA_5_minus_EMA_120,0.04068967737658542,0.04877061159345729,0.0,0.03066193113709481,0.020607083483126468
18,종가_minus_EMA_20,0.04011520130103038,0.052046704111140055,0.0,0.024778762945406374,0.02019496391179097
19,EMA_5_minus_EMA_20,0.03900331881835332,0.058910849100081375,0.0,0.01944771608633289,0.01886233044282837
20,거래량,0.03878112132113356,0.060368945166754805,0.0,0.016851237807713915,0.01853887518858442
21,EMA_240_등락률,0.038743922338778575,0.06061594839368829,0.0,0.01563197418186668,0.018335807908694924
22,SMA_5_minus_SMA_120,0.03769609476352619,0.06792473241418323,0.0,0.014309550753741185,0.016821469052041713
23,SMA_20_등락률,0.03693619000976522,0.07366627070997944,0.0,0.013871212791779275,0.016126638606621342
24,SMA_120_등락률,0.03524235414664517,0.08789600181056645,0.0,0.012544135679320334,0.016010052312372836
25,SMA_20_minus_SMA_120,0.03467185115252019,0.09316002477239954,0.0,0.012504672909713577,0.015499381533235986
26,종가_minus_EMA_240,0.03457942632479553,0.09403615189886029,0.0,0.011009806130732214,0.01456457157881171
27,EMA_20_minus_EMA_120,0.03443215709034353,0.0954457978488957,0.0,0.01014890382248268,0.014258347433803793
28,RSI_등락률,0.032876993472204755,0.1113855860142516,0.0,0.01003106109556029,0.014024838559401058
29,시가,0.03252914637058817,0.11522335312378652,0.0,0.009875223890432494,0.012853666124026834
30,종가,0.03236477914860054,0.11707259582196633,0.0,0.009384572835926974,0.012011803319296332
31,저가,0.03180400233450812,0.12355740466723765,0.0,0.007784921719354354,0.010532949161970506
32,EMA_5_minus_EMA_240,0.03137350718207798,0.12872314799340875,0.0,0.0074666649720711575,0.010445283791373194
33,종가_minus_SMA_240,0.03127871304692953,0.12988285394748536,0.0,0.006976013917210366,0.010415941681387568
34,고가,0.03126118435228669,0.1300981842242713,0.0,0.006702333985117548,0.010298641729247947
35,종가_minus_SMA_5,0.031197267656398606,0.13088571160342446,0.0,0.006349996313074868,0.010058366450553977
36,EMA_5,0.030233218066926033,0.14321691424652216,0.0,0.005388914603553729,0.009894662764674274
37,종가_minus_SMA_20,0.030075713340158603,0.1453135769732037,0.0,0.004774011819108637,0.00962626391929324
38,저가_대비_종가_등락률,0.02962332256446288,0.15146635154583304,0.0,0.0047620543427644435,0.009456657770029143
39,SMA_5,0.02947307934454988,0.153553021199222,0.0,0.004346564899378791,0.009294167655494663
40,종가_minus_EMA_5,0.029154634588347418,0.15804789394255433,0.0,0.00430710212788199,0.009167466708539986
41,EMA_short,0.02803130956994417,0.17470043415689998,0.0,0.0031595628437344203,0.009147971890746866
42,RSI_minus_Signal_Binary,0.027622569407154435,0.18107391020573568,0.0,0.003120100073545018,0.009062078476977627
43,SMA_5_minus_SMA_240,0.027184611965571266,0.188092687263938,0.0,0.002668911788191508,0.008979325834033677
44,MACD_Signal_등락률,0.02691411690649239,0.19252674778244813,0.0,0.002629449018172636,0.008891950585002462
45,SMA_20,0.026245556913312727,0.20381450803033194,0.0,0.0026256384551288647,0.00873053482711919
46,EMA_20,0.025754188016436298,0.2124123117106589,0.0,0.002618873322148829,0.008599901498500108
47,EMA_20_minus_EMA_240,0.02473738197330573,0.23102885766231593,0.0,0.002567104422155353,0.0079519700499553
48,EMA_long,0.024167587065972246,0.2419539756530111,0.0,0.0025082691544184854,0.007905525372595118
49,MACD_Binary,0.023391011349174595,0.2574213332245258,0.0,0.0023952318554165686,0.007484029518795809
50,SMA_20_minus_SMA_240,0.023330005627608934,0.2586648168017166,0.0,0.0023557690862503478,0.007457857514850781
51,SMA_240_등락률,0.022856965621876286,0.2684480269493366,0.0,0.002212833288041338,0.007188453523237782
52,시가_대비_고가_등락률,0.022823488382637945,0.2691498862213543,0.0,0.002094268841688063,0.007156188373406468
53,시가_대비_저가_등락률,0.021317683109580203,0.3020252075414496,0.0,0.0020852157778179503,0.007122494521765539
54,SMA_5_minus_SMA_20,0.020738901154322663,0.31534382463877336,0.0,0.001798832975850928,0.006738279956580579
55,EMA_60_minus_EMA_120,0.019029330766564493,0.35690018635256415,0.0,0.0017399977052718896,0.006486548760403306
56,EMA_60,0.0189772858835643,0.35821711945663015,0.0,0.0016882288070974028,0.006474458994314854
57,EMA_120,0.01653782084908046,0.4233366894110824,0.0,0.001681463673548933,0.0064679158115834336
58,등락률,0.016369061015439085,0.42808400038896066,0.0,0.0015478778676651928,0.006447596171469838
59,RSI_Signal,0.016240816439782365,0.4317122104444886,0.0,0.0011146193414788286,0.006308880168384175
60,시가_등락률,0.016237966386272146,0.4317930440288047,0.0,0.0007643309866125492,0.006235327734834932
61,EMA_240,0.016181973190357017,0.43338290695995985,0.0,0.0005633105375641989,0.006018883167953856
62,MACD_등락률,0.01566092714372364,0.44833877890807083,0.0,0.0004906510547328935,0.005901979051770054
63,고가_등락률,0.01439648969333079,0.4858240641955801,0.0,0.000412805168025443,0.005768238030526681
64,SMA_120,0.01437114174481494,0.4865924628766759,0.0,0.0004060400341359127,0.005675024980917957
