,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
0,EMA_20_등락률,0.07219788763194099,0.0027512658511653775,3.649181915635534e-05,0.21629511797757872,0.030590965437909668
1,EMA_5_등락률,0.06755244545786973,0.005092439973583765,1.4872877570489589e-05,0.1724424492750238,0.03027057824811194
2,SMA_5_등락률,0.06037314256661318,0.012319635370487586,1.2294276732551658e-05,0.16007132905843502,0.029051293029317873
3,종가_minus_EMA_20,0.058547361678711995,0.015222932799463013,1.1327944316725246e-08,0.1570989732853012,0.029004550485872128
4,RSI_Signal_등락률,0.05745277570145559,0.017238519059925628,0.0,0.15024902141735397,0.028225083075156115
5,EMA_60_등락률,0.056004461856777356,0.020262665247564295,0.0,0.13626493712482285,0.028179087836648065
6,종가_minus_SMA_60,0.05302871410321366,0.027954709072879565,0.0,0.12084069795599639,0.027158963347760322
7,RSI_minus_Signal_Binary,0.052843051822725536,0.028508625760765505,0.0,0.1120263069497891,0.026289916644176365
8,종가_minus_SMA_20,0.0527752270838421,0.028713320942007382,0.0,0.10365120154288521,0.025561979475833753
9,종가_minus_EMA_5,0.05252632842064231,0.029475368307511296,0.0,0.10056595112373601,0.025506131532180894
10,SMA_20_등락률,0.05205315547823833,0.03097207945873364,0.0,0.0818071850208471,0.024386684351905673
11,EMA_5_minus_EMA_20,0.05018415390752013,0.037537667515611974,0.0,0.07604405326149255,0.024148966974577114
12,고가_대비_종가_등락률,0.048936845747489875,0.04254896373164317,0.0,0.06469136299284275,0.02397567979212879
13,종가_minus_SMA_5,0.0482342851347922,0.045612695887586985,0.0,0.056562747965764604,0.023744960066757123
14,RSI,0.04781212700585807,0.04754146255234753,0.0,0.05559795433188039,0.022807787345281126
15,종가_minus_EMA_60,0.04381298764632624,0.06944031625448376,0.0,0.052714067078315274,0.022590746829487866
16,SMA_5_minus_SMA_60,0.04110615316365456,0.08851586029836898,0.0,0.0357774143255849,0.021145754257750206
17,MACD,0.039541614265621396,0.10133851165958228,0.0,0.03477810562508621,0.020939119758342645
18,SMA_5_minus_SMA_20,0.038504189687911576,0.1106270468441663,0.0,0.02497665263903137,0.0199059494842828
19,SMA_240,0.03594598537234997,0.13640482600127157,0.0,0.024118290504893558,0.019574857397860787
20,시가_등락률,0.034596271274090616,0.1517555426591588,0.0,0.014203533041836636,0.017430260152867864
21,EMA_240,0.03357821667716983,0.1641784718658713,0.0,0.014039018591461172,0.017247612072119306
22,등락률,0.03341143936192121,0.16628456279972462,0.0,0.013566753024083555,0.017174066778389438
23,EMA_5_minus_EMA_60,0.03338920060385215,0.16656692435050424,0.0,0.013376923500914017,0.014909039715867916
24,SMA_60_minus_SMA_240,0.03258031979413756,0.1770835409305128,0.0,0.011278431090555152,0.014318995832999283
25,SMA_120_minus_SMA_240,0.03250261579771644,0.17811925574378187,0.0,0.010343195993784526,0.013981232064473962
26,RSI_Signal,0.03224903029178195,0.18153062835430414,0.0,0.00851751150546498,0.013425199696807675
27,EMA_120_minus_EMA_240,0.03113425976756029,0.1971027441626624,0.0,0.007612520705122527,0.0132792532577874
28,저가_등락률,0.030015394580558952,0.21369260829101128,0.0,0.004463513314476586,0.01323949700086832
29,EMA_120_등락률,0.02937113638831708,0.2236903215671192,0.0,0.004049261151327421,0.013125154395243468
30,MACD_Binary,0.028912491274164072,0.23100844879985089,0.0,0.0037837505379911818,0.01312031746090805
31,MACD_Signal,0.028475222750916192,0.238142259836117,0.0,0.00328292294301491,0.012936480070112433
32,거래량_등락률,0.02808081597350066,0.24470887925175533,0.0,0.0031078299548426003,0.01289496011292893
33,EMA_60_minus_EMA_240,0.02777513376341676,0.2498848917320515,0.0,0.0029455407852765347,0.011830271404940999
34,SMA_20_minus_SMA_60,0.027693507238304126,0.2512798801147594,0.0,0.002803309287628508,0.011522417835296474
35,종가,0.026429010546522778,0.27358510150019366,0.0,0.001819790770639429,0.011006683430565867
36,MACD_Signal_등락률,0.02610703834632615,0.27947422964036517,0.0,0.0016602040268480778,0.01083723687735685
37,저가,0.024937051497854107,0.301595339854201,0.0,0.0015179725278358092,0.009894753676742942
38,SMA_60_minus_SMA_120,0.024849865771381763,0.30328916596079025,0.0,0.0013556833637267118,0.009707850345583384
39,SMA_60_등락률,0.024627288339100217,0.30764195322948884,0.0,0.001180590379590285,0.009679631324364293
40,저가_대비_종가_등락률,0.023866051631742848,0.32283972235467895,0.0,0.0009804412502489868,0.009541513793181295
41,고가,0.023722503455903078,0.3257595100274242,0.0,0.0008382097526009602,0.00927451331684398
42,EMA_5,0.02226242714632644,0.3564280412393417,0.0,0.0006797627784180804,0.008766013203328912
43,SMA_5,0.021586805201730973,0.37121524041592635,0.0,0.0006759205825801473,0.008539346622367274
44,종가_minus_SMA_120,0.021356828757111635,0.3763342344808226,0.0,0.0006675735112366965,0.00844070273681235
45,종가_minus_EMA_120,0.02074761083337688,0.3901036497285211,0.0,0.0006495477882708656,0.008437119027103096
46,EMA_60_minus_EMA_120,0.020679664061683582,0.39165811096699554,0.0,0.0006268336210268899,0.008364473250993508
47,SMA_20_minus_SMA_240,0.01969796678559292,0.414533718453559,0.0,0.0006196037911365693,0.008278808663772877
48,EMA_120,0.019575281233504122,0.4174470205864167,0.0,0.0006053191718820017,0.008040771040455986
49,EMA_short,0.018501762174866647,0.4434486807089235,0.0,0.000575271199522831,0.00791584304057023
50,시가_대비_종가_등락률,0.017758821438117987,0.4619720612150844,0.0,0.0005609865756923682,0.007805544947217553
51,시가_대비_고가_등락률,0.017654070674559846,0.4646180360457868,0.0,0.0005537567471947114,0.0077858704344486275
52,EMA_20_minus_EMA_240,0.017020932777293222,0.4807889501412913,0.0,0.0005310425856350776,0.0073886611728832185
53,SMA_120,0.01692262984851974,0.4833268826764071,0.0,0.0005130168506184418,0.007039169330759615
54,저가_대비_고가_등락률,0.016290576588048906,0.49981708644522005,0.0,0.0005008275937541384,0.006805650601849055
55,EMA_20,0.016246099505267966,0.5009886212357062,0.0,0.00047961365589799243,0.006690344606415126
56,거래량,0.01602852955126504,0.5067403412172511,0.0,0.0003564240123523632,0.006563910704268291
57,EMA_20_minus_EMA_60,0.015539903320986986,0.5197830664654284,0.0,0.00033738215461198706,0.00653470758928823
58,SMA_20,0.015358417280775293,0.5246711017774299,0.0,0.00030452066766883945,0.006300820507578582
59,EMA_long,0.015138089848076651,0.5306367183760314,0.0,0.00017509299027551606,0.00615338096805025
60,EMA_60,0.01402647533831371,0.5612502323669696,0.0,0.00016451444616905064,0.006092131851864386
61,RSI_등락률,0.01369842165522623,0.5704451607671898,0.0,0.00016228916410909733,0.0059115857557316374
62,SMA_5_minus_SMA_120,0.012013869889339196,0.6187550221202709,0.0,0.0001422314986712081,0.005813681811373194
63,EMA_5_minus_EMA_120,0.011660209618418982,0.6291199303354515,0.0,0.00010658694145604386,0.005760479218395672
64,SMA_5_minus_SMA_240,0.010375949949086286,0.6673637983276943,0.0,8.85612030572247e-05,0.005662893938912582
65,SMA_240_등락률,0.009825891086496388,0.6840194202751375,0.0,6.584704851775314e-05,0.005420939784288938
