날짜,시가,고가,저가,target1,target2,종가,거래량,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,종가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목)
2014-03-21,37400,38750,37400,0.00129198966,-1,38700,4027721,-243.1440322,-131.6147484,48.32214765,38.92424757,37140,38227.5,37807.5,35659.16667,32448.125,37601.20794,37932.46747,37402.09661,35720.21393,33102.64326,-1087.5,-667.5,1480.833333,4691.875,420,2568.333333,5779.375,2148.333333,5359.375,3211.041667,-331.2595205,199.1113345,1880.994017,4498.564687,530.370855,2212.253538,4829.824207,1681.882683,4299.453352,2617.570669,1.35501355,3.609625668,1.907356948,4.736129905,104.7918407,-32.64704872,26.87907881,39.07349812,6.423758394,0.405515004,-0.0784159969,0.150107062,0.209594511,0.129218901,1.482777762,0.213446035,0.117770243,0.140398797,0.141699189,0,0,1,3.475935829,0,3.609625668,3.475935829,3.609625668,-0.129032258,1560,472.5,892.5,3040.833333,6251.875,1098.792055,767.5325349,1297.90339,2979.786073,5597.356742,"39,340","-24,170","19,570","-26,900","1,100","29,610","381,658","102,380","43,157","589,915","909,909","-1,480,524","741,023"
2014-03-24,38750,38800,38000,0.00262123198,1,38150,2911594,-191.910649,-143.6739286,45,40.13939805,37430,38192.5,37826.66667,35724.16667,32488.75,37784.13863,37953.18485,37426.61803,35760.37568,33144.53004,-762.5,-396.6666667,1705.833333,4941.25,365.8333333,2468.333333,5703.75,2102.5,5337.916667,3235.416667,-169.0462196,357.5205971,2023.762949,4639.608594,526.5668167,2192.809169,4808.654813,1666.242352,4282.087997,2615.845645,3.609625668,0.129032258,1.604278075,-1.42118863,-27.71112994,-21.07120735,9.162483883,-6.875,3.121834237,0.780829295,-0.0915571251,0.0506954088,0.182281321,0.125199838,0.48650215,0.0546164952,0.0655616258,0.112434246,0.126536052,0,0,1,-1.548387097,-1.935483871,0.129032258,0.394736842,2.105263158,-1.675257732,720,-42.5,323.3333333,2425.833333,5661.25,365.8613703,196.8151507,723.3819673,2389.624319,5005.469964,"6,400","-54,130","-2,030","33,420",0,"-12,391","-63,111","-42,581","78,855","-1,438","-19,363","73,671","-1,329,236"
2014-03-25,38250,38300,37500,0.0132978723,1,37600,2484259,-193.4581619,-153.6307752,38.50931677,39.8133818,37680,38140,37840.83333,35784.58333,32525,37722.75909,37919.5482,37432.30269,35790.78269,33181.50489,-460,-160.8333333,1895.416667,5155,299.1666667,2355.416667,5615,2056.25,5315.833333,3259.583333,-196.7891105,290.4563992,1931.976392,4541.254196,487.2455097,2128.765503,4738.043307,1641.519993,4250.797797,2609.277804,-1.290322581,-1.288659794,-1.315789474,-1.441677588,-14.67701197,0.806371566,6.930169428,-14.42374051,-0.812210128,0.667913438,-0.137461543,0.0374515333,0.169119877,0.111577084,-0.162447909,-0.0886266922,0.0151888014,0.0850299052,0.11155643,0,0,0,-1.699346405,-1.960784314,0.130718954,0.266666667,2.133333333,-1.82767624,-80,-540,-240.8333333,1815.416667,5075,-122.7590865,-319.548197,167.6973127,1809.217306,4418.49511,"4,390",-330,"-1,340","-54,260","2,440","-43,163","98,086","-34,206","88,037","59,984","-417,454","361,670","211,102"
2014-03-26,38100,38400,37650,-0.00911458333,-1,38400,2520441,-128.6482856,-148.6342773,45.88235294,41.02717603,37960,38097.5,37880.83333,35852.5,32563.33333,37948.50606,37965.30551,37464.03047,35833.91025,33224.8119,-137.5,79.16666667,2107.5,5396.666667,216.6666667,2245,5534.166667,2028.333333,5317.5,3289.166667,-16.79945394,484.4755896,2114.595805,4723.694154,501.2750435,2131.395259,4740.493608,1630.120215,4239.218564,2609.098349,-0.392156863,0.261096606,0.4,2.127659574,1.456450394,-33.50071959,-3.252276716,19.14611006,3.048709188,0.743099788,-0.111431568,0.105705917,0.189793091,0.117858058,0.598437062,0.120669461,0.0847604301,0.120499066,0.130515519,0,1,1,0.787401575,-1.181102362,0.787401575,1.992031873,1.992031873,0,440,302.5,519.1666667,2547.5,5836.666667,451.4939423,434.6944884,935.9695319,2566.089747,5175.188096,"-8,714","-1,040",-910,"-23,470",0,-100,"22,286","87,426","11,120","87,638","192,670","-277,618","886,096"
2014-03-27,38050,38400,37550,0.00397877984,1,37700,2539853,-132.2456954,-145.3565609,45.0867052,41.83908186,38110,38007.5,37898.33333,35917.08333,32601.45833,37865.67071,37940.03832,37471.76717,35864.75471,33261.95039,102.5,211.6666667,2192.916667,5508.541667,109.1666667,2090.416667,5406.041667,1981.25,5296.875,3315.625,-74.36761491,393.9035311,2000.915994,4603.720311,468.271146,2075.283608,4678.087926,1607.012462,4209.81678,2602.804317,-0.131233596,0,-0.26560425,-1.822916667,0.770182678,2.796313877,-2.205222397,-1.734104046,1.97894643,0.395152792,-0.236235973,0.0461975053,0.180136206,0.117079537,-0.218283567,-0.0665533735,0.0206510241,0.0860761731,0.111779385,0,1,1,-0.919842313,-1.314060447,0.919842313,0.399467377,2.263648469,-1.822916667,-410,-307.5,-198.3333333,1782.916667,5098.541667,-165.6707051,-240.03832,228.232826,1835.245288,4438.049606,"9,100","20,020","-31,340","56,270","-1,890","19,665","-50,662","-33,703","92,164","59,604","-999,410","918,776","-1,524,927"
2014-03-28,37850,37900,37000,-0.00134952767,-1,37050,3497637,-185.4089573,-153.3670402,46.15384615,42.70203472,37780,37922.5,37902.5,35966.25,32639.58333,37593.78047,37855.27277,37457.93874,35884.34554,33293.38649,-142.5,-122.5,1813.75,5140.416667,20,1956.25,5282.916667,1936.25,5262.916667,3326.666667,-261.4922957,135.841728,1709.434927,4300.39398,397.3340236,1970.927223,4561.886275,1573.593199,4164.552252,2590.959052,-0.525624179,-1.302083333,-1.464713715,-1.724137931,37.71021394,40.20037229,5.510916902,2.366863905,2.062552093,-0.865914458,-0.223640071,0.0109943269,0.136889363,0.116942621,-0.718038873,-0.223419791,-0.0369036023,0.0546241885,0.0945106825,0,0,1,-2.113606341,-2.245706737,0.132100396,0.135135135,2.432432432,-2.242744063,-730,-872.5,-852.5,1083.75,4410.416667,-543.7804701,-805.2727657,-407.9387421,1165.654457,3756.61351,"-164,307","-68,700","-79,420","-110,540","-10,600","-3,818","-241,525","-11,365","-57,400","-678,975","-638,380","1,378,545","447,350"
2014-03-31,37000,37100,35550,0.0180555556,1,36000,8110589,-308.7088468,-184.4354015,40.74074074,42.30977592,37350,37775,37910,35995.83333,32673.75,37062.52031,37678.58012,37410.13747,35886.25719,33315.84801,-425,-560,1354.166667,4676.25,-135,1779.166667,5101.25,1914.166667,5236.25,3322.083333,-616.059808,-347.6171585,1176.263127,3746.6723,268.4426495,1792.322935,4362.732108,1523.880285,4094.289459,2570.409173,-2.245706737,-2.110817942,-3.918918919,-2.834008097,131.8876716,66.50158181,20.25752161,-11.72839506,-0.918595093,-1.138168343,-0.38895115,0.019787613,0.0822530381,0.104678624,-1.413159704,-0.466758344,-0.127613189,0.00532723641,0.0674654196,0,0,0,-2.702702703,-3.918918919,0.27027027,1.265822785,4.360056259,-2.964959569,-1350,-1775,-1910,4.166666667,3326.25,-1062.520313,-1678.580121,-1410.137472,113.7428133,2684.151987,"-40,016","-109,260","-167,450","69,310","-1,390","-6,259","-351,547","-222,938","159,516","-560,774","-1,397,319","2,060,453","471,572"
2014-04-01,36650,37100,36600,0.0121621622,1,37000,4963237,-322.021195,-211.9525602,48.01980198,43.45178113,37230,37677.5,37921.66667,36030,32711.45833,37041.68021,37613.95344,37396.69034,35904.66616,33346.42189,-447.5,-691.6666667,1200,4518.541667,-244.1666667,1647.5,4966.041667,1891.666667,5210.208333,3318.541667,-572.2732342,-355.0101327,1137.01405,3695.25832,217.2631015,1709.287284,4267.531554,1492.024183,4050.268453,2558.24427,-0.945945946,0,2.953586498,2.777777778,-38.80546777,4.312266499,14.91967294,17.86678668,2.699152114,-0.321285141,-0.258107214,0.0307746417,0.0949183933,0.115408649,-0.0562295934,-0.171521002,-0.0359451505,0.0512981112,0.0917697649,0,0,1,0.954979536,-0.136425648,1.227830832,1.092896175,1.366120219,-0.269541779,-230,-677.5,-921.6666667,970,4288.541667,-41.68020892,-613.9534431,-396.6903416,1095.333841,3653.578111,"71,170","-22,830","-26,255","-58,820","16,170","47,825","-120,664","154,024","63,796","147,246","804,308","-951,444","371,986"
2014-04-02,37450,37700,36800,0.00674763833,1,37050,3128863,-324.7927362,-234.5205954,44.73684211,43.70879333,36960,37557.5,37911.66667,36065.83333,32745,37044.45347,37560.24359,37385.32345,35923.5973,33377.15698,-597.5,-951.6666667,894.1666667,4215,-354.1666667,1491.666667,4812.5,1845.833333,5166.666667,3320.833333,-515.7901188,-340.8699726,1120.856176,3667.296496,174.9201462,1636.646295,4183.086615,1461.726148,4008.166468,2546.44032,2.182810368,1.617250674,0.546448087,0.135135135,-36.95922641,0.860670436,10.64768228,-6.836679327,0.591488283,-0.725221595,-0.318492469,-0.026370149,0.0994541586,0.102537974,0.00748687338,-0.14279236,-0.0303954611,0.0527261214,0.0921690734,0,0,1,-1.068090788,-1.73564753,0.667556742,0.679347826,2.445652174,-1.724137931,90,-507.5,-861.6666667,984.1666667,4305,5.546527387,-510.2435914,-335.3234452,1126.402703,3672.843023,"-6,120","-5,550","-33,510","276,286",550,"7,680","-17,585","46,122","48,358","321,781","-337,040","27,169","-910,019"
2014-04-03,37300,37350,36500,0.00547195622,1,36550,2239712,-363.1488698,-260.2462503,42.92929293,43.55289325,36730,37430,37890.83333,36090.41667,32777.29167,36879.63565,37464.02992,37357.93579,35933.95106,33403.48762,-700,-1160.833333,639.5833333,3952.708333,-460.8333333,1339.583333,4652.708333,1800.416667,5113.541667,3313.125,-584.3942676,-478.3001428,945.684588,3476.148024,106.0941248,1530.078856,4060.542292,1423.984731,3954.448167,2530.463436,-0.400534045,-0.928381963,-0.815217391,-1.349527665,-28.41770317,11.80941854,10.9694651,-4.04040404,-0.356678984,-0.622294372,-0.339479465,-0.0549523014,0.0681623882,0.0986155647,-0.444919033,-0.256158284,-0.0732577691,0.0288216227,0.0788882274,0,0,0,-2.010723861,-2.144772118,0.134048257,0.136986301,2.328767123,-2.141900937,-180,-880,-1340.833333,459.5833333,3772.708333,-329.6356484,-914.029916,-807.9357913,616.0489396,3146.512376,"-11,060","78,690","-28,680","-251,860","-3,970","17,306","-208,262","-41,794","-34,333","-562,653","261,480","225,703","811,321"
