날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal,MA20,stddev,Upper_Band,Lower_Band,Lowest_Low,Highest_High,%K,%D,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240,[일]사모펀드_순매수,[일]기타법인_순매수,[일]국가지자체_순매수,[일]연기금 등_순매수,[일]기타금융_순매수,[일]은행_순매수,[일]투신_순매수,[일]보험_순매수,[일]금융투자_순매수,[일]기관_순매수,[일]외국인_순매수,[일]개인_순매수,[일]프로그램_순매수(종목)
2014-03-21,37400,38750,37400,38700,4027721,4.736129905,37733.52955,37976.67359,-243.1440391,-131.6147586,48.32214765,38.92424757,38227.5,957.7213912,40142.94278,36312.05722,36350,39600,72.30769231,36.72407195,37140,38227.5,37807.5,35659.16667,32448.125,37601.20794,37932.46747,37402.74941,35773.42742,33585.62718,-1087.5,-667.5,1480.833333,4691.875,420,2568.333333,5779.375,2148.333333,5359.375,3211.041667,-331.2595205,198.4585347,1827.780528,4015.580762,529.7180552,2159.040049,4346.840282,1629.321993,3817.122227,2187.800234,1.35501355,3.609625668,1.907356948,104.7918407,-32.6470482,26.87907517,39.07349812,6.423758394,0.405515004,-0.078415997,0.150107062,0.209594511,0.129218901,1.482777762,0.213446035,0.117708882,0.137682683,0.127592395,0,0,1,3.475935829,0,3.609625668,3.475935829,3.609625668,-0.129032258,1560,472.5,892.5,3040.833333,6251.875,1098.792055,767.5325349,1297.25059,2926.572583,5114.372817,"39,340","-24,170","19,570","-26,900","1,100","29,610","381,658","102,380","43,157","589,915","909,909","-1,480,524","741,023"
2014-03-24,38750,38800,38000,38150,2911594,-1.42118863,37797.60193,37989.51258,-191.9106554,-143.673938,45,40.13939805,38192.5,946.4997845,40085.49957,36299.50043,36350,39600,55.38461538,48.71794872,37430,38192.5,37826.66667,35724.16667,32488.75,37784.13863,37953.18485,37427.24943,35812.70961,33623.5058,-762.5,-396.6666667,1705.833333,4941.25,365.8333333,2468.333333,5703.75,2102.5,5337.916667,3235.416667,-169.0462196,356.8892005,1971.429022,4160.632834,525.9354201,2140.475241,4329.679054,1614.539821,3803.743634,2189.203812,3.609625668,0.129032258,1.604278075,-27.71112994,-21.07120696,9.1624826,-6.875,3.121834237,0.780829295,-0.091557125,0.050695409,0.182281321,0.125199838,0.48650215,0.054616495,0.065503258,0.109808297,0.11278221,0,0,1,-1.548387097,-1.935483871,0.129032258,0.394736842,2.105263158,-1.675257732,720,-42.5,323.3333333,2425.833333,5661.25,365.8613703,196.8151506,722.7505708,2337.290392,4526.494204,"6,400","-54,130","-2,030","33,420",0,"-12,391","-63,111","-42,581","78,855","-1,438","-19,363","73,671","-1,329,236"
2014-03-25,38250,38300,37500,37600,2484259,-1.441677588,37767.20163,37960.6598,-193.4581679,-153.630784,38.50931677,39.8133818,38140,948.9051863,40037.81037,36242.18963,36350,39450,40.32258065,56.00496278,37680,38140,37840.83333,35784.58333,32525,37722.75909,37919.5482,37432.91338,35842.2516,33656.50575,-460,-160.8333333,1895.416667,5155,299.1666667,2355.416667,5615,2056.25,5315.833333,3259.583333,-196.7891106,289.8457041,1880.507489,4066.253339,486.6348147,2077.296599,4263.04245,1590.661784,3776.407635,2185.745851,-1.290322581,-1.288659794,-1.315789474,-14.67701197,0.806371292,6.930168486,-14.42374051,-0.812210128,0.667913438,-0.137461543,0.037451533,0.169119877,0.111577084,-0.162447909,-0.088626692,0.015133234,0.08249024,0.098145482,0,0,0,-1.699346405,-1.960784314,0.130718954,0.266666667,2.133333333,-1.82767624,-80,-540,-240.8333333,1815.416667,5075,-122.7590865,-319.548197,167.0866176,1757.748402,3943.494253,"4,390",-330,"-1,340","-54,260","2,440","-43,163","98,086","-34,206","88,037","59,984","-417,454","361,670","211,102"
2014-03-26,38100,38400,37650,38400,2520441,2.127659574,37864.55522,37993.20352,-128.6482911,-148.6342854,45.88235294,41.02717603,38097.5,915.002876,39927.50575,36267.49425,36350,39350,68.33333333,54.68017645,37960,38097.5,37880.83333,35852.5,32563.33333,37948.50606,37965.30551,37464.62114,35884.52843,33695.87084,-137.5,79.16666667,2107.5,5396.666667,216.6666667,2245,5534.166667,2028.333333,5317.5,3289.166667,-16.79945395,483.8849173,2063.977627,4252.635213,500.6843713,2080.777081,4269.434667,1580.092709,3768.750295,2188.657586,-0.392156863,0.261096606,0.4,1.456450394,-33.50071879,-3.252276952,19.14611006,3.048709188,0.743099788,-0.111431568,0.105705917,0.189793091,0.117858058,0.598437062,0.120669461,0.084705557,0.117952504,0.116961332,0,1,1,0.787401575,-1.181102362,0.787401575,1.992031873,1.992031873,0,440,302.5,519.1666667,2547.5,5836.666667,451.4939423,434.6944884,935.3788597,2515.471569,4704.129155,"-8,714","-1,040",-910,"-23,470",0,-100,"22,286","87,426","11,120","87,638","192,670","-277,618","886,096"
2014-03-27,38050,38400,37550,37700,2539853,-1.822916667,37839.23904,37971.48474,-132.2457005,-145.3565684,45.0867052,41.83908186,38007.5,856.4423046,39720.38461,36294.61539,36350,38800,55.10204082,54.58598493,38110,38007.5,37898.33333,35917.08333,32601.45833,37865.67071,37940.03832,37472.33848,35914.53623,33729.10013,102.5,211.6666667,2192.916667,5508.541667,109.1666667,2090.416667,5406.041667,1981.25,5296.875,3315.625,-74.36761492,393.3322251,1951.13448,4136.570573,467.69984,2025.502094,4210.938187,1557.802254,3743.238347,2185.436093,-0.131233596,0,-0.26560425,0.770182678,2.796313441,-2.20522268,-1.734104046,1.97894643,0.395152792,-0.236235973,0.046197505,0.180136206,0.117079537,-0.218283567,-0.066553374,0.020599006,0.08362321,0.09861531,0,1,1,-0.919842313,-1.314060447,0.919842313,0.399467377,2.263648469,-1.822916667,-410,-307.5,-198.3333333,1782.916667,5098.541667,-165.6707051,-240.03832,227.66152,1785.463774,3970.899867,"9,100","20,020","-31,340","56,270","-1,890","19,665","-50,662","-33,703","92,164","59,604","-999,410","918,776","-1,524,927"
2014-03-28,37850,37900,37000,37050,3497637,-1.724137931,37717.81765,37903.22661,-185.4089621,-153.3670472,46.15384615,42.70203472,37922.5,863.2062326,39648.91247,36196.08753,36350,38800,28.57142857,50.66893424,37780,37922.5,37902.5,35966.25,32639.58333,37593.78047,37855.27277,37458.49132,35933.30422,33756.65947,-142.5,-122.5,1813.75,5140.416667,20,1956.25,5282.916667,1936.25,5262.916667,3326.666667,-261.4922957,135.2891533,1660.476248,3837.121003,396.781449,1921.968544,4098.613298,1525.187095,3701.831849,2176.644754,-0.525624179,-1.302083333,-1.464713715,37.71021394,40.20037046,5.510916236,2.366863905,2.062552093,-0.865914458,-0.223640071,0.010994327,0.136889363,0.116942621,-0.718038873,-0.223419791,-0.036953027,0.052257382,0.081707887,0,0,1,-2.113606341,-2.245706737,0.132100396,0.135135135,2.432432432,-2.242744063,-730,-872.5,-852.5,1083.75,4410.416667,-543.7804701,-805.2727657,-408.4913167,1116.695778,3293.340532,"-164,307","-68,700","-79,420","-110,540","-10,600","-3,818","-241,525","-11,365","-57,400","-678,975","-638,380","1,378,545","447,350"
2014-03-31,37000,37100,35550,36000,8110589,-2.834008097,37453.53801,37762.24686,-308.7088512,-184.435408,40.74074074,42.30977592,37775,928.0001134,39631.00023,35918.99977,35550,38800,13.84615385,32.50654108,37350,37775,37910,35995.83333,32673.75,37062.52031,37678.58012,37410.67193,35934.40663,33775.2764,-425,-560,1354.166667,4676.25,-135,1779.166667,5101.25,1914.166667,5236.25,3322.083333,-616.059808,-348.1516159,1128.113682,3287.243912,267.9081921,1744.17349,3903.30372,1476.265298,3635.395528,2159.13023,-2.245706737,-2.110817942,-3.918918919,131.8876716,66.50157993,20.25752036,-11.72839506,-0.918595093,-1.138168343,-0.38895115,0.019787613,0.082253038,0.104678624,-1.413159704,-0.466758344,-0.127659673,0.003067933,0.055150403,0,0,0,-2.702702703,-3.918918919,0.27027027,1.265822785,4.360056259,-2.964959569,-1350,-1775,-1910,4.166666667,3326.25,-1062.520313,-1678.580121,-1410.671929,65.59336859,2224.723599,"-40,016","-109,260","-167,450","69,310","-1,390","-6,259","-351,547","-222,938","159,516","-560,774","-1,397,319","2,060,453","471,572"
2014-04-01,36650,37100,36600,37000,4963237,2.777777778,37383.76293,37705.78413,-322.021199,-211.9525662,48.01980198,43.45178113,37677.5,900.0694418,39477.63888,35877.36112,35550,38800,44.61538462,29.01098901,37230,37677.5,37921.66667,36030,32711.45833,37041.68021,37613.95344,37397.20728,35952.01974,33802.03759,-447.5,-691.6666667,1200,4518.541667,-244.1666667,1647.5,4966.041667,1891.666667,5210.208333,3318.541667,-572.2732342,-355.5270669,1089.660464,3239.642616,216.7461673,1661.933698,3811.91585,1445.187531,3595.169683,2149.982152,-0.945945946,0,2.953586498,-38.80546777,4.312266333,14.91967216,17.86678668,2.699152114,-0.321285141,-0.258107214,0.030774642,0.094918393,0.115408649,-0.056229593,-0.171521002,-0.035991477,0.049014622,0.07923308,0,0,1,0.954979536,-0.136425648,1.227830832,1.092896175,1.366120219,-0.269541779,-230,-677.5,-921.6666667,970,4288.541667,-41.68020892,-613.9534432,-397.2072759,1047.980255,3197.962407,"71,170","-22,830","-26,255","-58,820","16,170","47,825","-120,664","154,024","63,796","147,246","804,308","-951,444","371,986"
2014-04-02,37450,37700,36800,37050,3128863,0.135135135,37332.41479,37657.20753,-324.7927399,-234.5206009,44.73684211,43.70879333,37557.5,806.4338326,39170.36767,35944.63233,35550,38800,46.15384615,34.87179487,36960,37557.5,37911.66667,36065.83333,32745,37044.45347,37560.24359,37385.82343,35970.16818,33828.99164,-597.5,-951.6666667,894.1666667,4215,-354.1666667,1491.666667,4812.5,1845.833333,5166.666667,3320.833333,-515.7901188,-341.3699581,1074.285294,3215.461835,174.4201607,1590.075413,3731.251953,1415.655252,3556.831793,2141.176541,2.182810368,1.617250674,0.546448087,-36.95922641,0.860670332,10.64768177,-6.836679327,0.591488283,-0.725221595,-0.318492469,-0.026370149,0.099454159,0.102537974,0.007486873,-0.14279236,-0.030440362,0.050479595,0.079740888,0,0,1,-1.068090788,-1.73564753,0.667556742,0.679347826,2.445652174,-1.724137931,90,-507.5,-861.6666667,984.1666667,4305,5.546527387,-510.2435914,-335.8234308,1079.831821,3221.008362,"-6,120","-5,550","-33,510","276,286",550,"7,680","-17,585","46,122","48,358","321,781","-337,040","27,169","-910,019"
2014-04-03,37300,37350,36500,36550,2239712,-1.349527665,37212.04328,37575.19215,-363.1488733,-260.2462554,42.92929293,43.55289325,37430,749.2803565,38928.56071,35931.43929,35550,38800,30.76923077,40.51282051,36730,37430,37890.83333,36090.41667,32777.29167,36879.63565,37464.02992,37358.41938,35979.75218,33851.57262,-700,-1160.833333,639.5833333,3952.708333,-460.8333333,1339.583333,4652.708333,1800.416667,5113.541667,3313.125,-584.3942676,-478.7837354,899.8834725,3028.063028,105.6105322,1484.27774,3612.457296,1378.667208,3506.846764,2128.179556,-0.400534045,-0.928381963,-0.815217391,-28.41770317,11.80941832,10.96946467,-4.04040404,-0.356678984,-0.622294372,-0.339479465,-0.054952301,0.068162388,0.098615565,-0.444919033,-0.256158284,-0.073300638,0.026644293,0.066750385,0,0,0,-2.010723861,-2.144772118,0.134048257,0.136986301,2.328767123,-2.141900937,-180,-880,-1340.833333,459.5833333,3772.708333,-329.6356484,-914.0299161,-808.4193838,570.247824,2698.42738,"-11,060","78,690","-28,680","-251,860","-3,970","17,306","-208,262","-41,794","-34,333","-562,653","261,480","225,703","811,321"
