Unnamed: 0,날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목)
0,2014-03-21,-0.851148851,-0.834894036,-0.835519677,-0.821073559,15.20871151,2.07529639,-1.26765869,-1.263865627,-0.300860714,-0.253689092,-0.227448056,-0.991543948,-1.282879812,-1.252254623,-1.267544324,-1.336290078,-1.426000255,-1.269214253,-1.26378688,-1.288238535,-1.346470725,-1.41572898,-0.447555972,-0.281577325,-0.096828339,1.32E-05,-0.095401275,0.052103297,0.111538638,0.175187047,0.179562861,0.139826635,-0.274760746,-0.179159181,-0.060666802,0.002841607,-0.089746451,0.025410779,0.070493082,0.142699538,0.140749999,0.128242139,0.480683133,-1.26863875,19570,-0.118498024,0.30756326,4.527522936,3.981942098,2.029861331,0.183384277,1.331608284,1.374596097,-1.928576014,1.100530542
1,2014-03-24,-0.824175824,-0.833908329,-0.823410696,-0.832007952,14.8842116,-0.671306136,-1.265632763,-1.263454997,-0.274030963,-0.260423453,-0.436815553,-0.898675493,-1.273775074,-1.253367271,-1.26692017,-1.334110805,-1.424582523,-1.263467272,-1.263127367,-1.287435971,-1.345114653,-1.414262353,-0.348618018,-0.242220041,-0.075148098,0.017587785,-0.10645546,0.040904918,0.105801867,0.166578747,0.177574498,0.143217673,-0.211137788,-0.151853642,-0.044094591,0.014948124,-0.090754015,0.022633221,0.068458974,0.13838028,0.13847099,0.127844079,0.095631641,-2.803278269,-2030,0.238107484,0,-1.894648318,-0.586655847,-0.748526579,0.346853499,0.043044164,-0.079842359,0.107573552,-1.93151653
2,2014-03-25,-0.834165834,-0.843765402,-0.833501514,-0.842942346,14.72548539,-0.68044567,-1.266594001,-1.264377797,-0.27484136,-0.265983781,-0.845869648,-0.923591441,-1.265926163,-1.255036243,-1.266458839,-1.3320852,-1.423317469,-1.265395582,-1.26419815,-1.287249917,-1.344087952,-1.412967713,-0.256529615,-0.20794893,-0.056880486,0.032651693,-0.12006061,0.028260082,0.099069459,0.157892189,0.175528221,0.146579727,-0.222019046,-0.163413724,-0.054748913,0.006505865,-0.101168927,0.013484813,0.06167411,0.131552915,0.134364502,0.126328509,0.072135785,-0.047483673,-1340,-0.280247472,0.682231232,-6.599847095,1.069134648,-0.588007552,0.388899955,0.176883318,-0.702909512,0.484880801,0.324422134
3,2014-03-26,-0.837162837,-0.841793987,-0.830474268,-0.827037773,14.73994484,0.911732875,-1.263515744,-1.263336949,-0.24090191,-0.263193523,-0.381208143,-0.830826638,-1.257135383,-1.256387315,-1.265156258,-1.32980814,-1.42197971,-1.258303477,-1.26274152,-1.286211496,-1.342631739,-1.411451358,-0.158352722,-0.173072322,-0.036444851,0.049683012,-0.136896983,0.015895205,0.092937594,0.152648951,0.175682657,0.150695344,-0.151423884,-0.129969982,-0.033550973,0.022165616,-0.097452968,0.013860464,0.061909552,0.128404734,0.132844857,0.126287099,-0.081043169,-0.083851966,-910,-0.098220224,0,-0.01529052,0.290528846,1.743246222,0.036679603,0.237141662,0.25201844,-0.352649872,1.313000655
4,2014-03-27,-0.838161838,-0.841793987,-0.832492432,-0.840954274,14.74761716,-0.850505447,-1.264316225,-1.264031582,-0.242785792,-0.261363107,-0.431351241,-0.768776348,-1.252426036,-1.259248409,-1.264586378,-1.327642837,-1.420649223,-1.260905846,-1.263545871,-1.285958281,-1.341590267,-1.410150988,-0.085290849,-0.153817528,-0.028214389,0.057567338,-0.158835288,-0.001415623,0.083218271,0.143805879,0.173771511,0.154376214,-0.174003146,-0.145582193,-0.046746601,0.01186765,-0.106194608,0.005845116,0.055913163,0.122023261,0.128986201,0.124834713,0.127193239,0.994903317,-31340,0.373194286,-0.528449602,3.006880734,-0.458781657,-0.578366827,0.407798422,0.176055295,-1.613750672,1.214744904,-2.218120439
5,2014-03-28,-0.842157842,-0.85165106,-0.843592331,-0.85387674,15.06759844,-0.806443097,-1.26815549,-1.266214686,-0.270626176,-0.2658365,-0.364098171,-0.702824764,-1.262786599,-1.261950554,-1.264450693,-1.325994413,-1.419318735,-1.269447595,-1.266244283,-1.286410873,-1.340928778,-1.409050282,-0.159874844,-0.202378361,-0.064749611,0.031623941,-0.177032177,-0.016440114,0.073878239,0.135354093,0.170624878,0.155912325,-0.247396792,-0.190065176,-0.080580891,-0.014168394,-0.124983504,-0.00906182,0.044747668,0.112794145,0.123045738,0.122101345,-1.89984453,-3.549596619,-79420,-0.612968924,-2.963791416,-0.583792049,-2.419296687,-0.150226643,-0.277088986,-1.433315756,-1.04868908,1.817087885,0.670424763
6,2014-03-31,-0.859140859,-0.867422376,-0.872855701,-0.874751491,15.90868117,-1.301524224,-1.276511841,-1.270723651,-0.335195508,-0.283186398,-0.705241446,-0.73280333,-1.276286726,-1.26663957,-1.264206458,-1.325002565,-1.418126385,-1.286137753,-1.271869085,-1.287975365,-1.340864231,-1.408263813,-0.245874758,-0.265955511,-0.109033513,-0.001087938,-0.208664151,-0.036270577,0.060097346,0.131206457,0.168153902,0.155274694,-0.386464512,-0.273400614,-0.142469952,-0.061697147,-0.159122564,-0.034574802,0.025611496,0.09906535,0.113824533,0.117359335,-0.446947292,-5.627199385,-167450,0.450285397,-0.38864812,-0.957033639,-3.549425547,-4.20533019,0.716218475,-1.175754591,-2.23653297,2.710454984,0.705899669
7,2014-04-01,-0.866133866,-0.867422376,-0.851664985,-0.854870775,15.41756891,1.201731888,-1.278718084,-1.272529502,-0.34216688,-0.298553154,-0.246502403,-0.645525037,-1.280054203,-1.269739088,-1.263826539,-1.32385705,-1.416810438,-1.286792469,-1.273926399,-1.288415477,-1.340242647,-1.407193297,-0.252724309,-0.285089206,-0.123888493,-0.012202341,-0.230942585,-0.05101511,0.049840695,0.126980564,0.16574084,0.154781979,-0.369290635,-0.274674966,-0.147025873,-0.066110271,-0.172678332,-0.046436147,0.016463938,0.090267919,0.108047268,0.114552209,0.852759302,-1.2,-26255,-0.307205713,4.521179925,7.312691131,-1.177831306,3.019693528,0.27789493,0.367028092,1.209316011,-1.23542875,0.560048624
8,2014-04-02,-0.85014985,-0.855593889,-0.847628658,-0.85387674,14.95618056,0.022925088,-1.280341678,-1.27408313,-0.343618273,-0.311156108,-0.453400219,-0.625882758,-1.288531028,-1.273553881,-1.264152184,-1.322655656,-1.4156399,-1.286705344,-1.275636188,-1.288787505,-1.339603432,-1.406117136,-0.29838798,-0.322872198,-0.153357563,-0.033594265,-0.253391083,-0.068465917,0.038193312,0.118372264,0.161706199,0.155100794,-0.347136947,-0.272237578,-0.148901433,-0.068510377,-0.18389358,-0.056812652,0.008349858,0.081900766,0.102521854,0.111828375,-0.050720656,-0.314867461,-33510,1.673905782,0.15378163,1.174311927,-0.119019861,0.951595128,0.207200833,0.747341608,-0.577050545,0.046651321,-1.317542299
9,2014-04-03,-0.853146853,-0.862493839,-0.853683148,-0.863817097,14.62185829,-0.639340242,-1.284147747,-1.276706233,-0.363704503,-0.325522411,-0.567315097,-0.637797495,-1.295752026,-1.277607098,-1.264830612,-1.321831444,-1.414512984,-1.291883288,-1.278699037,-1.289683878,-1.339253834,-1.405195193,-0.329591488,-0.353268131,-0.177888355,-0.052079119,-0.275159323,-0.085496785,0.026071816,0.10984222,0.156783552,0.154028415,-0.374044721,-0.29592688,-0.169234851,-0.084917624,-0.202123315,-0.072035429,-0.003425087,0.071478038,0.095471928,0.108141612,-0.108466691,4.000153669,-28680,-1.44843793,-1.110023766,2.64617737,-2.077624328,-0.733442582,-0.171459972,-1.179848951,0.359715552,0.306750548,1.20348715
