날짜,시가,고가,저가,종가,거래량,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,종가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목)
2023-03-21,84100,85100,82900,83600,1880231,-1990.985162,-1576.002982,37.16814159,33.45949034,81880,86395,86603.33333,86450,93447.5,82984.23018,85476.45559,86854.31692,88337.38291,93412.89537,-4515,-4723.333333,-4570,-11567.5,-208.3333333,-55,-7052.5,153.3333333,-6844.166667,-6997.5,-2492.225417,-3870.086745,-5353.152733,-10428.66519,-1377.861328,-2860.927317,-7936.439777,-1483.065989,-6558.578449,-5075.51246,0.357995227,0,-0.120481928,-0.119474313,-15.43358799,-5.181790771,7.04669865,2.212389381,2.849973805,0.614401573,-0.512436665,0.107887335,0.010604556,-0.14425774,0.372397826,-0.230550335,-0.12685137,-0.090050418,-0.087829583,0,0,1,-0.594530321,-1.426872771,1.189060642,0.844390832,2.653799759,-1.762632197,1720,-2795,-3003.333333,-2850,-9847.5,615.7698244,-1876.455592,-3254.31692,-4737.382909,-9812.895369,"48,730","-1,775",0,"70,568",0,"-3,028","96,792","15,588","40,444","269,094","-253,159","-14,243","-76,451"
2023-03-22,85200,87300,83800,86900,2667268,-1619.800495,-1584.762485,47.56097561,36.2797874,83440,86180,86731.66667,86490.83333,93322.08333,84289.48678,85612.03125,86855.81473,88313.62451,93358.84645,-2740,-3291.666667,-3050.833333,-9882.083333,-551.6666667,-310.8333333,-7142.083333,240.8333333,-6590.416667,-6831.25,-1322.544466,-2566.327942,-4024.13773,-9069.359661,-1243.783476,-2701.593264,-7746.815195,-1457.809788,-6503.031719,-5045.221931,1.307966706,2.58519389,1.085645356,3.947368421,41.85852696,-18.64326638,0.555804944,27.96167247,8.428989876,1.905227162,-0.248856994,0.148185212,0.047233468,-0.134210831,1.57289717,0.158611698,0.001724504,-0.026895064,-0.057860239,0,0,1,1.995305164,-1.643192488,2.464788732,3.69928401,4.176610979,-0.458190149,3460,720,168.3333333,409.1666667,-6422.083333,2610.513216,1287.96875,44.18527377,-1413.624514,-6458.846445,"135,618","-5,904",0,"33,213",909,"-3,296","97,497","7,634","74,400","345,975","389,364","-727,842","345,117"
2023-03-23,85400,88500,85100,88500,3091673,-1182.891704,-1504.388328,52.36220472,39.49627086,85340,86150,86910,86551.66667,93205.41667,85692.99119,85887.07589,86909.72244,88316.7051,93318.52407,-810,-1570,-1211.666667,-7865.416667,-760,-401.6666667,-7055.416667,358.3333333,-6295.416667,-6653.75,-194.0847037,-1216.731251,-2623.713911,-7625.532879,-1022.646547,-2429.629208,-7431.448175,-1406.98266,-6408.801628,-5001.818968,0.234741784,1.374570447,1.551312649,1.841196778,15.91159943,-26.97300019,-5.071684678,10.09489198,8.865772643,2.277085331,-0.034810861,0.20561502,0.070335007,-0.125015069,1.665100191,0.32126868,0.062065751,0.003488235,-0.043190741,0,1,1,3.629976581,-0.351288056,3.629976581,3.995299647,3.995299647,0,3160,2350,1590,1948.333333,-4705.416667,2807.008811,2612.924107,1590.27756,183.2948996,-4818.524068,"274,574","1,357",0,"37,583","10,942","-1,459","160,899","49,444","266,626","798,609","-204,360","-592,656","-452,629"
2023-03-24,89100,90700,86700,87300,4670908,-922.8304954,-1388.076762,45.04132231,40.60528115,86000,85880,87081.66667,86605.83333,93098.33333,86228.66079,86021.64009,86922.51843,88299.90006,93268.57781,120,-1081.666667,-605.8333333,-7098.333333,-1201.666667,-725.8333333,-7218.333333,475.8333333,-6016.666667,-6492.5,207.0206992,-693.8576329,-2071.239265,-7039.917017,-900.8783321,-2278.259964,-7246.937717,-1377.381632,-6346.059384,-4968.677753,4.332552693,2.485875706,1.880141011,-1.355932203,51.08027272,-21.9852086,-7.731485575,-13.98123408,2.807886077,0.77337708,-0.313406849,0.197522341,0.062583043,-0.114889603,0.625103169,0.156675727,0.014723307,-0.019028159,-0.05352234,0,1,1,-2.02020202,-2.693602694,1.795735129,0.692041522,4.61361015,-3.74862183,1300,1420,218.3333333,694.1666667,-5798.333333,1071.339207,1278.359906,377.4815743,-999.9000574,-5968.57781,"-36,057","18,540",0,"182,034",232,"4,818","38,074","46,836","79,821","315,758","-650,758","315,529","259,766"
2023-03-27,87500,87800,84700,85500,3211190,-852.151993,-1280.891808,43.25396825,41.13501857,86360,85605,87223.33333,86625.83333,92981.66667,85985.77386,85971.96008,86875.87848,88253.62072,93204.10828,755,-863.3333333,-265.8333333,-6621.666667,-1618.333333,-1020.833333,-7376.666667,597.5,-5758.333333,-6355.833333,13.81377719,-890.1046155,-2267.846856,-7218.334423,-903.9183926,-2281.660633,-7232.1482,-1377.74224,-6328.229807,-4950.487567,-1.795735129,-3.197353914,-2.306805075,-2.06185567,-31.25126849,-7.658882401,-7.721831869,-3.968253968,1.304602272,0.418604651,-0.320214252,0.162682539,0.023093133,-0.125315527,-0.281677726,-0.05775292,-0.053656923,-0.052411543,-0.069122449,0,1,1,-2.285714286,-3.2,0.342857143,0.944510035,3.659976387,-2.619589977,-860,-105,-1723.333333,-1125.833333,-7481.666667,-485.7738618,-471.9600847,-1375.878477,-2753.620718,-7704.108285,"-277,905","-21,649",0,"58,786",2,"4,516","-28,201","19,023","191,967","-31,812","-372,493","426,142","173,628"
2023-03-28,85300,88700,85200,88400,3180431,-555.7269328,-1135.858833,53.07692308,43.52339947,87320,85525,87430,86644.16667,92883.33333,86790.51591,86203.20198,86925.84967,88256.04021,93164.24017,1795,-110,675.8333333,-5563.333333,-1905,-1119.166667,-7358.333333,785.8333333,-5453.333333,-6239.166667,587.3139265,-135.3337669,-1465.524302,-6373.724258,-722.6476934,-2052.838229,-6961.038185,-1330.190535,-6238.390491,-4908.199956,-2.514285714,1.025056948,0.590318772,3.391812865,-0.957869201,-34.78546816,-11.32281229,22.7099506,5.806198669,1.111625753,-0.093452485,0.236939657,0.021163818,-0.105755615,0.935901382,0.268973624,0.057520221,0.002741522,-0.042775066,0,1,1,3.634232122,-0.117233294,3.985932005,3.755868545,4.107981221,-0.338218715,1080,2875,970,1755.833333,-4483.333333,1609.484092,2196.798019,1474.150325,143.9597901,-4764.240166,"429,576","5,538",0,"-69,261","1,044",-983,"64,015",587,"217,480","642,458","-12,785","-636,771","-292,297"
2023-03-29,87400,88700,86500,86900,3070422,-436.8101257,-996.0490916,52.47148289,45.31301616,87320,85400,87628.33333,86620,92780.83333,86827.01061,86269.5637,86925.00214,88233.62632,93112.25477,1920,-308.3333333,700,-5460.833333,-2228.333333,-1220,-7380.833333,1008.333333,-5152.5,-6160.833333,557.4469078,-97.99153919,-1406.615717,-6285.244165,-655.438447,-1964.062625,-6842.691073,-1308.624178,-6187.252626,-4878.628449,2.461899179,0,1.525821596,-1.696832579,-3.458933711,-21.39842431,-12.30872512,-1.140684411,4.111849499,0,-0.146156095,0.226848145,-0.027891857,-0.11035349,0.042049177,0.07698289,-0.000975004,-0.025396435,-0.055799731,0,1,1,-0.57208238,-1.029748284,1.487414188,0.462427746,2.543352601,-2.029312289,-420,1500,-728.3333333,280,-5880.833333,72.98939473,630.4363026,-25.00214446,-1333.626322,-6212.254771,"160,942","-2,562",0,"112,034",233,"9,810","-13,471","9,119","8,361","287,028","-682,523","399,527","-394,620"
2023-03-30,89900,90500,87700,88800,4264354,-187.0968424,-834.2586417,60.61776062,48.37396505,87380,85435,87846.66667,86610.83333,92688.33333,87484.67374,86510.55763,86986.47748,88242.98787,93076.46842,1945,-466.6666667,769.1666667,-5308.333333,-2411.666667,-1175.833333,-7253.333333,1235.833333,-4841.666667,-6077.5,974.1161058,498.1962529,-758.3141337,-5591.794687,-475.919853,-1732.43024,-6565.910793,-1256.510387,-6089.99094,-4833.480553,2.860411899,2.029312289,1.387283237,2.186421174,38.88494806,-57.16746674,-16.24322046,15.52515248,6.755120608,0.068712781,0.040983607,0.249158377,-0.010582621,-0.099697315,0.757440717,0.279349893,0.070722276,0.010609955,-0.038433552,0,1,1,-1.223581758,-2.447163515,0.667408231,1.254275941,3.192702395,-1.878453039,1420,3365,953.3333333,2189.166667,-3888.333333,1315.326263,2289.442369,1813.522516,557.0121295,-4276.468424,"120,215","9,491",0,"263,240","6,640","-3,350","98,979","23,577","10,232","519,533","-91,516","-438,104","585,488"
2023-03-31,89200,89500,87600,88600,2676327,-5.274790274,-668.4618714,58.56573705,50.41231945,87640,85500,88063.33333,86589.16667,92586.66667,87856.44916,86709.55214,87039.37986,88248.8889,93039.31931,2140,-423.3333333,1050.833333,-4946.666667,-2563.333333,-1089.166667,-7086.666667,1474.166667,-4523.333333,-5997.5,1146.897016,817.0692963,-392.4397396,-5182.870151,-329.8277192,-1539.336755,-6329.767166,-1209.509036,-5999.939447,-4790.430411,-0.778642937,-1.104972376,-0.114025086,-0.225225225,-37.23956782,-97.18071657,-19.87354544,-3.385185373,4.213742658,0.297550927,0.076081231,0.246641876,-0.025016116,-0.109686584,0.42496063,0.230023383,0.060816783,0.006687247,-0.039912468,0,1,1,-0.67264574,-1.793721973,0.33632287,1.141552511,2.168949772,-1.005586592,960,3100,536.6666667,2010.833333,-3986.666667,743.5508421,1890.447858,1560.620138,351.1111025,-4439.319308,"-295,609","-2,375",0,"11,359",0,"8,456","-92,436","-33,251","11,489","-389,992","47,944","343,638","21,674"
2023-04-03,89700,89700,86600,87200,2502220,25.55758434,-529.6579803,63.09012876,52.94788131,87980,85375,88166.66667,86564.16667,92491.66667,87637.63277,86756.26146,87044.6461,88231.55189,92990.86023,2605,-186.6666667,1415.833333,-4511.666667,-2791.666667,-1189.166667,-7116.666667,1602.5,-4325,-5927.5,881.3713098,592.9866763,-593.919119,-5353.227455,-288.3846335,-1475.290429,-6234.598765,-1186.905795,-5946.214131,-4759.308336,0.560538117,0.223463687,-1.141552511,-1.58013544,-6.50544571,-584.5232324,-20.76466843,7.725321888,5.029647294,0.387950707,-0.14619883,0.117339793,-0.028871972,-0.102606567,-0.249061268,0.053868713,0.006050404,-0.019645581,-0.052084518,1,1,1,-2.787068004,-3.455964326,0,0.692840647,3.579676674,-2.787068004,-780,1825,-966.6666667,635.8333333,-5291.666667,-437.6327719,443.7385379,155.3539044,-1031.551891,-5790.860227,"-146,633","-1,849",0,"19,292","-9,874","6,149","-47,645","-2,667","-189,258","-370,636","-224,498","596,178","-44,718"
