,Feature,Correlation,T-test,Lasso Importance,Ridge Importance,RF Importance
0,고가_대비_종가_등락률,0.09744917626271883,2.0454651536779066e-06,1.9377313840225224e-08,0.41428852145669687,0.036114489321349454
1,시가_대비_종가_등락률,0.0720667878892828,0.0004512351865651669,0.0,0.21344067972029573,0.034269828441475116
2,시가_대비_저가_등락률,0.07124055705345603,0.0005246862872104159,0.0,0.2044453830664148,0.031373186234667824
3,등락률,0.0588532947437254,0.004187444779802655,0.0,0.09534311094851322,0.031299324851082104
4,저가_대비_고가_등락률,0.0548888364720579,0.0075742835144702704,0.0,0.06941028013211104,0.029005259168398148
5,저가_등락률,0.05138269778841877,0.012431103450188446,0.0,0.06364610145541993,0.027031120206564008
6,EMA_5_등락률,0.05088336543021817,0.013310896494784135,0.0,0.05986228900731372,0.025455219374386745
7,종가_minus_EMA_5,0.04342435794354603,0.03467718894019897,0.0,0.05757391493401354,0.02532742176347
8,SMA_5_등락률,0.041508867460588884,0.04350191731797735,0.0,0.055514761922406564,0.024429478317420254
9,종가_minus_SMA_5,0.04121162361663803,0.0450283767736183,0.0,0.05097569666457602,0.024278899109423813
10,저가_대비_종가_등락률,0.04025655503144745,0.05024175451886569,0.0,0.0481742194447099,0.024177568209920775
11,SMA_240_등락률,0.036513990917318634,0.07577404337868868,0.0,0.04059991136869545,0.02411119186702888
12,거래량,0.03607675699479404,0.07934948969746142,0.0,0.03137709785120091,0.023885227472241567
13,RSI_minus_Signal_Binary,0.035268374975634786,0.08632042561034817,0.0,0.02987916414050651,0.02303584833253378
14,SMA_120_등락률,0.03340778859793087,0.1042475574228907,0.0,0.027605927771335637,0.02238134033946278
15,RSI_등락률,0.033091466033987146,0.10757039419606385,0.0,0.027456470362817564,0.02140167173994192
16,EMA_120_minus_EMA_240,0.028289773432098934,0.16894350996593557,0.0,0.023718063918205967,0.021029826647735214
17,RSI_Signal_등락률,0.02788943407248425,0.17505714599446714,0.0,0.019908395478624552,0.02093282879675175
18,종가_minus_EMA_20,0.026394902558069963,0.19934007065620482,0.0,0.019124286715710426,0.01932567580627122
19,EMA_20_등락률,0.025812806881930904,0.20943503771542962,0.0,0.01650041162071625,0.018987867697946626
20,EMA_60_minus_EMA_240,0.02549442450439497,0.2151106590001955,0.0,0.011995960936505234,0.01801099208642626
21,종가_minus_SMA_20,0.0229859259694565,0.2637259951832036,0.0,0.009876920213354623,0.01755848483210196
22,고가_등락률,0.02171978989602938,0.2909451737147612,0.0,0.0084109538848125,0.017509614833948417
23,EMA_240_등락률,0.021598377196675806,0.2936510953556052,0.0,0.00831372861942968,0.016323181077818306
24,EMA_20_minus_EMA_240,0.021408504909210577,0.29791649764318245,0.0,0.007697837198625601,0.01609570617883181
25,거래량_등락률,0.020696784978072546,0.314271568602533,0.0,0.0060914148853044026,0.015613763789540722
26,SMA_60_minus_SMA_240,0.020240329750013965,0.32506562434378417,0.0,0.0036370295347296633,0.014865510703461697
27,EMA_60_minus_EMA_120,0.019542013618885967,0.34204002131817246,0.0,0.002649523191848857,0.014325237160561183
28,SMA_60_minus_SMA_120,0.0191359808505104,0.35216557117295455,0.0,0.0024543853796785697,0.01365217969383225
29,시가_등락률,0.018025432088674864,0.3808165590205461,0.0,0.0022335015164571814,0.012753897707366417
30,SMA_20_minus_SMA_240,0.017334913879837984,0.39933205675154426,0.0,0.001529604485767777,0.012097917107377272
31,EMA_5_minus_EMA_240,0.016955580677315122,0.40972987748631473,0.0,0.0014947342206141911,0.011657983104554579
32,시가_대비_고가_등락률,0.016731835082711838,0.41593764424465907,0.0,0.0013353285248740576,0.011503933824864844
33,SMA_120_minus_SMA_240,0.01584750848658874,0.4410102671377717,0.0,0.0012941510794917122,0.011225168513126861
34,SMA_5_minus_SMA_240,0.015178957204145048,0.46052642590496007,0.0,0.0011838298669317737,0.010885830868006156
35,MACD_등락률,0.015005734461118733,0.46566071921413243,0.0,0.0010496716895431746,0.0106345380048791
36,MACD_Binary,0.014335076072720165,0.4858355900457997,0.0,0.0009393504515173845,0.010074122788087598
37,EMA_20_minus_EMA_120,0.014031572560344084,0.4951186336475356,0.0,0.0008981730679806788,0.009693986615475046
38,RSI_Signal,0.012785113037192576,0.5342151596676474,0.0,0.000738767281291075,0.009687628518788969
39,SMA_20_minus_SMA_120,0.012426995645425801,0.5457291754536495,0.0,0.0007038970288704149,0.009661508045140751
40,종가_minus_SMA_60,0.01190625012348711,0.5626884428236645,0.0,0.0006520848879287833,0.009619698811305739
41,종가_minus_EMA_60,0.010575518898087697,0.6071456342664887,0.0,0.0005530132193634074,0.009111347354134804
42,종가_minus_EMA_240,0.010492154026747507,0.6099821494825723,0.0,0.00037447846261784434,0.008981083934481401
43,EMA_5_minus_EMA_20,0.01032106762932105,0.6158217535958089,0.0,0.00036725895188283175,0.008150594711870771
44,SMA_5_minus_SMA_120,0.009388930346792838,0.6480586457175338,0.0,0.00036694982190965675,0.008031195364214401
45,종가_minus_SMA_240,0.009040698956641982,0.6602774261630234,0.0,0.0003587469946069177,0.007965006717358504
46,EMA_120_등락률,0.00887822162182153,0.6660098259827697,0.0,0.0003536167860147543,0.007879933374096303
47,EMA_240,0.008402338743641722,0.682911049648639,0.0,0.0003502802210277878,0.007697163141370282
48,EMA_5_minus_EMA_120,0.008400685644304325,0.6829700442352709,0.0,0.00034577456972328946,0.0074209581180609925
49,SMA_240,0.008387949177930584,0.6834246386995184,0.0,0.0003451499324000906,0.0073788253885801085
50,MACD_minus_Signal_Binary,0.007659399942263341,0.7096146802824597,0.0,0.00033694724697852507,0.007154045063956412
51,EMA_20_minus_EMA_60,0.007229096511738321,0.7252483747200597,0.0,0.0003366381279192865,0.007071944807934261
52,RSI,0.006695110857118062,0.7448086633418475,0.0,0.0003294186280982103,0.006964833161918464
53,SMA_60_등락률,0.005907050429938255,0.7739754692480909,0.0,0.0003109043354925234,0.0067808669318742704
54,MACD_Signal_등락률,0.005887378770093213,0.7747078236449811,0.0,0.0002354533935431391,0.0066683561380302715
55,EMA_60_등락률,0.005697360076977611,0.7817922361368626,0.0,0.00020058317750226706,0.006599187075818764
56,SMA_20_등락률,0.005292225102724219,0.7969566260785774,0.0,0.0001942759372468572,0.00656816885001157
