날짜,시가,종가,MACD비교,RSI비교,RSI50이상,이평 비교,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary
2014-03-21,37400,38700,0,1,0,0,0,0,1
2014-03-24,38750,38150,0,1,0,0,0,0,1
2014-03-25,38250,37600,0,0,0,0,0,0,0
2014-03-26,38100,38400,1,1,0,0,0,1,1
2014-03-27,38050,37700,1,1,0,0,0,1,1
2014-03-28,37850,37050,0,1,0,0,0,0,1
2014-03-31,37000,36000,0,0,0,0,0,0,0
2014-04-01,36650,37000,0,1,0,0,0,0,1
2014-04-02,37450,37050,0,1,0,0,0,0,1
2014-04-03,37300,36550,0,0,0,0,0,0,0
2014-04-04,36750,37250,0,1,1,0,0,0,1
2014-04-07,36800,37000,0,1,1,0,0,0,1
2014-04-08,36650,36750,0,1,0,0,0,0,1
2014-04-09,36900,37650,1,1,1,0,0,1,1
2014-04-10,37600,37700,1,0,0,0,0,1,0
2014-04-11,37450,37050,1,0,0,0,0,1,0
2014-04-14,37100,36900,1,0,0,0,0,1,0
2014-04-15,37450,37400,1,0,0,1,0,1,0
2014-04-16,37750,37650,1,1,0,1,0,1,1
2014-04-17,38050,38050,1,1,1,1,0,1,1
2014-04-18,39400,39200,1,1,1,1,1,1,1
2014-04-21,39300,39400,1,1,1,1,1,1,1
2014-04-22,39900,39800,1,1,1,1,1,1,1
2014-04-23,40200,40750,1,1,1,1,1,1,1
2014-04-24,40850,40900,1,1,1,1,1,1,1
2014-04-25,41100,40750,1,1,1,1,1,1,1
2014-04-28,40450,40500,1,1,1,0,1,1,1
2014-04-29,40250,39700,1,0,1,0,1,1,0
2014-04-30,39700,40150,1,0,1,0,1,1,0
2014-05-02,41200,40650,1,1,1,1,1,1,1
2014-05-07,41000,41100,1,1,1,1,1,1,1
2014-05-08,41450,40650,1,1,1,1,1,1,1
2014-05-09,40950,41150,1,1,1,1,1,1,1
2014-05-12,40900,41400,1,1,1,1,1,1,1
2014-05-13,41850,41700,1,0,1,1,1,1,0
2014-05-14,42200,42100,1,0,1,1,1,1,0
2014-05-15,41850,42000,1,0,1,1,1,1,0
2014-05-16,42000,42250,1,0,1,1,1,1,0
2014-05-19,42000,40900,1,0,1,0,1,1,0
2014-05-20,41100,42000,1,0,1,1,1,1,0
2014-05-21,41950,41900,0,0,1,1,1,0,0
2014-05-22,42400,42400,1,1,1,1,1,1,1
2014-05-23,42300,42350,1,1,1,1,1,1,1
2014-05-26,42600,42400,0,0,1,1,1,0,0
2014-05-27,42600,42200,0,0,1,0,1,0,0
2014-05-28,42750,42600,0,1,1,1,1,0,1
2014-05-29,42700,42600,0,0,1,1,1,0,0
2014-05-30,42600,44150,1,1,1,1,1,1,1
2014-06-02,44200,44700,1,1,1,1,1,1,1
2014-06-03,44250,44650,1,1,1,1,1,1,1
2014-06-05,45300,46450,1,1,1,1,1,1,1
2014-06-09,47000,46100,1,1,1,1,1,1,1
2014-06-10,46600,47350,1,1,1,1,1,1,1
2014-06-11,47550,47000,1,1,1,1,1,1,1
2014-06-12,48000,47400,1,1,1,1,1,1,1
2014-06-13,47000,47050,1,1,1,1,1,1,1
2014-06-16,46600,48350,1,1,1,1,1,1,1
2014-06-17,49000,49350,1,1,1,1,1,1,1
2014-06-18,49400,49000,1,1,1,1,1,1,1
2014-06-19,49850,50700,1,1,1,1,1,1,1
2014-06-20,50900,49400,1,0,1,1,1,1,0
2014-06-23,49250,48900,1,0,1,0,1,1,0
2014-06-24,49000,50300,1,0,1,1,1,1,0
2014-06-25,50200,49800,1,0,1,0,1,1,0
2014-06-26,50300,48750,0,0,1,0,1,0,0
2014-06-27,48350,47500,0,0,1,0,1,0,0
2014-06-30,47900,48550,0,0,1,0,1,0,0
2014-07-01,49450,48450,0,0,1,0,1,0,0
2014-07-02,49150,50400,0,0,1,1,1,0,0
2014-07-03,50700,50900,0,0,1,1,1,0,0
2014-07-04,51000,50400,0,0,1,1,1,0,0
2014-07-07,50400,51600,0,0,1,1,1,0,0
2014-07-08,51300,51900,1,0,1,1,1,1,0
2014-07-09,51500,49750,0,0,0,0,1,0,0
2014-07-10,49750,49300,0,0,0,0,1,0,0
2014-07-11,48950,48950,0,0,1,0,1,0,0
2014-07-14,49250,49350,0,0,0,0,1,0,0
2014-07-15,50300,49750,0,0,0,0,1,0,0
2014-07-16,50000,51000,0,1,1,0,1,0,1
2014-07-17,51600,51500,0,1,1,1,1,0,1
2014-07-18,50200,50800,0,1,1,1,1,0,1
2014-07-21,51300,50500,0,1,1,0,1,0,1
2014-07-22,50100,51000,0,0,1,1,1,0,0
2014-07-23,50900,49450,0,0,0,0,1,0,0
2014-07-24,49650,47550,0,0,0,0,1,0,0
2014-07-25,47800,47500,0,0,0,0,1,0,0
2014-07-28,47450,46550,0,0,0,0,1,0,0
2014-07-29,45200,44400,0,0,0,0,0,0,0
2014-07-30,45000,46750,0,1,0,0,0,0,1
2014-07-31,46050,45450,0,0,0,0,0,0,0
2014-08-01,44100,46300,0,1,0,0,0,0,1
2014-08-04,46400,47850,0,1,0,0,0,0,1
2014-08-05,48250,47300,0,0,0,0,0,0,0
2014-08-06,46750,45400,0,0,0,0,0,0,0
2014-08-07,45700,45200,0,0,0,0,0,0,0
2014-08-08,44500,44200,0,0,0,0,0,0,0
2014-08-11,44900,45000,0,0,0,0,0,0,0
2014-08-12,45000,43250,0,0,0,0,0,0,0
2014-08-13,43600,43900,0,1,0,0,0,0,1
2014-08-14,44500,43550,0,1,0,0,0,0,1
2014-08-18,44400,43850,0,1,0,0,0,0,1
2014-08-19,44250,43800,0,1,0,0,0,0,1
2014-08-20,44150,45350,0,1,0,0,0,0,1
2014-08-21,45800,45850,1,1,1,0,0,1,1
2014-08-22,46700,45950,1,1,0,0,0,1,1
2014-08-25,45850,47150,1,1,0,1,0,1,1
2014-08-26,47150,46700,1,1,0,1,0,1,1
2014-08-27,46700,45350,1,1,0,0,0,1,1
2014-08-28,45600,45600,1,1,1,0,0,1,1
2014-08-29,45100,45400,1,1,1,0,0,1,1
2014-09-01,45700,44500,1,0,0,0,0,1,0
2014-09-02,44700,44050,1,1,1,0,0,1,1
2014-09-03,43450,41800,0,0,0,0,0,0,0
2014-09-04,42450,42050,0,0,0,0,0,0,0
2014-09-05,42600,43200,0,1,0,0,0,0,1
2014-09-11,45700,43850,0,1,1,0,0,0,1
2014-09-12,44200,44500,0,0,0,0,0,0,0
2014-09-15,44300,42800,0,0,0,0,0,0,0
2014-09-16,42300,43500,0,0,0,0,0,0,0
2014-09-17,43850,44100,1,0,0,0,0,1,0
2014-09-18,43800,42900,1,0,0,0,0,1,0
2014-09-19,43400,44000,1,1,0,0,0,1,1
2014-09-22,43550,43250,1,0,0,0,0,1,0
2014-09-23,42900,42500,1,0,0,0,0,1,0
2014-09-24,42550,44200,1,1,0,0,0,1,1
2014-09-25,44400,44600,1,1,1,0,0,1,1
2014-09-26,44500,45600,1,1,1,1,0,1,1
2014-09-29,46500,47150,1,1,1,1,0,1,1
2014-09-30,46900,46750,1,1,1,1,1,1,1
2014-10-01,46750,46400,1,1,1,1,1,1,1
2014-10-02,46000,47100,1,1,1,1,1,1,1
2014-10-06,47850,44700,1,1,1,0,1,1,1
2014-10-07,44500,44700,1,0,1,0,1,1,0
2014-10-08,44500,44150,1,0,1,0,1,1,0
2014-10-10,42050,42200,0,0,0,0,0,0,0
2014-10-13,40350,41700,0,0,0,0,0,0,0
2014-10-14,41750,43300,0,0,1,0,0,0,0
2014-10-15,43200,43400,0,1,1,0,0,0,1
2014-10-16,43500,45100,0,1,1,0,0,0,1
2014-10-17,45000,44100,0,0,0,0,0,0,0
2014-10-20,44100,44900,1,0,0,0,0,1,0
2014-10-21,45050,45250,1,0,0,0,0,1,0
2014-10-22,46250,46300,1,0,0,1,1,1,0
2014-10-23,46300,45500,1,0,0,1,1,1,0
2014-10-24,46450,45300,1,0,0,0,1,1,0
2014-10-27,45800,44600,1,1,0,0,1,1,1
2014-10-28,45150,46000,1,1,1,1,1,1,1
2014-10-29,46350,47000,1,1,1,1,1,1,1
2014-10-30,47300,47200,1,1,1,1,1,1,1
2014-10-31,47550,47450,1,1,1,1,1,1,1
