회사명,거래소코드,회계년도,[U01B800000000]계속영업이익(손실)(IFRS연결)(천원),[U01B350016400]   이자비용(IFRS연결)(천원),[U01B470010000]   이자비용(IFRS연결)(천원),[U01B550010000]   이자비용(IFRS연결)(천원),[U01B800000000]계속영업이익(손실)(IFRS)(천원),[U01B350016400]   이자비용(IFRS)(천원),[U01B470010000]   이자비용(IFRS)(천원),[U01B550010000]   이자비용(IFRS)(천원)
(주)BNK금융지주,138930,2022/12,,,,,,,,
(주)CMG제약,058820,2022/12,,,,,-388140,0,0,15277
(주)CMG제약,058820,2023/12,6455349,0,0,79543,6657747,0,0,32930
(주)DB하이텍,000990,2022/12,558836662,0,0,3310000,558546974,0,0,3310000
(주)ES큐브,050120,2022/12,16308765,0,0,215035,5705382,0,0,146656
(주)HJ중공업,097230,2022/12,-50160000,0,0,43572000,-50187000,0,0,43332000
(주)JB금융지주,175330,2022/12,,,,,,,,
(주)KB금융지주,105560,2022/12,,,,,,,,
(주)MH에탄올,023150,2022/12,11905847,0,0,11711547,5685051,0,0,1226940
(주)MH에탄올,023150,2023/12,5214660,0,0,12192511,6203575,0,0,2120654
(주)SH에너지화학,002360,2022/12,1832404,0,0,374081,1231472,0,0,368952
(주)SIMPAC,009160,2022/12,76137344,0,0,5761061,47519888,0,0,4708896
(주)SNT에너지,100840,2022/12,15099402,0,0,335410,6511262,0,0,258527
(주)SNT에너지,100840,2023/12,22727502,0,0,1808528,15655420,0,0,1681262
(주)SNT홀딩스,036530,2022/12,115574756,0,0,663414,19026274,0,0,11121
(주)SNT홀딩스,036530,2023/12,164296063,0,0,479669,21381619,0,0,8365
(주)STX,011810,2022/12,-18650000,0,0,15133000,-14969000,0,0,9684000
(주)TCC스틸,002710,2022/12,29566778,0,0,7822500,23192371,0,0,7503591
(주)TCC스틸,002710,2023/12,-8293018,0,0,7632154,-10701444,0,0,7185109
(주)가비아,079940,2022/12,35664081,0,0,508112,7351687,0,0,196586
(주)가비아,079940,2023/12,34640454,0,0,545496,8132668,0,0,219242
(주)가온칩스,399720,2022/12,4418778,0,0,52787,4475072,0,0,51587
(주)가온칩스,399720,2023/12,6344446,0,0,301227,6542399,0,0,298603
(주)강스템바이오텍,217730,2022/12,-20176261,0,0,761125,-19764612,0,0,348189
(주)강스템바이오텍,217730,2023/12,-23221105,0,0,893417,-19016327,0,0,412238
(주)강원랜드,035250,2022/12,115612768,0,0,1827307,115887555,0,0,1575862
(주)강원에너지,114190,2022/12,3456098,0,0,545268,1589418,0,0,156352
(주)갤럭시아에스엠,011420,2022/12,,,,,4613111,0,0,262450
(주)경농,002100,2022/12,30880493,0,0,3615368,18699263,0,0,2302948
(주)경농,002100,2023/12,15126191,0,0,6053450,22638662,0,0,3732076
(주)경동나비엔,009450,2022/12,53582342,0,0,7336449,43696303,0,0,3249804
(주)경동나비엔,009450,2023/12,83148711,0,0,9347456,46331095,0,0,3121932
(주)경동도시가스,267290,2022/12,24201000,0,0,864898,23488574,0,0,864658
(주)경동도시가스,267290,2023/12,30614836,0,0,915323,30066486,0,0,915240
