,거래소코드,year,Date,Name,Close,Marcap,Stocks,회계년도,회사명,산업코드,당기순이익,평균당기순이익,PER,ROE,ROE자본half,평균자본,업종PER,업종ROE,Label,연평균복리수익률,시총2,수익률,PBR,업종PBR,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),유통주식수 (발행주식의 총수 - 자기주식수),이익소각,자기주식수,보통주식비율
0,50,2014,2014-12-30,경방,182000,498957.914,2741527,2014-12-01,(주)경방,74700,11488,6050.666667,82.46329561,0.009423922,642054,631943.1667,26.26297558,0.056993311,1,-0.00932643,271660.482,0.836696712,0.789561372,0.872886493,2741527,2741527,0,0,55.82
1,4170,2014,2014-12-30,신세계,181000,1781977.761,9845181,2014-12-01,(주)신세계,74700,186057,191480.6667,9.306306438,0.055397904,3456460.5,3106315.833,26.26297558,0.056993311,1,0.019475134,2485908.203,-0.283168317,0.573662775,0.872886493,9845181,9836415,0,8766,27.14
2,7070,2014,2014-12-30,GS리테일,25650,1975050,77000000,2014-12-01,(주)지에스리테일,74700,111281,117928.6667,16.74783626,0.071555097,1648082,1565714.5,26.26297558,0.056993311,0,0.049432521,2156000,-0.083928571,1.261436871,0.872886493,77000000,77000000,0,0,65.75
3,69960,2014,2014-12-30,현대백화점,123000,2878500.243,23402441,2014-12-01,(주)현대백화점,74700,291024,330997,8.696454176,0.090250487,3667537,3374440.167,26.26297558,0.056993311,1,-0.090154025,3767793.001,-0.236024845,0.853030459,0.872886493,23402441,23035186,0,367255,36.08
4,139480,2014,2014-12-30,이마트,203000,5658791.257,27875819,2014-12-01,(주)이마트,74700,291918,401304.6667,14.10098543,0.058339147,6878823,6381560.5,26.26297558,0.056993311,0,-0.099965834,7428905.764,-0.238273921,0.886740987,0.872886493,27875819,27864181,0,11638,27.13
5,50,2015,2015-12-30,경방,192500,527743.9475,2741527,2015-12-01,(주)경방,74700,16692,14251.33333,37.03119808,0.021747435,655311,641978.8333,19.8803038,0.059249729,1,-0.00932643,498957.914,0.057692308,0.822058174,1.09422743,2741527,2741527,0,0,56.11
6,4170,2015,2015-12-30,신세계,230000,2264391.63,9845181,2015-12-01,(주)신세계,74700,433182,271297.3333,8.3465311,0.071113744,3814977.5,3497911.167,19.8803038,0.059249729,1,0.019475134,1781977.761,0.270718232,0.647355385,1.09422743,9845181,9836408,0,8773,28.05
7,7070,2015,2015-12-30,GS리테일,53800,4142600,77000000,2015-12-01,(주)지에스리테일,74700,166230,132185.6667,31.33925262,0.068836448,1920286,1712634.333,19.8803038,0.059249729,0,0.049432521,1975050,1.097465887,2.418846755,1.09422743,77000000,77000000,0,0,65.75
8,69960,2015,2015-12-30,현대백화점,126500,2960408.787,23402441,2015-12-01,(주)현대백화점,74700,280262,302950.6667,9.771917055,0.077482455,3909926,3656260.667,19.8803038,0.059249729,1,-0.090154025,2878500.243,0.028455285,0.809682092,1.09422743,23402441,22791186,0,611255,36.08
9,139480,2015,2015-12-30,이마트,189000,5268529.791,27875819,2015-12-01,(주)이마트,74700,455880,408014,12.91262013,0.057068563,7149540.5,6813975.167,19.8803038,0.059249729,1,-0.099965834,5658791.257,-0.068965517,0.773194745,1.09422743,27875819,27864180,0,11639,28.05
