회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원)
(주)CMG제약,058820,2018/12,114379880,103981846,10398033,49864782,114379880,103981846,10398033,49864782
(주)CMG제약,058820,2019/12,192243166,180158283,12084883,58622681,192243166,180158283,12084883,58622681
(주)CMG제약,058820,2020/12,,,,,195355583,181131004,14224578,64459891
(주)CMG제약,058820,2021/12,,,,,199174593,184702494,14472099,69475496
(주)CMG제약,058820,2022/12,,,,,213260376,184953015,28307361,82197410
(주)CMG제약,058820,2023/12,242098205,190232688,51865516,93906675,241143967,190464366,50679601,92743088
(주)DB하이텍,000990,2018/12,1066533840,558391531,508142309,669279136,1050696487,542557222,508139265,669279136
(주)DB하이텍,000990,2019/12,1088889810,644650730,444239080,807416423,1089400761,645305205,444095557,807416423
(주)DB하이텍,000990,2020/12,1178581197,794584513,383996685,935919766,1179256936,795236817,384020119,935919766
(주)DB하이텍,000990,2021/12,1549937896,1106049706,443888190,1214682040,1548223597,1105960952,442262644,1214682040
(주)DB하이텍,000990,2022/12,2122700475,1638284078,484416396,1675287534,2120023184,1637313496,482709689,1675287534
(주)DB하이텍,000990,2023/12,2043378694,1740082438,303296256,1154223639,1998099626,1728002899,270096726,1063261107
(주)ES큐브,050120,2018/12,112430896,70748607,41682289,33763508,108481764,66518631,41963133,31308873
(주)ES큐브,050120,2019/12,463958680,74038512,389920168,43708239,136065488,53986331,82079157,28527284
(주)ES큐브,050120,2020/12,714889745,69497819,645391926,80672425,81995388,72949614,9045774,30293088
(주)ES큐브,050120,2021/12,1082732056,115855194,966876862,125787293,76172807,65297621,10875187,41105787
(주)ES큐브,050120,2022/12,121705413,110399253,11306160,75213652,77327544,71077621,6249923,52850390
(주)ES큐브,050120,2023/12,87792997,82525974,5267023,63333993,91892200,85801534,6090666,42494509
(주)HJ중공업,097230,2018/12,2733620000,-708186000,3441806000,1697869000,2388369000,-398930000,2787299000,1750954000
(주)HJ중공업,097230,2019/12,2470222000,244994000,2225228000,1628751000,2465650000,247272000,2218378000,1609530000
(주)HJ중공업,097230,2020/12,2193855000,320003000,1873852000,1695815000,2189125000,320418000,1868707000,1694634000
